institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-01,1850,1,10.617871808767644,10.916717630660717,-0.29884582189307274
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-02,1850,2,10.997598026648822,11.18970722294868,-0.19210919629985845
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-03,1850,3,11.147201628429093,11.27320757998345,-0.12600595155435812
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-04,1850,4,11.037730603612236,11.128652695501271,-0.09092209188903588
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-05,1850,5,10.143280506375561,10.46864818202685,-0.32536767565128955
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-06,1850,6,8.709293378590548,9.010163166980703,-0.30086978839015543
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-07,1850,7,7.153977375897815,7.205978780163648,-0.052001404265832996
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-08,1850,8,6.078339324175194,5.904109962335941,0.1742293618392532
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-09,1850,9,6.35231838247384,6.1203564985988885,0.2319618838749511
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-10,1850,10,8.004209779877552,8.040021515886416,-0.03581173600886345
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-11,1850,11,8.824282365804327,9.346480595267149,-0.5221982294628216
MIROC,MIROC6,r1i1p1f1,gn,historical,1850-12,1850,12,9.755015035733964,10.295898968658719,-0.5408839329247552
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-01,1851,1,10.641565659632521,10.916717630660717,-0.2751519710281958
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-02,1851,2,10.781724319773838,11.18970722294868,-0.4079829031748421
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-03,1851,3,10.890192999091587,11.27320757998345,-0.3830145808918637
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-04,1851,4,10.84481164463439,11.128652695501271,-0.28384105086688116
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-05,1851,5,10.216789385609252,10.46864818202685,-0.2518587964175989
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-06,1851,6,8.725897663521687,9.010163166980703,-0.28426550345901624
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-07,1851,7,7.260597463042132,7.205978780163648,0.05461868287848404
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-08,1851,8,6.205575927037879,5.904109962335941,0.3014659647019382
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-09,1851,9,6.606571635110545,6.1203564985988885,0.4862151365116567
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-10,1851,10,8.222130370302002,8.040021515886416,0.18210885441558666
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-11,1851,11,9.251393296736623,9.346480595267149,-0.095087298530526
MIROC,MIROC6,r1i1p1f1,gn,historical,1851-12,1851,12,9.973471374603978,10.295898968658719,-0.32242759405474075
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-01,1852,1,10.731779858287409,10.916717630660717,-0.1849377723733081
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-02,1852,2,11.05244907586575,11.18970722294868,-0.13725814708292994
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-03,1852,3,11.245241559984947,11.27320757998345,-0.027966019998503455
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-04,1852,4,11.117985603415923,11.128652695501271,-0.010667092085348884
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-05,1852,5,10.490008271159041,10.46864818202685,0.021360089132191007
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-06,1852,6,9.114074554105132,9.010163166980703,0.1039113871244286
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-07,1852,7,7.309600190210917,7.205978780163648,0.10362141004726855
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-08,1852,8,6.127771890799,5.904109962335941,0.2236619284630592
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-09,1852,9,6.61019879585425,6.1203564985988885,0.4898422972553611
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-10,1852,10,8.167905698348106,8.040021515886416,0.1278841824616901
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-11,1852,11,9.372013660632593,9.346480595267149,0.025533065365443974
MIROC,MIROC6,r1i1p1f1,gn,historical,1852-12,1852,12,10.474864181925197,10.295898968658719,0.17896521326647807
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-01,1853,1,10.898334859880695,10.916717630660717,-0.01838277078002193
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-02,1853,2,11.177315056723158,11.18970722294868,-0.012392166225522416
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-03,1853,3,11.165684405763976,11.27320757998345,-0.10752317421947488
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-04,1853,4,10.990758876031654,11.128652695501271,-0.13789381946961754
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-05,1853,5,10.461538238613464,10.46864818202685,-0.007109943413386333
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-06,1853,6,9.120126039245504,9.010163166980703,0.10996287226480028
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-07,1853,7,7.315719411506545,7.205978780163648,0.10974063134289658
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-08,1853,8,6.25101934245059,5.904109962335941,0.3469093801146492
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-09,1853,9,6.395463792314864,6.1203564985988885,0.2751072937159753
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-10,1853,10,8.146623611749783,8.040021515886416,0.10660209586336755
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-11,1853,11,9.209595499614023,9.346480595267149,-0.1368850956531258
MIROC,MIROC6,r1i1p1f1,gn,historical,1853-12,1853,12,10.12659837740391,10.295898968658719,-0.16930059125480845
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-01,1854,1,10.59679720152659,10.916717630660717,-0.3199204291341271
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-02,1854,2,10.937955256461514,11.18970722294868,-0.25175196648716636
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-03,1854,3,11.091211851982003,11.27320757998345,-0.18199572800144814
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-04,1854,4,10.981205780622902,11.128652695501271,-0.14744691487836903
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-05,1854,5,10.368794612943232,10.46864818202685,-0.09985356908361886
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-06,1854,6,8.915156139608447,9.010163166980703,-0.0950070273722563
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-07,1854,7,7.1042619951960315,7.205978780163648,-0.10171678496761682
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-08,1854,8,5.833715162558232,5.904109962335941,-0.07039479977770835
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-09,1854,9,5.913313282738028,6.1203564985988885,-0.20704321586086039
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-10,1854,10,8.059954343149203,8.040021515886416,0.019932827262787
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-11,1854,11,9.245228657277112,9.346480595267149,-0.10125193799003718
MIROC,MIROC6,r1i1p1f1,gn,historical,1854-12,1854,12,10.05111041915375,10.295898968658719,-0.2447885495049693
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-01,1855,1,10.848649167409537,10.916717630660717,-0.06806846325117988
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-02,1855,2,11.119974258868062,11.18970722294868,-0.06973296408061813
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-03,1855,3,11.227515899762091,11.27320757998345,-0.04569168022135983
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-04,1855,4,11.016632152311962,11.128652695501271,-0.11202054318930976
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-05,1855,5,10.254002119654439,10.46864818202685,-0.21464606237241135
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-06,1855,6,8.749015183879186,9.010163166980703,-0.26114798310151777
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-07,1855,7,7.07323179589028,7.205978780163648,-0.13274698427336862
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-08,1855,8,5.774104590240865,5.904109962335941,-0.13000537209507534
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-09,1855,9,5.676256790665779,6.1203564985988885,-0.44409970793310993
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-10,1855,10,7.558110887983622,8.040021515886416,-0.4819106279027938
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-11,1855,11,9.106925938895785,9.346480595267149,-0.23955465637136442
MIROC,MIROC6,r1i1p1f1,gn,historical,1855-12,1855,12,9.855364120882857,10.295898968658719,-0.4405348477758615
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-01,1856,1,10.690002679310401,10.916717630660717,-0.22671495135031527
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-02,1856,2,11.114395920694506,11.18970722294868,-0.0753113022541747
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-03,1856,3,11.030659810741446,11.27320757998345,-0.24254776924200527
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-04,1856,4,10.979386596831645,11.128652695501271,-0.14926609866962615
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-05,1856,5,10.30737096490182,10.46864818202685,-0.16127721712503096
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-06,1856,6,8.847272130980365,9.010163166980703,-0.16289103600033883
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-07,1856,7,7.027813708279559,7.205978780163648,-0.1781650718840897
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-08,1856,8,5.692919804833554,5.904109962335941,-0.21119015750238646
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-09,1856,9,5.859826036178795,6.1203564985988885,-0.2605304624200935
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-10,1856,10,7.82920700828581,8.040021515886416,-0.21081450760060605
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-11,1856,11,9.267919964208938,9.346480595267149,-0.07856063105821143
MIROC,MIROC6,r1i1p1f1,gn,historical,1856-12,1856,12,10.188192663892664,10.295898968658719,-0.10770630476605447
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-01,1857,1,10.99357854918784,10.916717630660717,0.07686091852712273
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-02,1857,2,11.141487183326428,11.18970722294868,-0.04822003962225274
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-03,1857,3,11.11539523146201,11.27320757998345,-0.15781234852144088
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-04,1857,4,10.981111840268532,11.128652695501271,-0.14754085523273908
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-05,1857,5,10.254080779151739,10.46864818202685,-0.21456740287511167
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-06,1857,6,8.64536484196943,9.010163166980703,-0.3647983250112734
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-07,1857,7,6.85973984688354,7.205978780163648,-0.3462389332801079
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-08,1857,8,5.5124739918905465,5.904109962335941,-0.3916359704453942
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-09,1857,9,5.688809321885533,6.1203564985988885,-0.4315471767133552
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-10,1857,10,7.753834698225872,8.040021515886416,-0.28618681766054355
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-11,1857,11,9.05004515286091,9.346480595267149,-0.29643544240623854
MIROC,MIROC6,r1i1p1f1,gn,historical,1857-12,1857,12,10.135222603110407,10.295898968658719,-0.1606763655483121
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-01,1858,1,10.743346818581882,10.916717630660717,-0.17337081207883465
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-02,1858,2,11.009384053786102,11.18970722294868,-0.18032316916257862
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-03,1858,3,11.109805611466781,11.27320757998345,-0.16340196851666988
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-04,1858,4,10.93245250040267,11.128652695501271,-0.19620019509860143
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-05,1858,5,10.158248634329924,10.46864818202685,-0.31039954769692635
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-06,1858,6,8.577216979389098,9.010163166980703,-0.43294618759160564
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-07,1858,7,6.814747153852914,7.205978780163648,-0.39123162631073427
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-08,1858,8,5.56018874775274,5.904109962335941,-0.3439212145832009
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-09,1858,9,5.769341713952892,6.1203564985988885,-0.35101478464599634
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-10,1858,10,7.872101223087873,8.040021515886416,-0.16792029279854237
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-11,1858,11,9.197874907288432,9.346480595267149,-0.14860568797871743
MIROC,MIROC6,r1i1p1f1,gn,historical,1858-12,1858,12,9.9436928699812,10.295898968658719,-0.3522060986775184
MIROC,MIROC6,r1i1p1f1,gn,historical,1859-01,1859,1,10.661158256811504,10.916717630660717,-0.2555593738492128
