institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MIROC,MIROC6,r1i1p1f1,gn,historical,1850,1850-08,8,6.078339324175194,5.9013797421887055,0.3255973793790937,0.17695958198648842
MIROC,MIROC6,r1i1p1f1,gn,historical,1851,1851-08,8,6.205575927037879,5.9013797421887055,0.3255973793790937,0.30419618484917343
MIROC,MIROC6,r1i1p1f1,gn,historical,1852,1852-08,8,6.127771890799,5.9013797421887055,0.3255973793790937,0.22639214861029444
MIROC,MIROC6,r1i1p1f1,gn,historical,1853,1853-08,8,6.25101934245059,5.9013797421887055,0.3255973793790937,0.34963960026188445
MIROC,MIROC6,r1i1p1f1,gn,historical,1854,1854-08,8,5.833715162558232,5.9013797421887055,0.3255973793790937,-0.06766457963047312
MIROC,MIROC6,r1i1p1f1,gn,historical,1855,1855-09,9,5.676256790665779,5.9013797421887055,0.3255973793790937,-0.22512295152292694
MIROC,MIROC6,r1i1p1f1,gn,historical,1856,1856-08,8,5.692919804833554,5.9013797421887055,0.3255973793790937,-0.20845993735515123
MIROC,MIROC6,r1i1p1f1,gn,historical,1857,1857-08,8,5.5124739918905465,5.9013797421887055,0.3255973793790937,-0.388905750298159
MIROC,MIROC6,r1i1p1f1,gn,historical,1858,1858-08,8,5.56018874775274,5.9013797421887055,0.3255973793790937,-0.3411909944359657
MIROC,MIROC6,r1i1p1f1,gn,historical,1859,1859-08,8,5.889863433034029,5.9013797421887055,0.3255973793790937,-0.011516309154676385
MIROC,MIROC6,r1i1p1f1,gn,historical,1860,1860-08,8,5.752004308004372,5.9013797421887055,0.3255973793790937,-0.14937543418433386
MIROC,MIROC6,r1i1p1f1,gn,historical,1861,1861-08,8,5.78622190679534,5.9013797421887055,0.3255973793790937,-0.1151578353933651
MIROC,MIROC6,r1i1p1f1,gn,historical,1862,1862-08,8,6.005303104022258,5.9013797421887055,0.3255973793790937,0.10392336183355244
MIROC,MIROC6,r1i1p1f1,gn,historical,1863,1863-08,8,5.964458370763533,5.9013797421887055,0.3255973793790937,0.06307862857482771
MIROC,MIROC6,r1i1p1f1,gn,historical,1864,1864-08,8,5.823441091782774,5.9013797421887055,0.3255973793790937,-0.0779386504059314
MIROC,MIROC6,r1i1p1f1,gn,historical,1865,1865-08,8,5.94658964146489,5.9013797421887055,0.3255973793790937,0.045209899276184906
MIROC,MIROC6,r1i1p1f1,gn,historical,1866,1866-08,8,5.601469184574023,5.9013797421887055,0.3255973793790937,-0.2999105576146821
MIROC,MIROC6,r1i1p1f1,gn,historical,1867,1867-08,8,5.56946744839629,5.9013797421887055,0.3255973793790937,-0.33191229379241527
MIROC,MIROC6,r1i1p1f1,gn,historical,1868,1868-08,8,5.557442976275792,5.9013797421887055,0.3255973793790937,-0.3439367659129138
MIROC,MIROC6,r1i1p1f1,gn,historical,1869,1869-09,9,5.239777893918411,5.9013797421887055,0.3255973793790937,-0.6616018482702941
MIROC,MIROC6,r1i1p1f1,gn,historical,1870,1870-08,8,5.004460801838871,5.9013797421887055,0.3255973793790937,-0.8969189403498348
MIROC,MIROC6,r1i1p1f1,gn,historical,1871,1871-08,8,5.243880639322139,5.9013797421887055,0.3255973793790937,-0.6574991028665664
MIROC,MIROC6,r1i1p1f1,gn,historical,1872,1872-08,8,5.441156114532021,5.9013797421887055,0.3255973793790937,-0.4602236276566849
MIROC,MIROC6,r1i1p1f1,gn,historical,1873,1873-08,8,5.609750115557483,5.9013797421887055,0.3255973793790937,-0.2916296266312228
MIROC,MIROC6,r1i1p1f1,gn,historical,1874,1874-09,9,5.320177945764322,5.9013797421887055,0.3255973793790937,-0.5812017964243834
MIROC,MIROC6,r1i1p1f1,gn,historical,1875,1875-08,8,5.812750279063452,5.9013797421887055,0.3255973793790937,-0.08862946312525377
MIROC,MIROC6,r1i1p1f1,gn,historical,1876,1876-08,8,5.816195374883417,5.9013797421887055,0.3255973793790937,-0.08518436730528833
MIROC,MIROC6,r1i1p1f1,gn,historical,1877,1877-08,8,5.935571381489447,5.9013797421887055,0.3255973793790937,0.034191639300741095
MIROC,MIROC6,r1i1p1f1,gn,historical,1878,1878-08,8,5.6268847533098665,5.9013797421887055,0.3255973793790937,-0.27449498887883905
MIROC,MIROC6,r1i1p1f1,gn,historical,1879,1879-08,8,5.376765635738471,5.9013797421887055,0.3255973793790937,-0.5246141064502341
MIROC,MIROC6,r1i1p1f1,gn,historical,1880,1880-08,8,6.026917349081447,5.9013797421887055,0.3255973793790937,0.12553760689274185
MIROC,MIROC6,r1i1p1f1,gn,historical,1881,1881-08,8,5.904064884622174,5.9013797421887055,0.3255973793790937,0.0026851424334681795
MIROC,MIROC6,r1i1p1f1,gn,historical,1882,1882-08,8,6.026542374978081,5.9013797421887055,0.3255973793790937,0.12516263278937512
MIROC,MIROC6,r1i1p1f1,gn,historical,1883,1883-08,8,5.987422807504276,5.9013797421887055,0.3255973793790937,0.08604306531557082
MIROC,MIROC6,r1i1p1f1,gn,historical,1884,1884-08,8,6.002429265574922,5.9013797421887055,0.3255973793790937,0.10104952338621676
MIROC,MIROC6,r1i1p1f1,gn,historical,1885,1885-08,8,6.210365505504405,5.9013797421887055,0.3255973793790937,0.3089857633156994
MIROC,MIROC6,r1i1p1f1,gn,historical,1886,1886-08,8,6.201346704178656,5.9013797421887055,0.3255973793790937,0.2999669619899503
MIROC,MIROC6,r1i1p1f1,gn,historical,1887,1887-08,8,5.775493799782783,5.9013797421887055,0.3255973793790937,-0.12588594240592244
MIROC,MIROC6,r1i1p1f1,gn,historical,1888,1888-08,8,6.064158025440766,5.9013797421887055,0.3255973793790937,0.16277828325206034
MIROC,MIROC6,r1i1p1f1,gn,historical,1889,1889-08,8,6.119215719124175,5.9013797421887055,0.3255973793790937,0.2178359769354694
MIROC,MIROC6,r1i1p1f1,gn,historical,1890,1890-08,8,6.324445021261698,5.9013797421887055,0.3255973793790937,0.4230652790729925
MIROC,MIROC6,r1i1p1f1,gn,historical,1891,1891-08,8,5.995575106678354,5.9013797421887055,0.3255973793790937,0.09419536448964827
MIROC,MIROC6,r1i1p1f1,gn,historical,1892,1892-08,8,5.948941061614876,5.9013797421887055,0.3255973793790937,0.04756131942617081
MIROC,MIROC6,r1i1p1f1,gn,historical,1893,1893-08,8,5.931806084965431,5.9013797421887055,0.3255973793790937,0.030426342776725512
