institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1850,-26.02061347020945,-2.8301337879484394
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1851,-23.92833558772313,-0.7378559054621183
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1852,-26.86807539236254,-3.6775957101015293
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1853,-22.403980987664557,0.7864986945964555
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1854,-20.504446396820004,2.6860332854410083
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1855,-23.704933917058998,-0.5144542347979852
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1856,-20.924086362192146,2.2663933200688637
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1857,-20.515906023043968,2.6745736592170446
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1858,-23.384774443048254,-0.19429476078723992
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1859,-18.931740301966844,4.258739380294166
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1860,-23.296496523982356,-0.1060168417213448
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1861,-19.243882623607067,3.946597058653944
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1862,-24.14749861049421,-0.9570189282332002
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1863,-23.512545718085025,-0.3220660358240159
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1864,-21.74977794769737,1.440701734563641
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1865,-22.216154621096162,0.974325061164851
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1866,-20.019361865234604,3.1711178170264094
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1867,-21.559238673634734,1.6312410086262756
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1868,-24.20892857164111,-1.0184488893800967
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1869,-24.008602649777732,-0.818122967516722
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1870,-22.950730176584717,0.2397495056762935
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1871,-25.132614936951473,-1.9421352546904602
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1872,-26.15124431482342,-2.96076463256241
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1873,-25.717863370709626,-2.5273836884486136
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1874,-21.06766956340072,2.1228101188602913
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1875,-23.09427373762594,0.09620594463507004
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1876,-22.889255600884542,0.3012240813764701
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1877,-20.70180301270128,2.488676669559732
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1878,-22.512385647626775,0.6780940346342345
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1879,-22.03984281363026,1.150636868630756
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1880,-23.581818732455798,-0.3913390501947851
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1881,-21.619308540263443,1.571171141997571
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1882,-23.52481409880255,-0.33433441654154095
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1883,-20.867330164026935,2.3231495182340782
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1884,-22.555705803691737,0.6347738785692746
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1885,-22.26337354592268,0.9271061363383281
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1886,-23.743508837781523,-0.5530291555205132
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1887,-23.604460626420188,-0.41398094415917414
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1888,-20.61870745783067,2.5717722244303425
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1889,-21.294855332917383,1.8956243493436296
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1890,-24.41691788877563,-1.226438206514618
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1891,-22.81925973639656,0.37121994586444895
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1892,-25.600223503594332,-2.4097438213333224
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1893,-21.97958675939482,1.2108929228661902
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1894,-21.075431151034305,2.115048531226708
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1895,-22.094279490999913,1.0962001912610997
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1896,-26.2290646993192,-3.038585017058189
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1897,-21.234890886834418,1.9555887954265945
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1898,-23.587242657232064,-0.39676297497105334
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1899,-21.950500860251623,1.2399788220093895
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1900,-21.845415223984258,1.345064458276754
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1901,-19.89416898985488,3.296310692406132
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1902,-24.883632885231375,-1.6931532029703613
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1903,-22.82582267486498,0.3646570073960304
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1904,-21.348374868307705,1.8421048139533045
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1905,-21.95641412018198,1.234065562079031
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1906,-25.048534566017356,-1.8580548837563444
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1907,-24.842789785686524,-1.6523101034255143
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1908,-22.17516871650871,1.015310965752298
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1909,-22.851382971356035,0.339096710904976
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1910,-21.4229897585805,1.7674899236805137
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1911,-21.4577946049981,1.7326850772629117
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1912,-22.480359151087413,0.7101205311735965
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1913,-20.703448979979736,2.4870307022812783
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1914,-24.905031962205737,-1.714552279944722
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1915,-25.406021128029522,-2.2155414457685096
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1916,-21.961858282159266,1.2286214001017448
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1917,-27.27303161298593,-4.082551930724917
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1918,-23.06053424296425,0.12994543929676658
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1919,-25.496719910625078,-2.3062402283640684
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1920,-21.60417217990717,1.5863075023538415
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1921,-24.838136503545385,-1.6476568212843734
