institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1850,1850-09,9,4.99481247226875,5.197350233070364,0.5094089516701806,-0.20253776080161412
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1851,1851-09,9,5.051536316792936,5.197350233070364,0.5094089516701806,-0.14581391627742768
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1852,1852-09,9,4.9744319832464035,5.197350233070364,0.5094089516701806,-0.22291824982396058
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1853,1853-09,9,4.590103581479023,5.197350233070364,0.5094089516701806,-0.6072466515913408
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1854,1854-09,9,3.867788590348243,5.197350233070364,0.5094089516701806,-1.3295616427221209
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1855,1855-08,8,5.009262088513071,5.197350233070364,0.5094089516701806,-0.18808814455729284
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1856,1856-09,9,5.150837034114761,5.197350233070364,0.5094089516701806,-0.04651319895560313
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1857,1857-08,8,4.514639373431109,5.197350233070364,0.5094089516701806,-0.682710859639255
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1858,1858-09,9,5.19796542932646,5.197350233070364,0.5094089516701806,0.0006151962560956292
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1859,1859-09,9,5.454902770236453,5.197350233070364,0.5094089516701806,0.25755253716608895
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1860,1860-09,9,5.639830942706491,5.197350233070364,0.5094089516701806,0.4424807096361274
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1861,1861-09,9,5.378502009564112,5.197350233070364,0.5094089516701806,0.18115177649374825
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1862,1862-09,9,5.255801029148422,5.197350233070364,0.5094089516701806,0.058450796078058254
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1863,1863-09,9,5.144967394146956,5.197350233070364,0.5094089516701806,-0.05238283892340778
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1864,1864-08,8,5.340060823487563,5.197350233070364,0.5094089516701806,0.1427105904171988
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1865,1865-09,9,5.953694601782978,5.197350233070364,0.5094089516701806,0.7563443687126137
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1866,1866-09,9,5.332954802430847,5.197350233070364,0.5094089516701806,0.13560456936048304
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1867,1867-08,8,5.36757235988036,5.197350233070364,0.5094089516701806,0.17022212680999615
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1868,1868-09,9,5.21605187327645,5.197350233070364,0.5094089516701806,0.018701640206085557
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1869,1869-09,9,5.009091897616143,5.197350233070364,0.5094089516701806,-0.1882583354542211
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1870,1870-09,9,4.902425715942341,5.197350233070364,0.5094089516701806,-0.29492451712802303
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1871,1871-09,9,4.987110392933639,5.197350233070364,0.5094089516701806,-0.21023984013672514
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1872,1872-08,8,5.576014227600396,5.197350233070364,0.5094089516701806,0.3786639945300321
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1873,1873-09,9,5.706053441898122,5.197350233070364,0.5094089516701806,0.5087032088277583
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1874,1874-09,9,5.358384051008396,5.197350233070364,0.5094089516701806,0.16103381793803173
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1875,1875-09,9,5.819190655991512,5.197350233070364,0.5094089516701806,0.6218404229211476
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1876,1876-08,8,6.167831144095367,5.197350233070364,0.5094089516701806,0.9704809110250032
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1877,1877-09,9,6.343733729900821,5.197350233070364,0.5094089516701806,1.146383496830457
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1878,1878-08,8,6.083884734272572,5.197350233070364,0.5094089516701806,0.8865345012022079
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1879,1879-09,9,5.975087857974208,5.197350233070364,0.5094089516701806,0.7777376249038443
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1880,1880-09,9,6.035058622674908,5.197350233070364,0.5094089516701806,0.8377083896045443
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1881,1881-09,9,5.835954090727336,5.197350233070364,0.5094089516701806,0.6386038576569719
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1882,1882-09,9,5.100225214788557,5.197350233070364,0.5094089516701806,-0.09712501828180731
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1883,1883-09,9,5.035683536136377,5.197350233070364,0.5094089516701806,-0.16166669693398728
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1884,1884-09,9,6.007605293821885,5.197350233070364,0.5094089516701806,0.8102550607515209
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1885,1885-09,9,5.757491162658374,5.197350233070364,0.5094089516701806,0.5601409295880098
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1886,1886-09,9,5.781255715952411,5.197350233070364,0.5094089516701806,0.5839054828820469
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1887,1887-09,9,5.463627530324552,5.197350233070364,0.5094089516701806,0.26627729725418803
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1888,1888-09,9,5.525224920277851,5.197350233070364,0.5094089516701806,0.3278746872074869
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1889,1889-09,9,5.1754651748287035,5.197350233070364,0.5094089516701806,-0.021885058241660538
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1890,1890-09,9,4.882575623065982,5.197350233070364,0.5094089516701806,-0.314774610004382
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1891,1891-09,9,5.5569365739357135,5.197350233070364,0.5094089516701806,0.35958634086534946
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1892,1892-09,9,4.659283665657,5.197350233070364,0.5094089516701806,-0.538066567413364
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1893,1893-09,9,5.136998774022826,5.197350233070364,0.5094089516701806,-0.06035145904753847
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1894,1894-09,9,5.179222687480662,5.197350233070364,0.5094089516701806,-0.018127545589702088
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,1895,1895-09,9,4.830847607193659,5.197350233070364,0.5094089516701806,-0.3665026258767048
