institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850,-24.514064754062783,0.6746809805840396
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851,-26.381212846502848,-1.192467111856027
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852,-24.04913355774536,1.1396121769014613
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853,-27.621953119040338,-2.433207384393516
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854,-28.55857852958299,-3.3698327949361704
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1855,-23.316284725490817,1.8724610091560059
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1856,-26.638125757432164,-1.449380022785342
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1857,-26.871954203495136,-1.6832084688483135
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1858,-26.316494341052902,-1.1277486064060824
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1859,-22.043022069081516,3.145723665565305
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1860,-23.936446976279907,1.252298758366914
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1861,-22.015052928324156,3.173692806322661
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1862,-27.63795404332628,-2.4492083086794594
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1863,-26.79994679876708,-1.6112010641202579
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1864,-26.38769508552151,-1.1989493508746873
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1865,-26.82589583739973,-1.6371501027529127
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1866,-27.956716773501327,-2.767971038854506
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1867,-28.107098043606047,-2.9183523089592267
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1868,-26.251136803807242,-1.0623910691604213
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1869,-24.488610346930304,0.700135387716517
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1870,-25.484690944333355,-0.2959452096865351
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1871,-25.710643720295177,-0.5218979856483571
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1872,-24.926889425920702,0.2618563087261192
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1873,-27.620666536033394,-2.431920801386569
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1874,-25.736307982053162,-0.5475622474063412
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1875,-25.553834078082318,-0.36508834343549673
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1876,-23.439385033753553,1.7493607008932657
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1877,-23.443250945385135,1.7454947892616863
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1878,-26.811395831345006,-1.6226500966981847
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1879,-24.797365821132843,0.39137991351397705
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1880,-21.710435097265385,3.478310637381437
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1881,-25.02319430396105,0.16555143068577216
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1882,-24.351157190476872,0.8375885441699475
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1883,-24.32318891280448,0.8655568218423433
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1884,-25.153258640056702,0.03548709459012104
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1885,-28.21780241478253,-3.0290566801357066
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1886,-20.98882812094401,4.19991761370281
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1887,-23.42082194133907,1.7679237933077507
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1888,-25.66606811763609,-0.47732238298927027
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1889,-23.766407499126434,1.4223382355203829
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1890,-23.126566674262563,2.0621790603842567
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1891,-26.17868428370889,-0.9899385490620668
