institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-01,1850,1,12.34470688681948,12.020660404907204,0.32404648191227636
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-02,1850,2,12.211215408624922,12.256828299507964,-0.04561289088304221
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-03,1850,3,12.291658267461155,12.317463538359021,-0.025805270897865995
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-04,1850,4,12.16265154235646,12.135504837613507,0.027146704742953887
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-05,1850,5,11.314391134530908,11.393198298032384,-0.07880716350147665
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-06,1850,6,9.587617871913842,9.671095999829578,-0.08347812791573617
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-07,1850,7,7.287011207008252,7.215147840636694,0.07186336637155843
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-08,1850,8,5.663303831111807,5.642142380594146,0.021161450517660718
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-09,1850,9,5.4399250748171,5.4605797082898695,-0.020654633472769746
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-10,1850,10,7.136744884879901,7.102370541760757,0.034374343119144335
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-11,1850,11,9.83861479652748,9.426893207124081,0.411721589403399
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1850-12,1850,12,11.169532554852807,11.18721110355299,-0.01767854870018226
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-01,1851,1,12.184379212924195,12.020660404907204,0.16371880801699135
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-02,1851,2,12.444511638443522,12.256828299507964,0.18768333893555855
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-03,1851,3,12.598388331772457,12.317463538359021,0.2809247934134351
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-04,1851,4,12.401024462211625,12.135504837613507,0.2655196245981184
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-05,1851,5,11.773073823243635,11.393198298032384,0.3798755252112507
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-06,1851,6,10.144393542676024,9.671095999829578,0.47329754284644565
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-07,1851,7,7.711548501597617,7.215147840636694,0.4964006609609237
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-08,1851,8,6.214732317126734,5.642142380594146,0.5725899365325882
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-09,1851,9,6.065215914089194,5.4605797082898695,0.6046362057993244
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-10,1851,10,7.553735833782168,7.102370541760757,0.4513652920214115
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-11,1851,11,9.625566179486727,9.426893207124081,0.1986729723626457
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1851-12,1851,12,11.486170186981356,11.18721110355299,0.2989590834283664
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-01,1852,1,12.116503008030453,12.020660404907204,0.09584260312324844
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-02,1852,2,12.51189439818636,12.256828299507964,0.25506609867839636
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-03,1852,3,12.601134311141177,12.317463538359021,0.28367077278215547
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-04,1852,4,12.50759917660722,12.135504837613507,0.3720943389937137
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-05,1852,5,11.979056484015413,11.393198298032384,0.5858581859830281
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-06,1852,6,10.26253536060758,9.671095999829578,0.5914393607780024
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-07,1852,7,7.732603829163154,7.215147840636694,0.5174559885264607
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-08,1852,8,6.344763221844178,5.642142380594146,0.7026208412500319
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-09,1852,9,6.242891347812026,5.4605797082898695,0.7823116395221561
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-10,1852,10,7.715461803190479,7.102370541760757,0.6130912614297221
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-11,1852,11,9.86667914111972,9.426893207124081,0.4397859339956387
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1852-12,1852,12,11.6390716363776,11.18721110355299,0.451860532824611
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-01,1853,1,11.860452218365952,12.020660404907204,-0.16020818654125257
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-02,1853,2,12.011716277240051,12.256828299507964,-0.24511202226791262
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-03,1853,3,12.216781245884695,12.317463538359021,-0.10068229247432647
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-04,1853,4,12.018875398216785,12.135504837613507,-0.11662943939672132
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-05,1853,5,11.2746987635319,11.393198298032384,-0.11849953450048467
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-06,1853,6,9.777368434085687,9.671095999829578,0.106272434256109
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-07,1853,7,7.55358262759217,7.215147840636694,0.33843478695547624
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-08,1853,8,5.9689891959707895,5.642142380594146,0.3268468153766433
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-09,1853,9,5.855400896086039,5.4605797082898695,0.39482118779616915
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-10,1853,10,7.238582437725615,7.102370541760757,0.13621189596485817
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-11,1853,11,9.516139390045256,9.426893207124081,0.08924618292117437
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1853-12,1853,12,11.481632193607771,11.18721110355299,0.29442109005478123
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-01,1854,1,12.02924530597377,12.020660404907204,0.008584901066566175
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-02,1854,2,12.282184382164317,12.256828299507964,0.02535608265635325
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-03,1854,3,12.43222733394118,12.317463538359021,0.11476379558215832
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-04,1854,4,12.23495100945102,12.135504837613507,0.09944617183751348
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-05,1854,5,11.60245508024958,11.393198298032384,0.2092567822171958
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-06,1854,6,9.8954362058732,9.671095999829578,0.22434020604362104
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-07,1854,7,7.388323318425791,7.215147840636694,0.1731754777890977
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-08,1854,8,5.810382841179881,5.642142380594146,0.16824046058573483
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,historical,1854-09,1854,9,5.561659958707795,5.4605797082898695,0.10108025041792512
