institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850,-22.68301740307159,-1.4318550803952856
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851,-24.093870215553206,-2.8427078928769
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852,-19.45107957040538,1.8000827522709228
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853,-24.89450838021233,-3.6433460575360246
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854,-18.52289673771922,2.7282655849570894
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855,-21.441741716042262,-0.19057939336596075
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856,-23.217254020994773,-1.9660916983184678
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1857,-24.70914632904434,-3.4579840063680343
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1858,-19.704137287896895,1.5470250347794117
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1859,-21.629800058811686,-0.3786377361353823
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1860,-22.962055170723215,-1.7108928480469106
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1861,-19.09722675950634,2.1539355631699615
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1862,-19.740851600236077,1.510310722440227
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1863,-19.934983048049563,1.316179274626743
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1864,-22.75921313875108,-1.5080508160747728
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1865,-19.695018962602145,1.5561433600741594
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1866,-20.60146829188801,0.6496940307882936
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1867,-20.860283316845855,0.3908790058304466
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1868,-15.733291673213587,5.517870649462715
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1869,-17.36733318540675,3.8838291372695557
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1870,-18.409014641493318,2.842147681182986
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1871,-21.015003959612685,0.23615836306362029
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1872,-17.804442972222645,3.4467193504536584
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1873,-21.66479710155457,-0.4136347788782624
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1874,-23.506424237794118,-2.255261915117815
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1875,-19.275144307641042,1.9760180150352624
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1876,-18.347928044011407,2.9032342786649004
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1877,-19.069160932481235,2.1820013901950683
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1878,-21.3493800999557,-0.09821777727939389
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1879,-19.670798984550135,1.5803633381261684
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1880,-20.68962385328398,0.561538469392322
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1881,-22.082168207938384,-0.831005885262079
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1882,-22.67775416244622,-1.4265918397699178
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1883,-21.32771727570669,-0.07655495303038551
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1884,-23.474868984948916,-2.223706662272613
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1885,-24.70564973518674,-3.4544874125104315
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1886,-19.18577677950227,2.065385543174035
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1887,-22.12999640230422,-0.878834079627914
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1888,-22.955039276620948,-1.7038769539446434
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1889,-20.79555861697797,0.45560370569833325
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1890,-20.097855957109612,1.1533063655666946
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1891,-24.998719993915028,-3.7475576712387215
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1892,-21.28415701408262,-0.03299469140631336
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1893,-21.305549516805616,-0.054387194129310444
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1894,-18.478789117416976,2.7723732052593273
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1895,-24.400508607295972,-3.1493462846196643
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1896,-22.5031511904305,-1.2519888677541962
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1897,-25.868887246466,-4.617724923789694
