institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-01,1850,1,1.7102968919806356,194.78431763302694,-0.799731565800314,-238.78201993572654,-16.809193355617033,-20.936808358762022,-80.8331386908983,1.7665275060909829,188.88577632081464,-0.7901142117080797,-238.26560107545006,-19.047395546974606,-23.544538158114626,-90.99534516534173,-0.05623061411034724,5.898541312212302,-0.009617354092234298,-0.5164188602764739,2.2382021913575727,2.6077297993526045,10.162206474443437
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-02,1850,2,12.028595724859228,174.46421829876033,-7.2201638296853154,-226.60963340666825,-24.388649080144845,-26.523628241583893,-98.24926053446273,11.652675397041685,189.3494778253969,-6.627546411923605,-236.88011537223937,-16.44929943238224,-22.080083973656794,-81.03489196776347,0.3759203278175427,-14.88525952663656,-0.5926174177617103,10.270481965571122,-7.939349647762604,-4.4435442679270984,-17.214368566699264
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-03,1850,3,55.33187307960031,200.98765328158404,-37.45362389267799,-245.4080311964529,-14.847880980803907,-21.588043741765134,-62.9780534505156,56.699922773493164,197.14345703420165,-37.45067220955981,-243.76102203202706,-13.052842664100039,-19.70528114968205,-60.12643824767414,-1.368049693892857,3.844196247382399,-0.002951683118176618,-1.647009164425839,-1.7950383167038684,-1.8827625920830826,-2.851615202841465
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-04,1850,4,151.10423461060918,223.32819864044856,-102.20886618099044,-268.1180644219892,-10.784987866719272,-17.07482448900118,-23.754309707642264,153.39703179855613,219.0075939203531,-104.64270874478623,-265.03714480960315,-7.63562424225844,-15.96518729064273,-20.876039368381285,-2.2927971879469453,4.320604720095474,2.4338425637957926,-3.080919612386026,-3.1493636244608316,-1.1096371983584508,-2.878270339260979
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-05,1850,5,241.26819586296787,260.15962342881267,-151.73784418557466,-298.7537565479428,-3.4753530711803604,-15.202778374503078,32.258087112579645,246.9711708471753,257.64327707157463,-155.83060093849613,-298.10065276029786,-4.005015996881696,-14.681324693877977,31.996853529196304,-5.7029749842074295,2.516346357238035,4.092756752921474,-0.6531037876449659,0.5296629257013352,-0.5214536806251004,0.2612335833833406
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-06,1850,6,261.7167966361796,298.1022839550921,-131.31748439953228,-322.16085214636024,-0.6597893890033262,-12.32248506622688,93.35846959014896,267.5946316757797,292.2505928762869,-135.72261409403288,-320.2919104856112,-1.069917298912628,-12.953335605531207,89.80744706797866,-5.877835039600086,5.851691078805231,4.4051296945006015,-1.8689416607490443,0.4101279099093018,0.6308505393043262,3.5510225221702996
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-07,1850,7,224.44465181540116,306.9448456803028,-80.50105403665553,-330.5963012275546,1.5028029445063715,-10.129618365609304,111.66532681039088,220.7153000394452,307.11856976062705,-82.88443037046426,-329.0931127579294,1.6493791900465826,-10.31920322964511,107.18650263208005,3.729351775955962,-0.17372408032423436,2.3833763338087266,-1.5031884696251723,-0.1465762455402111,0.18958486403580643,4.4788241783108305
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-08,1850,8,140.72812612820817,307.93372872400073,-39.859220043289824,-332.3808359289743,-1.0324713500027274,-13.785526852434458,61.60380067750755,140.17732200817633,305.5076131290502,-40.44438075825472,-330.6915466544684,-0.8642495321225918,-13.374385559435412,60.31037263294543,0.5508041200318416,2.426115594950545,0.5851607149648927,-1.6892892745058816,-0.16822181788013557,-0.4111412929990461,1.2934280445621198
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-09,1850,9,64.5399941925095,287.55474754237326,-16.293541644157358,-322.33526628129675,-8.828021282999721,-24.40913681797376,-19.771224291544847,63.61367359176966,288.2810896738093,-16.670719329240423,-321.0341530237621,-8.365017012354844,-22.486407168794077,-16.661533268572494,0.9263206007398352,-0.726342131436013,0.3771776850830655,-1.3011132575346664,-0.4630042706448769,-1.9227296491796828,-3.1096910229723527
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-10,1850,10,18.130907875513106,261.36409400187125,-3.8415125718907843,-304.31633607802235,-19.386338810763124,-32.838823034080015,-80.88800861737192,17.65434913671092,259.98649811840954,-4.019812796841394,-300.9307693277333,-18.766051608813484,-29.421481237051932,-75.49726771531965,0.47655873880218635,1.3775958834617086,0.17830022495060938,-3.3855667502890583,-0.6202872019496404,-3.417341797028083,-5.390740902052272
