institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-01,1850,1,12.574034401851529,12.563591395519543,0.010443006331986027
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-02,1850,2,13.12546571061628,12.882507498301937,0.24295821231434367
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-03,1850,3,13.174690369826948,12.98690345499785,0.18778691482909693
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-04,1850,4,12.785688002295183,12.80327373708038,-0.01758573478519665
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-05,1850,5,11.672395099812276,11.77279762152948,-0.10040252171720354
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-06,1850,6,9.151890620973322,9.31671397322357,-0.1648233522502469
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-07,1850,7,6.793744492172817,7.05778757600722,-0.26404308383440256
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-08,1850,8,5.09418206404756,5.256153574936584,-0.16197151088902384
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-09,1850,9,4.933750429757947,5.192735918092013,-0.25898548833406565
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-10,1850,10,6.633332004011229,7.006526541214213,-0.3731945372029841
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-11,1850,11,9.156086033659086,9.632033758642043,-0.4759477249829569
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850-12,1850,12,11.738052629704809,11.686012407861837,0.0520402218429723
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-01,1851,1,12.607182832901792,12.563591395519543,0.0435914373822488
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-02,1851,2,13.034376008220125,12.882507498301937,0.151868509918188
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-03,1851,3,13.093322347434317,12.98690345499785,0.10641889243646574
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-04,1851,4,12.870534517457275,12.80327373708038,0.06726078037689476
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-05,1851,5,12.1452664001108,11.77279762152948,0.37246877858132166
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-06,1851,6,9.34782780882485,9.31671397322357,0.031113835601280115
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-07,1851,7,6.849428532428818,7.05778757600722,-0.20835904357840196
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-08,1851,8,5.135267877462604,5.256153574936584,-0.12088569747398026
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-09,1851,9,4.923784950069097,5.192735918092013,-0.2689509680229163
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-10,1851,10,6.4271887594709005,7.006526541214213,-0.5793377817433125
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-11,1851,11,9.309310409829862,9.632033758642043,-0.3227233488121808
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851-12,1851,12,11.755770911857395,11.686012407861837,0.06975850399555839
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-01,1852,1,12.876557531718792,12.563591395519543,0.3129661361992486
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-02,1852,2,13.143336961189727,12.882507498301937,0.26082946288778963
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-03,1852,3,13.185621988301325,12.98690345499785,0.19871853330347378
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-04,1852,4,13.1123642999798,12.80327373708038,0.3090905628994207
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-05,1852,5,12.088073299406323,11.77279762152948,0.3152756778768442
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-06,1852,6,9.284121633513012,9.31671397322357,-0.03259233971055764
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-07,1852,7,6.682319496115753,7.05778757600722,-0.37546807989146735
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-08,1852,8,4.61343792013149,5.256153574936584,-0.6427156548050936
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-09,1852,9,4.425845664017858,5.192735918092013,-0.7668902540741547
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-10,1852,10,5.77446763283602,7.006526541214213,-1.2320589083781934
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-11,1852,11,8.905952943793888,9.632033758642043,-0.7260808148481548
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852-12,1852,12,11.897999731895434,11.686012407861837,0.211987324033597
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-01,1853,1,12.589612056926297,12.563591395519543,0.026020661406754186
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-02,1853,2,12.91258341049189,12.882507498301937,0.03007591218995387
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-03,1853,3,13.076761585878028,12.98690345499785,0.08985813088017736
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-04,1853,4,12.609631250885634,12.80327373708038,-0.19364248619474544
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-05,1853,5,11.45447412630749,11.77279762152948,-0.3183234952219891
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-06,1853,6,9.016344597030441,9.31671397322357,-0.3003693761931281
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-07,1853,7,6.835034302123668,7.05778757600722,-0.22275327388355226
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-08,1853,8,4.723862211106287,5.256153574936584,-0.5322913638302973
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-09,1853,9,4.75043532267372,5.192735918092013,-0.4423005954182928
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-10,1853,10,6.653936678865842,7.006526541214213,-0.3525898623483714
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-11,1853,11,9.522280654409057,9.632033758642043,-0.10975310423298623
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853-12,1853,12,11.890406375866199,11.686012407861837,0.2043939680043625
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-01,1854,1,12.63996807577166,12.563591395519543,0.07637668025211752
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-02,1854,2,12.646532423062355,12.882507498301937,-0.2359750752395815
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-03,1854,3,13.160245496910552,12.98690345499785,0.17334204191270075
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-04,1854,4,12.733511764310567,12.80327373708038,-0.06976197276981289
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-05,1854,5,11.814241833632117,11.77279762152948,0.041444212102637934
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-06,1854,6,9.539581298652012,9.31671397322357,0.22286732542844234
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-07,1854,7,7.475197894457731,7.05778757600722,0.4174103184505107
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-08,1854,8,5.443428064352963,5.256153574936584,0.18727448941637892
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-09,1854,9,5.186857568275691,5.192735918092013,-0.005878349816321737
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-10,1854,10,7.675511561464235,7.006526541214213,0.6689850202500223
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-11,1854,11,10.116270216550205,9.632033758642043,0.48423645790816217
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854-12,1854,12,11.680339358789313,11.686012407861837,-0.005673049072523639
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-01,1855,1,12.662289172077578,12.563591395519543,0.09869777655803524
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-02,1855,2,12.98000284098702,12.882507498301937,0.09749534268508242
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-03,1855,3,13.276116346660917,12.98690345499785,0.2892128916630661
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-04,1855,4,13.060016519570894,12.80327373708038,0.2567427824905142
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-05,1855,5,12.09802743843869,11.77279762152948,0.3252298169092107
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-06,1855,6,9.553041587884735,9.31671397322357,0.2363276146611657
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-07,1855,7,6.759447061789928,7.05778757600722,-0.29834051421729235
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-08,1855,8,4.871282876566151,5.256153574936584,-0.38487069837043286
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-09,1855,9,4.882805485757064,5.192735918092013,-0.30993043233494877
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-10,1855,10,6.696925882747539,7.006526541214213,-0.30960065846667373
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-11,1855,11,9.493944060599553,9.632033758642043,-0.13808969804249038
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855-12,1855,12,11.809141370348817,11.686012407861837,0.12312896248698024
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-01,1856,1,12.564847689596544,12.563591395519543,0.0012562940770006747
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-02,1856,2,12.865006711826185,12.882507498301937,-0.01750078647575215
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-03,1856,3,13.135296799765092,12.98690345499785,0.14839334476724098
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-04,1856,4,13.001212487900295,12.80327373708038,0.1979387508199153
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-05,1856,5,12.15241991590466,11.77279762152948,0.37962229437518147
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-06,1856,6,9.45099189140711,9.31671397322357,0.13427791818354073
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-07,1856,7,7.122154925178264,7.05778757600722,0.06436734917104392
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-08,1856,8,5.462380535757788,5.256153574936584,0.20622696082120395
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-09,1856,9,5.4968218600899705,5.192735918092013,0.3040859419979576
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-10,1856,10,6.942489065725838,7.006526541214213,-0.0640374754883748
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-11,1856,11,9.393807503918172,9.632033758642043,-0.23822625472387138
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856-12,1856,12,11.568105752347407,11.686012407861837,-0.11790665551442991
