institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1850,1850-09,9,4.933750429757947,5.113687204664268,0.5211176750273093,-0.17993677490632098
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1851,1851-09,9,4.923784950069097,5.113687204664268,0.5211176750273093,-0.18990225459517163
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1852,1852-09,9,4.425845664017858,5.113687204664268,0.5211176750273093,-0.68784154064641
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1853,1853-08,8,4.723862211106287,5.113687204664268,0.5211176750273093,-0.3898249935579816
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1854,1854-09,9,5.186857568275691,5.113687204664268,0.5211176750273093,0.07317036361142293
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1855,1855-08,8,4.871282876566151,5.113687204664268,0.5211176750273093,-0.24240432809811718
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1856,1856-08,8,5.462380535757788,5.113687204664268,0.5211176750273093,0.34869333109351963
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1857,1857-08,8,5.08430826485315,5.113687204664268,0.5211176750273093,-0.029378939811118165
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1858,1858-08,8,5.421751890653616,5.113687204664268,0.5211176750273093,0.3080646859893479
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1859,1859-09,9,5.054447899072014,5.113687204664268,0.5211176750273093,-0.05923930559225443
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1860,1860-09,9,5.621586228696078,5.113687204664268,0.5211176750273093,0.5078990240318095
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1861,1861-09,9,5.1186410756866,5.113687204664268,0.5211176750273093,0.004953871022332024
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1862,1862-09,9,5.072232399963706,5.113687204664268,0.5211176750273093,-0.041454804700562065
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1863,1863-08,8,5.458014850213672,5.113687204664268,0.5211176750273093,0.344327645549404
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1864,1864-08,8,5.372055591206669,5.113687204664268,0.5211176750273093,0.2583683865424007
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1865,1865-08,8,5.682578033381732,5.113687204664268,0.5211176750273093,0.5688908287174641
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1866,1866-09,9,4.798772550908608,5.113687204664268,0.5211176750273093,-0.3149146537556602
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1867,1867-08,8,5.891311625336018,5.113687204664268,0.5211176750273093,0.7776244206717493
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1868,1868-08,8,5.835401512875654,5.113687204664268,0.5211176750273093,0.7217143082113857
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1869,1869-09,9,5.8701153921535365,5.113687204664268,0.5211176750273093,0.7564281874892682
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1870,1870-08,8,6.187272011674679,5.113687204664268,0.5211176750273093,1.0735848070104108
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1871,1871-08,8,5.984996594584365,5.113687204664268,0.5211176750273093,0.8713093899200963
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1872,1872-08,8,6.037767564946638,5.113687204664268,0.5211176750273093,0.9240803602823693
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1873,1873-08,8,5.589268288931373,5.113687204664268,0.5211176750273093,0.47558108426710444
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1874,1874-08,8,6.095446346189537,5.113687204664268,0.5211176750273093,0.9817591415252691
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1875,1875-08,8,4.982697887479656,5.113687204664268,0.5211176750273093,-0.13098931718461237
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1876,1876-08,8,5.940550947311409,5.113687204664268,0.5211176750273093,0.8268637426471406
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1877,1877-08,8,6.00869991061444,5.113687204664268,0.5211176750273093,0.8950127059501716
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1878,1878-09,9,5.0950529931256,5.113687204664268,0.5211176750273093,-0.018634211538667955
MRI,MRI-ESM2-0,r1i1p1f1,gn,historical,1879,1879-09,9,5.451115001785066,5.113687204664268,0.5211176750273093,0.33742779712079773
