institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NUIST,NESM3,r1i1p1f1,gn,historical,1850,-11.404446954449353,1.8392836152881555
NUIST,NESM3,r1i1p1f1,gn,historical,1851,-9.77876404194766,3.4649665277898483
NUIST,NESM3,r1i1p1f1,gn,historical,1852,-9.133880740418066,4.109849829319443
NUIST,NESM3,r1i1p1f1,gn,historical,1853,-11.976768912523175,1.2669616572143336
NUIST,NESM3,r1i1p1f1,gn,historical,1854,-10.959522394513103,2.2842081752244057
NUIST,NESM3,r1i1p1f1,gn,historical,1855,-8.375369838310936,4.8683607314265736
NUIST,NESM3,r1i1p1f1,gn,historical,1856,-10.796708873297556,2.4470216964399523
NUIST,NESM3,r1i1p1f1,gn,historical,1857,-13.129623614091036,0.11410695564647282
NUIST,NESM3,r1i1p1f1,gn,historical,1858,-11.79474115537217,1.4489894143653395
NUIST,NESM3,r1i1p1f1,gn,historical,1859,-9.800407516284311,3.4433230534531956
NUIST,NESM3,r1i1p1f1,gn,historical,1860,-9.96651449525718,3.2772160744803287
NUIST,NESM3,r1i1p1f1,gn,historical,1861,-11.079180333590903,2.1645502361466042
NUIST,NESM3,r1i1p1f1,gn,historical,1862,-12.218641426030432,1.0250891437070748
NUIST,NESM3,r1i1p1f1,gn,historical,1863,-9.130873593719437,4.11285697601807
NUIST,NESM3,r1i1p1f1,gn,historical,1864,-13.836503405564438,-0.5927728358269307
NUIST,NESM3,r1i1p1f1,gn,historical,1865,-11.984528939008271,1.259201630729235
NUIST,NESM3,r1i1p1f1,gn,historical,1866,-15.206411175503254,-1.9626806057657447
NUIST,NESM3,r1i1p1f1,gn,historical,1867,-11.158006191494406,2.085724378243102
NUIST,NESM3,r1i1p1f1,gn,historical,1868,-10.431036006420305,2.8126945633172045
NUIST,NESM3,r1i1p1f1,gn,historical,1869,-12.643522880419306,0.6002076893181992
NUIST,NESM3,r1i1p1f1,gn,historical,1870,-12.712513868760709,0.5312167009767997
NUIST,NESM3,r1i1p1f1,gn,historical,1871,-11.188413573059501,2.0553169966780085
NUIST,NESM3,r1i1p1f1,gn,historical,1872,-9.265434299056023,3.9782962706814864
NUIST,NESM3,r1i1p1f1,gn,historical,1873,-13.528861886548759,-0.28513131681124887
NUIST,NESM3,r1i1p1f1,gn,historical,1874,-11.272824284959526,1.9709062847779826
NUIST,NESM3,r1i1p1f1,gn,historical,1875,-7.978876324305539,5.264854245431969
NUIST,NESM3,r1i1p1f1,gn,historical,1876,-13.121865013055677,0.12186555668183126
NUIST,NESM3,r1i1p1f1,gn,historical,1877,-12.037366324990558,1.206364244746952
NUIST,NESM3,r1i1p1f1,gn,historical,1878,-11.702574694935507,1.5411558748020013
NUIST,NESM3,r1i1p1f1,gn,historical,1879,-11.506852291380634,1.7368782783568726
NUIST,NESM3,r1i1p1f1,gn,historical,1880,-9.576736714508442,3.6669938552290664
NUIST,NESM3,r1i1p1f1,gn,historical,1881,-9.200047617239747,4.043682952497761
NUIST,NESM3,r1i1p1f1,gn,historical,1882,-11.541626222033045,1.702104347704464
NUIST,NESM3,r1i1p1f1,gn,historical,1883,-9.529882162140838,3.713848407596671
NUIST,NESM3,r1i1p1f1,gn,historical,1884,-14.625487431619732,-1.3817568618822234
NUIST,NESM3,r1i1p1f1,gn,historical,1885,-9.515846394126784,3.7278841756107237
NUIST,NESM3,r1i1p1f1,gn,historical,1886,-12.36340571154839,0.8803248581891171
NUIST,NESM3,r1i1p1f1,gn,historical,1887,-9.280782123193633,3.962948446543875
NUIST,NESM3,r1i1p1f1,gn,historical,1888,-10.191652558181305,3.0520780115562043
NUIST,NESM3,r1i1p1f1,gn,historical,1889,-9.718338348911223,3.525392220826286
NUIST,NESM3,r1i1p1f1,gn,historical,1890,-9.646377871876174,3.5973526978613335
NUIST,NESM3,r1i1p1f1,gn,historical,1891,-12.390512800890107,0.8532177688474029
NUIST,NESM3,r1i1p1f1,gn,historical,1892,-12.674044635100918,0.5696859346365911
NUIST,NESM3,r1i1p1f1,gn,historical,1893,-12.40352811929906,0.8402024504384508
NUIST,NESM3,r1i1p1f1,gn,historical,1894,-12.206136164424533,1.0375944053129762
NUIST,NESM3,r1i1p1f1,gn,historical,1895,-13.305880942877616,-0.062150373140106886
NUIST,NESM3,r1i1p1f1,gn,historical,1896,-13.938189582015406,-0.6944590122778992
NUIST,NESM3,r1i1p1f1,gn,historical,1897,-11.073858721270822,2.1698718484666872
NUIST,NESM3,r1i1p1f1,gn,historical,1898,-10.783195484811458,2.4605350849260526
NUIST,NESM3,r1i1p1f1,gn,historical,1899,-12.068433174713078,1.1752973950244294
NUIST,NESM3,r1i1p1f1,gn,historical,1900,-12.22446081261227,1.0192697571252405
NUIST,NESM3,r1i1p1f1,gn,historical,1901,-11.756196088808812,1.487534480928696
NUIST,NESM3,r1i1p1f1,gn,historical,1902,-11.674866228734652,1.5688643410028582
NUIST,NESM3,r1i1p1f1,gn,historical,1903,-13.833147505290185,-0.5894169355526779
NUIST,NESM3,r1i1p1f1,gn,historical,1904,-13.903524414514072,-0.6597938447765634
NUIST,NESM3,r1i1p1f1,gn,historical,1905,-11.842111446249229,1.4016191234882793
NUIST,NESM3,r1i1p1f1,gn,historical,1906,-11.555673016279789,1.68805755345772
NUIST,NESM3,r1i1p1f1,gn,historical,1907,-10.53987708034708,2.703853489390428
NUIST,NESM3,r1i1p1f1,gn,historical,1908,-11.840831939454254,1.4028986302832538
NUIST,NESM3,r1i1p1f1,gn,historical,1909,-10.574053681976208,2.6696768877613004
NUIST,NESM3,r1i1p1f1,gn,historical,1910,-12.933864388886546,0.30986618085096335
NUIST,NESM3,r1i1p1f1,gn,historical,1911,-10.679879154026272,2.563851415711238
NUIST,NESM3,r1i1p1f1,gn,historical,1912,-10.271117406628521,2.972613163108988
NUIST,NESM3,r1i1p1f1,gn,historical,1913,-13.558963497195736,-0.3152329274582284
NUIST,NESM3,r1i1p1f1,gn,historical,1914,-11.235148427632403,2.008582142105107
NUIST,NESM3,r1i1p1f1,gn,historical,1915,-11.247037384118011,1.9966931856194956
NUIST,NESM3,r1i1p1f1,gn,historical,1916,-11.335087416925289,1.9086431528122194
NUIST,NESM3,r1i1p1f1,gn,historical,1917,-11.382844108505878,1.8608864612316314
NUIST,NESM3,r1i1p1f1,gn,historical,1918,-13.66124554002429,-0.41751497028678114
NUIST,NESM3,r1i1p1f1,gn,historical,1919,-13.365712713551886,-0.12198214381437822
NUIST,NESM3,r1i1p1f1,gn,historical,1920,-12.898382544747507,0.3453480249900003
NUIST,NESM3,r1i1p1f1,gn,historical,1921,-15.705999406765983,-2.4622688370284744
NUIST,NESM3,r1i1p1f1,gn,historical,1922,-12.365193628504679,0.8785369412328293
NUIST,NESM3,r1i1p1f1,gn,historical,1923,-13.75483135971038,-0.5111007899728714
NUIST,NESM3,r1i1p1f1,gn,historical,1924,-11.597177462721648,1.6465531070158594
