institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850,-23.486838779394976,0.6998632743937904
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1851,-23.88577539686207,0.3009266569266981
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1852,-24.34318966531509,-0.15648761152632198
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1853,-22.664019257698765,1.5226827960899991
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1854,-22.988795680603072,1.197906373185692
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1855,-26.839647135367912,-2.6529450815791464
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1856,-25.897566982559564,-1.710864928770796
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1857,-25.917039254210124,-1.73033720042136
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1858,-23.868642060232578,0.3180599935561877
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1859,-23.731646563859087,0.4550554899296773
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1860,-22.48313566091072,1.703566392878047
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1861,-27.791988855892143,-3.6052868021033775
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1862,-24.61251063179977,-0.4258085780110064
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1863,-22.662643548461887,1.5240585053268798
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1864,-25.12323859531203,-0.9365365415232665
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1865,-24.332527201914115,-0.1458251481253455
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1866,-24.33778388623499,-0.1510818324462262
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1867,-23.827378754044176,0.35932329974459076
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1868,-24.60994970955734,-0.42324765576857687
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1869,-26.613794610634,-2.427092556845232
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1870,-26.76846708457998,-2.581765030791214
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1871,-23.337234642084606,0.8494674117041626
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1872,-22.228488108792444,1.9582139449963238
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1873,-24.72089891827687,-0.5341968644881042
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1874,-20.682443395514632,3.5042586582741335
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1875,-22.597102638744385,1.5895994150443815
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1876,-24.025980899435652,0.16072115435311427
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1877,-26.627717860077983,-2.4410158062892156
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1878,-24.470718378753343,-0.28401632496457313
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1879,-25.343150126048275,-1.156448072259509
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1880,-25.146229643581986,-0.9595275897932186
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1881,-23.44564430336831,0.7410577504204537
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1882,-24.504336409659164,-0.31763435587040006
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1883,-25.751893282543005,-1.5651912287542364
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1884,-27.6405450399624,-3.4538429861736337
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1885,-24.25081778467749,-0.06411573088872628
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1886,-25.013336116006204,-0.8266340622174418
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1887,-23.19915574346987,0.9875463103188954
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1888,-21.528270238171686,2.6584318156170803
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1889,-23.473523958488325,0.7131780953004411
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1890,-23.401781221915176,0.7849208318735886
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1891,-23.718001744625017,0.46870030916374983
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1892,-22.97611220293922,1.2105898508495476
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1893,-22.63188415015625,1.5548179036325191
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1894,-24.898144926748014,-0.7114428729592458
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1895,-22.65370935066746,1.5329927031213082
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1896,-27.035033799605447,-2.8483317458166817
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1897,-20.483220548339833,3.703481505448931
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1898,-20.132329086638,4.054372967150768
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1899,-22.324573908824608,1.862128144964161
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1900,-23.56128103846363,0.6254210153251387
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1901,-23.34643811817054,0.8402639356182281
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1902,-23.98226465398676,0.20443739980200584
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1903,-24.880480354444746,-0.6937783006559787
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1904,-25.259817113823846,-1.0731150600350825
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1905,-23.56441346483666,0.6222885889521036
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1906,-21.146267615308492,3.0404344384802733
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1907,-24.5632311076009,-0.3765290538121322
