institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-01,1850,1,1.7119825244375466,187.10234114122906,-0.892774230897651,-225.4009543384667,-19.144298314786376,-19.622543275404496,-76.2462464938886,1.6965176345005621,186.85552610689334,-0.8510952911822524,-226.73385197779808,-23.421497600487584,-21.20774967573777,-83.66215080381176,0.015464889936984472,0.24681503433572516,-0.0416789397153986,1.332897639331378,4.277199285701208,1.5852064003332735,7.41590430992315
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-02,1850,2,10.992735751838678,181.63295051374675,-6.778998692317019,-220.907667143809,-26.10138750769498,-21.556172601808687,-82.71853968004427,10.911137137507179,186.2473167539818,-6.570601467829968,-224.6919452018322,-21.657295590169866,-20.261210427509813,-76.02259879585284,0.08159861433149906,-4.614366240235057,-0.20839722448705178,3.7842780580232045,-4.444091917525114,-1.294962174298874,-6.69594088419143
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-03,1850,3,55.39705224453678,194.77626900023574,-37.386973780210916,-234.57151509837152,-14.50665165089203,-17.285675034723234,-53.577494319425185,54.42381358759933,190.32050053363062,-36.369687166598,-230.45172776991834,-18.004429199988497,-18.383608716365632,-58.46513873164051,0.973238656937454,4.455768466605122,-1.0172866136129173,-4.119787328453185,3.497777549096467,1.0979336816423988,4.887644412215323
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-04,1850,4,149.3851738580131,213.06847079619527,-102.81252528738823,-256.8468085468213,-11.821366372668722,-16.76423667007109,-25.791292222740985,151.23880403535603,208.36447092885302,-103.28737764570779,-253.03995295407327,-12.619698718828927,-15.342113966455205,-24.685868320856123,-1.8536301773429216,4.703999867342247,0.4748523583195663,-3.806855592748036,0.7983323461602048,-1.4221227036158837,-1.105423901884862
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-05,1850,5,238.5571199446407,251.1253813322587,-153.9519448523968,-292.77441656772027,-7.925683698288193,-14.263724375368723,20.766731783125465,237.1476445502099,251.4041471714475,-153.26016223768696,-292.02399885883494,-7.371735744100095,-13.020956157660065,22.874938723375344,1.4094753944308138,-0.27876583918879305,-0.6917826147098367,-0.7504177088853226,-0.5539479541880983,-1.242768217708658,-2.108206940249879
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-06,1850,6,234.1060261095763,293.2033963585532,-118.9967636786485,-318.2895546339438,-4.513169421341601,-12.208125274871863,73.3018094593237,236.05328953647998,292.1658281504047,-123.9007561653189,-317.5102663767568,-4.030525101016374,-11.554603456027538,71.22296658776511,-1.9472634269036746,1.0375682081485138,4.90399248667039,-0.7792882571869768,-0.4826443203252273,-0.6535218188443253,2.0788428715585923
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-07,1850,7,180.3296869850606,305.96810006822847,-65.798609831109,-323.85655313817546,-2.8382257332058716,-9.696943199262284,84.10745515153648,178.79689332694582,305.8182119678627,-68.29244286870278,-323.27917975721516,-2.5636375985347244,-9.506733838212915,80.9731112321429,1.5327936581147696,0.1498881003657857,2.493833037593774,-0.5773733809602959,-0.2745881346711472,-0.19020936104936936,3.1343439193935865
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-08,1850,8,112.83325348920059,305.4771762786474,-37.131335872857846,-323.3739883138579,-3.1800101137402024,-10.5347909575215,44.09030450987048,115.57043443694234,302.41090264508136,-39.0899643659541,-322.17117633380514,-3.6528562342078685,-11.593623984481953,41.473716163574586,-2.7371809477417486,3.066273633566027,1.9586284930962563,-1.2028119800527861,0.47284612046766616,1.0588330269604533,2.6165883462958917
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-09,1850,9,54.971205444832364,286.1797552057243,-18.263524974252633,-313.63432071501313,-8.491473403019649,-17.130235256304783,-16.368593698033514,57.19046934793572,279.9626507494591,-20.826596775235902,-309.5714635100196,-9.796794346807225,-18.342007874288853,-21.383742408956753,-2.2192639031033536,6.21710445626519,2.56307180098327,-4.06285720499352,1.3053209437875761,1.2117726179840709,5.015148710923238
NCC,NorESM2-MM,r1i1p1f1,gn,historical,1850-10,1850,10,16.56191667040462,250.39975891359632,-5.342359983806287,-289.2647948674436,-18.28340991702238,-24.86178532208398,-70.79067450635526,16.597704063231895,240.8336188073997,-5.940937621311581,-280.45687857844354,-17.789968498159528,-22.692463925013524,-69.44892575229663,-0.035787392827273834,9.566140106196627,0.5985776375052936,-8.807916289000048,-0.49344141886285087,-2.169321397070455,-1.341748754058628
