institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-01,1850,1,1.8526955348730878,180.86949081176073,-0.9194458001572344,-226.2539431368196,-29.54324031368436,-30.33023615109983,-104.32467905512722,1.835116545098481,185.40096345785972,-0.9022874445489102,-228.76498827116006,-25.923388278390696,-28.2968278615786,-96.65141185272009,0.017578989774606812,-4.53147264609899,-0.01715835560832424,2.5110451343404634,-3.6198520352936647,-2.0334082895212298,-7.673267202407132
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-02,1850,2,11.190622248197215,177.07008986088127,-6.501222248120822,-219.88887748173818,-22.727268124123643,-27.05341749750019,-87.91007324240434,11.489834638175004,186.22429778512637,-6.7014904701648375,-228.13188696741096,-23.14472288983177,-26.758686197332867,-87.02265410143907,-0.29921238997778943,-9.1542079242451,0.2002682220440155,8.243009485672786,0.41745476570812556,-0.2947313001673244,-0.8874191409652639
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-03,1850,3,56.20430967972949,190.1584752989301,-36.993973682105526,-231.9085690901997,-19.529539057772336,-23.622989605776844,-65.69228645719483,56.81790773436265,192.30708700615392,-37.13350241949991,-234.90250481790247,-17.748415885410967,-22.86885189235719,-63.528280274653966,-0.6135980546331581,-2.1486117072238073,0.13952873739438587,2.9939357277027625,-1.7811231723613687,-0.7541377134196559,-2.1640061825408594
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-04,1850,4,158.7857463719257,210.60931224520507,-107.32319607120462,-256.91210667594135,-11.556369961972637,-19.099848189057585,-25.49646228104543,160.1376654824695,207.0324837079534,-107.54263314540538,-254.7052173119694,-11.519079893306152,-18.147987619528934,-24.744768779786988,-1.3519191105437756,3.5768285372516857,0.21943707420075498,-2.2068893639719533,-0.037290068666484544,-0.9518605695286517,-0.751693501258444
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-05,1850,5,264.6471362650835,240.5383114936999,-171.18159697639044,-287.60671957690414,-3.085815786719455,-10.23798767207955,33.073327746689785,267.38413468330424,238.15655607364135,-171.61058501834285,-287.4819240341604,-6.194848614378205,-14.406164976439019,25.847168113625134,-2.7369984182207645,2.381755420058539,0.42898804195240814,-0.1247955427437546,3.1090328276587496,4.168177304359469,7.2261596330646505
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-06,1850,6,293.4454875209162,270.6996357188021,-171.18329691823666,-311.04920843924936,-3.9322273662905287,-12.874519149770192,65.10587136617148,288.28807209772407,276.0813360907536,-160.01393871252108,-314.37769318956254,-3.564705324886018,-12.598140985366053,73.81492997614194,5.157415423192106,-5.381700371951524,-11.169358205715582,3.32848475031318,-0.3675220414045106,-0.2763781644041394,-8.709058609970455
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-07,1850,7,233.6190124067078,292.1874645081619,-105.24664669603139,-323.2498020979064,-2.8270066247320806,-11.59416320093049,82.88885829526929,218.37533562804683,299.22378506517305,-85.55815593635697,-325.50232395882864,-1.919306025712955,-10.919214855721316,93.70011991659997,15.243676778660983,-7.036320557011152,-19.688490759674423,2.2525218609222293,-0.9077005990191256,-0.6749483452091738,-10.811261621330686
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-08,1850,8,140.66047734504772,294.57252989791493,-50.92562024295936,-322.78583784339185,-4.436315189006099,-14.557599888674464,42.52763407893089,140.21799668504227,296.562868228285,-44.66486614523165,-325.1421256879577,-3.816575680973475,-14.233602031937439,48.923695367227076,0.44248066000545805,-1.9903383303700934,-6.2607540977277125,2.356287844565827,-0.619739508032624,-0.32399785673702475,-6.396061288296188
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-09,1850,9,70.71095557180628,265.1258740589353,-26.065123447575644,-304.4681644593295,-8.717053368874687,-20.570525183568105,-23.984036828606317,69.12468805980903,270.44938058885504,-22.251662495038737,-309.67184652353023,-9.634973850192743,-22.130661855398458,-24.115076075496138,1.5862675119972494,-5.323506529919712,-3.813460952536907,5.203682064200734,0.9179204813180561,1.560136671830353,0.13103924688982005
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-10,1850,10,19.37319472618941,236.75986570990437,-6.088679682335697,-278.12288867079087,-11.793001281197078,-20.6943841106094,-60.56589330883927,18.90084156740773,238.82237271143532,-5.094993849740776,-283.30261577196194,-18.756341351918884,-28.26116465137974,-77.69190134615832,0.4723531587816794,-2.062507001530946,-0.9936858325949212,5.179727101171068,6.963340070721806,7.566780540770342,17.126008037319046
