institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850,1850-09,9,6.9497392560552855,6.093322478886483,0.4298169809278127,0.8564167771688025
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851,1851-09,9,5.699251956126347,6.093322478886483,0.4298169809278127,-0.39407052276013577
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1852,1852-09,9,5.905849472304141,6.093322478886483,0.4298169809278127,-0.18747300658234245
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1853,1853-08,8,6.321641540893678,6.093322478886483,0.4298169809278127,0.22831906200719487
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1854,1854-09,9,6.795341542659473,6.093322478886483,0.4298169809278127,0.7020190637729904
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1855,1855-09,9,6.267617565934861,6.093322478886483,0.4298169809278127,0.17429508704837815
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1856,1856-09,9,5.744015268054805,6.093322478886483,0.4298169809278127,-0.34930721083167793
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1857,1857-09,9,5.86939531621025,6.093322478886483,0.4298169809278127,-0.22392716267623314
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1858,1858-09,9,5.712036919593767,6.093322478886483,0.4298169809278127,-0.38128555929271624
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1859,1859-09,9,5.654588689047438,6.093322478886483,0.4298169809278127,-0.4387337898390449
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1860,1860-09,9,5.196963490712469,6.093322478886483,0.4298169809278127,-0.8963589881740139
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1861,1861-09,9,4.831463303679654,6.093322478886483,0.4298169809278127,-1.2618591752068289
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1862,1862-09,9,5.341795431615902,6.093322478886483,0.4298169809278127,-0.7515270472705806
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1863,1863-09,9,5.607169251776942,6.093322478886483,0.4298169809278127,-0.4861532271095408
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1864,1864-09,9,5.579370806150067,6.093322478886483,0.4298169809278127,-0.5139516727364164
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1865,1865-09,9,5.369765667641717,6.093322478886483,0.4298169809278127,-0.7235568112447659
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1866,1866-09,9,5.475785677456293,6.093322478886483,0.4298169809278127,-0.6175368014301901
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1867,1867-09,9,5.55297991878165,6.093322478886483,0.4298169809278127,-0.5403425601048326
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1868,1868-08,8,6.018073951355625,6.093322478886483,0.4298169809278127,-0.07524852753085831
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1869,1869-09,9,5.951068520807504,6.093322478886483,0.4298169809278127,-0.142253958078979
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1870,1870-09,9,5.432006015850743,6.093322478886483,0.4298169809278127,-0.6613164630357398
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1871,1871-09,9,5.928042805619696,6.093322478886483,0.4298169809278127,-0.16527967326678716
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1872,1872-09,9,6.493598994032399,6.093322478886483,0.4298169809278127,0.400276515145916
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1873,1873-08,8,6.556078331594193,6.093322478886483,0.4298169809278127,0.46275585270771025
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1874,1874-08,8,6.711622891439333,6.093322478886483,0.4298169809278127,0.6183004125528502
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1875,1875-09,9,6.469765120804576,6.093322478886483,0.4298169809278127,0.37644264191809285
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1876,1876-09,9,5.7911656331799515,6.093322478886483,0.4298169809278127,-0.30215684570653156
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1877,1877-09,9,5.394817787873492,6.093322478886483,0.4298169809278127,-0.6985046910129906
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1878,1878-09,9,5.417204013410768,6.093322478886483,0.4298169809278127,-0.6761184654757146
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1879,1879-09,9,5.584524542340631,6.093322478886483,0.4298169809278127,-0.5087979365458519
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1880,1880-09,9,5.931979485189908,6.093322478886483,0.4298169809278127,-0.16134299369657512
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1881,1881-09,9,5.8624775694979885,6.093322478886483,0.4298169809278127,-0.23084490938849456
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1882,1882-09,9,5.516879319345395,6.093322478886483,0.4298169809278127,-0.5764431595410882
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1883,1883-08,8,6.031686351303245,6.093322478886483,0.4298169809278127,-0.06163612758323822
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1884,1884-09,9,6.243635578921522,6.093322478886483,0.4298169809278127,0.15031310003503862
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1885,1885-08,8,6.616984254619474,6.093322478886483,0.4298169809278127,0.5236617757329913
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1886,1886-09,9,6.2001049089222695,6.093322478886483,0.4298169809278127,0.10678243003578647
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1887,1887-08,8,6.390348410576428,6.093322478886483,0.4298169809278127,0.2970259316899453
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1888,1888-09,9,5.452668190295246,6.093322478886483,0.4298169809278127,-0.6406542885912367
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1889,1889-09,9,6.6147165408415685,6.093322478886483,0.4298169809278127,0.5213940619550854
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1890,1890-09,9,6.260479163184289,6.093322478886483,0.4298169809278127,0.16715668429780628
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1891,1891-09,9,6.22360796049094,6.093322478886483,0.4298169809278127,0.13028548160445652
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1892,1892-09,9,6.515988499103898,6.093322478886483,0.4298169809278127,0.42266602021741484
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1893,1893-09,9,5.978638979269615,6.093322478886483,0.4298169809278127,-0.11468349961686819
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1894,1894-09,9,5.759112674051557,6.093322478886483,0.4298169809278127,-0.33420980483492624
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1895,1895-09,9,6.550338053299404,6.093322478886483,0.4298169809278127,0.45701557441292096
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1896,1896-09,9,6.274762405060555,6.093322478886483,0.4298169809278127,0.1814399261740718
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1897,1897-09,9,6.450361596694313,6.093322478886483,0.4298169809278127,0.3570391178078296
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1898,1898-09,9,6.470169155555053,6.093322478886483,0.4298169809278127,0.37684667666856964
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1899,1899-09,9,6.492189683469968,6.093322478886483,0.4298169809278127,0.39886720458348535
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1900,1900-09,9,6.120033308971771,6.093322478886483,0.4298169809278127,0.026710830085288073
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1901,1901-09,9,6.783503016536881,6.093322478886483,0.4298169809278127,0.6901805376503978
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1902,1902-09,9,6.614821985519832,6.093322478886483,0.4298169809278127,0.521499506633349
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1903,1903-09,9,6.62887250841782,6.093322478886483,0.4298169809278127,0.5355500295313371
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1904,1904-09,9,7.016064600239678,6.093322478886483,0.4298169809278127,0.9227421213531946
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1905,1905-09,9,6.766499398572094,6.093322478886483,0.4298169809278127,0.673176919685611
