institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850,-21.856862246337744,-0.12191948145163749
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851,-19.737015969887043,1.99792679499906
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852,-21.146675470376366,0.5882672945097379
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853,-21.395801926687508,0.3391408381985987
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854,-23.601754801213744,-1.8668120363276393
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1855,-23.023946774793213,-1.2890040099071058
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1856,-24.541208865090212,-2.8062661002041067
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1857,-21.10185313706101,0.6330896278250977
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1858,-22.471986008917963,-0.7370432440318533
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1859,-22.06234123294199,-0.32739846805588496
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1860,-23.264507729031692,-1.5295649641455886
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1861,-24.23362284656966,-2.4986800816835517
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1862,-21.131984974158065,0.60295779072804
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1863,-23.235885984526067,-1.5009432196399615
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1864,-23.761377208214896,-2.026434443328789
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1865,-24.823306156490634,-3.088363391604531
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1866,-23.059009843486905,-1.3240670786008015
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1867,-21.55395225879531,0.18099050609079428
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1868,-24.467051070997318,-2.7321083061112135
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1869,-26.1266449220156,-4.391702157129497
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1870,-23.72155744768772,-1.9866146828016127
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1871,-23.637021904168765,-1.9020791392826604
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1872,-20.81497968457958,0.9199630803065277
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1873,-27.028918112054118,-5.293975347168016
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1874,-23.82166466009693,-2.086721895210823
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1875,-23.3890675667151,-1.654124801828992
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1876,-24.576958594221182,-2.8420158293350775
