institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-01,1850,1,12.855320756009446,12.841069732324511,0.014251023684934694
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-02,1850,2,13.188035519263641,13.052575440590799,0.1354600786728426
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-03,1850,3,13.392061316772164,13.084475311238052,0.3075860055341124
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-04,1850,4,13.221617377322886,12.891298638721189,0.33031873860169725
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-05,1850,5,12.419366485822243,12.12182555549293,0.2975409303293137
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-06,1850,6,10.646082072520613,10.56014229872586,0.08593977379475248
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-07,1850,7,8.272925637639704,8.377659541961345,-0.10473390432164109
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-08,1850,8,6.144232064139,6.494668399593875,-0.3504363354548756
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-09,1850,9,6.506840902228066,6.742467621996264,-0.23562671976819782
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-10,1850,10,8.355687944279108,8.456494308873493,-0.1008063645943853
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-11,1850,11,10.762912303021983,10.63141795782804,0.13149434519394276
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850-12,1850,12,12.432588482279101,12.183681407006313,0.248907075272788
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-01,1851,1,13.279286208853817,12.841069732324511,0.4382164765293055
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-02,1851,2,13.553841152438824,13.052575440590799,0.5012657118480259
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-03,1851,3,13.590289640194891,13.084475311238052,0.5058143289568395
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-04,1851,4,13.31236111501894,12.891298638721189,0.4210624762977506
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-05,1851,5,12.487219659861982,12.12182555549293,0.3653941043690523
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-06,1851,6,10.869667118329957,10.56014229872586,0.3095248196040963
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-07,1851,7,8.774832165742326,8.377659541961345,0.39717262378098184
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-08,1851,8,6.664316893433115,6.494668399593875,0.1696484938392402
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-09,1851,9,6.540436068853566,6.742467621996264,-0.20203155314269772
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-10,1851,10,8.613019339297601,8.456494308873493,0.15652503042410792
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-11,1851,11,10.803175401785008,10.63141795782804,0.17175744395696846
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851-12,1851,12,12.330592996764135,12.183681407006313,0.14691158975782237
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-01,1852,1,13.183201828122511,12.841069732324511,0.3421320957980001
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-02,1852,2,13.263843724828691,13.052575440590799,0.21126828423789235
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-03,1852,3,13.21523770123243,13.084475311238052,0.13076238999437884
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-04,1852,4,12.987758573913215,12.891298638721189,0.09645993519202634
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-05,1852,5,12.248126164844614,12.12182555549293,0.1263006093516843
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-06,1852,6,10.55977095424734,10.56014229872586,-0.0003713444785216069
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-07,1852,7,8.361052462243466,8.377659541961345,-0.016607079717879003
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-08,1852,8,5.854673028391975,6.494668399593875,-0.6399953712019002
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-09,1852,9,5.896388058793154,6.742467621996264,-0.8460795632031095
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-10,1852,10,8.045745746445194,8.456494308873493,-0.4107485624282994
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-11,1852,11,10.661620284241316,10.63141795782804,0.030202326413276026
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852-12,1852,12,12.101864273121876,12.183681407006313,-0.0818171338844369
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-01,1853,1,12.758037806471027,12.841069732324511,-0.08303192585348462
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-02,1853,2,12.980288842734984,13.052575440590799,-0.0722865978558147
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-03,1853,3,12.998180770265115,13.084475311238052,-0.08629454097293632
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-04,1853,4,12.579193008384449,12.891298638721189,-0.31210563033674
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-05,1853,5,11.988887623464809,12.12182555549293,-0.13293793202812054
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-06,1853,6,10.339682443406218,10.56014229872586,-0.22045985531964263
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-07,1853,7,8.15582909337093,8.377659541961345,-0.22183044859041523
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-08,1853,8,5.989895383392976,6.494668399593875,-0.5047730162008994
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-09,1853,9,6.400486184116602,6.742467621996264,-0.34198143787966195
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-10,1853,10,8.365890696560468,8.456494308873493,-0.09060361231302494
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-11,1853,11,10.357795076221,10.63141795782804,-0.2736228816070394
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853-12,1853,12,11.990727236553544,12.183681407006313,-0.19295417045276864
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-01,1854,1,12.81413535565764,12.841069732324511,-0.02693437666687082
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-02,1854,2,12.981170885127797,13.052575440590799,-0.07140455546300117
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-03,1854,3,13.149624817968546,13.084475311238052,0.06514950673049391
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-04,1854,4,12.983409251559863,12.891298638721189,0.09211061283867394
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-05,1854,5,12.266545405198242,12.12182555549293,0.1447198497053126
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-06,1854,6,10.67056000474375,10.56014229872586,0.11041770601788947
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854-07,1854,7,8.47983101966745,8.377659541961345,0.10217147770610602
