institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1850,1850-08,8,6.144232064139,6.4868177492985515,0.4795371629402745,-0.3425856851595519
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1851,1851-09,9,6.540436068853566,6.4868177492985515,0.4795371629402745,0.053618319555014615
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1852,1852-08,8,5.854673028391975,6.4868177492985515,0.4795371629402745,-0.6321447209065765
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1853,1853-08,8,5.989895383392976,6.4868177492985515,0.4795371629402745,-0.4969223659055757
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1854,1854-09,9,6.355434465599313,6.4868177492985515,0.4795371629402745,-0.1313832836992388
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1855,1855-08,8,7.2093889226906835,6.4868177492985515,0.4795371629402745,0.7225711733921321
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1856,1856-08,8,7.24103827409142,6.4868177492985515,0.4795371629402745,0.7542205247928688
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1857,1857-08,8,7.009947207777486,6.4868177492985515,0.4795371629402745,0.5231294584789348
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1858,1858-08,8,6.4566641033132655,6.4868177492985515,0.4795371629402745,-0.030153645985286026
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1859,1859-08,8,6.74143649170691,6.4868177492985515,0.4795371629402745,0.2546187424083586
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1860,1860-08,8,6.465286453919592,6.4868177492985515,0.4795371629402745,-0.021531295378959925
MOHC,UKESM1-0-LL,r1i1p1f2,gn,historical,1861,1861-08,8,6.360864895899166,6.4868177492985515,0.4795371629402745,-0.12595285339938567
