institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850,-26.41084358511297,0.8007497270502067
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851,-24.697399792283846,2.514193519879339
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1852,-27.23407317095176,-0.0224798587885762
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1853,-25.432780024317708,1.7788132878454774
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1854,-27.14505613312472,0.0665371790384596
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1855,-29.773823332901884,-2.562230020738698
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1856,-24.768808827944184,2.442784484218997
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1857,-24.120067857299983,3.0915254548632003
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1858,-26.04164475891597,1.1699485532472085
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1859,-30.964692573434014,-3.7530992612708336
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1860,-25.240670873257255,1.970922438905924
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1861,-27.952813113401746,-0.7412198012385636
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1862,-30.091471166199938,-2.8798778540367542
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1863,-29.77920239105684,-2.567609078893652
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1864,-25.960752445535707,1.2508408666274746
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1865,-27.14842879460114,0.0631645175620464
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1866,-22.29319700130065,4.918396310862533
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1867,-30.411351281572824,-3.19975796940964
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1868,-28.388087936547183,-1.1764946243839998
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1869,-25.07650854089692,2.135084771266265
