institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-01,1850,1,12.515556100256516,12.171782998438609,0.3437731018179075
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-02,1850,2,12.563574701903349,12.357408541450596,0.2061661604527529
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-03,1850,3,12.448428598397692,12.36932195358279,0.0791066448149013
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-04,1850,4,12.105461470257543,12.156422103516965,-0.0509606332594181
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-05,1850,5,11.307230142703304,11.33069284443419,-0.0234627017308852
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-06,1850,6,10.24917572905392,10.038604187352323,0.2105715417015936
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-07,1850,7,8.707012528617845,8.2236557627676,0.483356765850246
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-08,1850,8,7.02985204348983,6.320710059933455,0.7091419835563757
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-09,1850,9,6.9497392560552855,6.104400177967668,0.8453390780876173
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-10,1850,10,8.503081774211221,7.9061634635335665,0.5969183106776548
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-11,1850,11,10.235335839773606,10.075817244057376,0.1595185957162304
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1850-12,1850,12,11.330807655129972,11.527618824822422,-0.1968111696924488
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851-01,1851,1,12.167033593056788,12.171782998438609,-0.0047494053818208
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851-02,1851,2,12.26841595844005,12.357408541450596,-0.0889925830105458
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851-03,1851,3,12.420770586514204,12.36932195358279,0.0514486329314145
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851-04,1851,4,11.925646562382898,12.156422103516965,-0.230775541134065
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851-05,1851,5,10.987513397920164,11.33069284443419,-0.343179446514025
AS-RCEC,TaiESM1,r1i1p1f1,gn,historical,1851-06,1851,6,9.612318653981117,10.038604187352323,-0.4262855333712085
