institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-01,2015,1,12.24715777743127,12.8161504521769,-0.5689926747456315
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-02,2015,2,12.581943043079754,13.077870426515886,-0.49592738343613263
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-03,2015,3,12.850064696756368,13.129968181664914,-0.2799034849085462
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-04,2015,4,12.736779872776424,12.929769373974484,-0.1929895011980598
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-05,2015,5,11.668672620399823,12.06029569338179,-0.3916230729819663
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-06,2015,6,9.81461409858657,10.377849521634676,-0.5632354230481056
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-07,2015,7,6.863302545406202,7.857553305444511,-0.9942507600383088
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-08,2015,8,4.488007939696969,5.63197621076121,-1.1439682710642414
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-09,2015,9,4.641108864100644,5.798480637762352,-1.1573717736617075
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-10,2015,10,6.892075604380292,7.824719510381191,-0.9326439060008989
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-11,2015,11,9.530263575805405,10.340050327926162,-0.8097867521207576
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2015-12,2015,12,11.192679482514231,11.948186704007277,-0.7555072214930458
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp245,2016-01,2016,1,12.22702771678978,12.8161504521769,-0.5891227353871216
