institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-01,2015,1,1.4797878092860013,217.18895702437356,-0.5522406084399578,-253.25823986283518,-37.28329385178447,-33.56712575104621,-105.99215524044624,1.6579286852252568,196.20551484935447,-0.7660732495860045,-233.69317904034412,-26.446030144367764,-23.962358246853956,-87.00419714657214,-0.17814087593925554,20.983442175019093,0.21383264114604672,-19.565060822491063,-10.837263707416707,-9.604767504192257,-18.9879580938741
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-02,2015,2,9.561869192273578,214.133964002963,-5.163291817761064,-245.80023567671412,-29.45260462133883,-24.31089567930725,-81.03119459988469,10.385738957971206,195.57557849392916,-5.961691198481865,-231.37068932874575,-24.899052807969824,-23.09016983538138,-79.36028571867845,-0.8238697656976282,18.558385509033855,0.7983993807208005,-14.429546347968369,-4.553551813369005,-1.2207258439258695,-1.6709088812062305
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-03,2015,3,46.356072606861034,217.26356034862692,-29.43744369121444,-251.8520225281393,-28.670269162327966,-26.30474159283659,-72.6448440190303,52.34600267468988,199.48953926508008,-34.42371965033548,-236.7508496922062,-20.85710861632136,-20.373539266184096,-60.56967528527718,-5.989930067828844,17.77402108354684,4.986275959121038,-15.101172835933085,-7.813160546006607,-5.9312023266524925,-12.075168733753124
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-04,2015,4,124.33726368116719,242.48660187401345,-83.03092922527276,-272.42398166649724,-17.445355499985656,-17.0976158273543,-23.174016663929308,148.4263517975451,216.72984245488897,-100.49578385113533,-258.4648433761369,-13.984813605344282,-15.80226050010748,-23.59150708028995,-24.08908811637791,25.756759419124478,17.46485462586257,-13.959138290360329,-3.4605418946413735,-1.2953553272468206,0.41749041636064277
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-05,2015,5,192.13969952569218,283.0790890021792,-117.1906730289987,-305.68796020435457,-7.999799052029665,-12.67718438842897,31.66317185405949,230.97572059279568,260.9168771007636,-147.350178023134,-296.4210780752247,-8.42963842864043,-13.368998020843918,26.322705145716213,-38.8360210671035,22.162211901415617,30.15950499413529,-9.26688212912984,0.4298393766107651,0.6918136324149486,5.340466708343278
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-06,2015,6,190.69997063513117,308.4161225378302,-87.15447891718595,-322.0519318971391,-4.3860765821716265,-11.20290151568297,74.32070426078165,229.4053676740754,296.8800857108836,-116.00451780204455,-318.9062131313004,-4.049380336574811,-11.48764164916818,75.83770046587108,-38.70539703894423,11.5360368269466,28.85003888485859,-3.145718765838751,-0.33669624559681566,0.28474013348520977,-1.516996205089427
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-07,2015,7,149.8987458625527,313.9831542401228,-42.783869519522305,-326.51962657905193,-1.5535648964427102,-7.34522810995481,85.67961099770378,167.28392393654957,309.3164516077261,-59.40260923806807,-324.12606880488454,-2.2717320425952057,-9.161909245871227,81.63805621285663,-17.385178073996883,4.666702632396721,16.61873971854576,-2.393557774167391,0.7181671461524954,1.8166811359164168,4.0415547848471505
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-08,2015,8,92.06000984505633,310.5804684971418,-19.417600745284272,-326.70572197348747,-3.518548377606586,-12.460220705625897,40.538386540193855,106.60594156560862,307.0192301231463,-30.971484870242,-324.3886704459015,-3.1681999649659307,-11.50649087877609,43.59032552886945,-14.54593172055229,3.5612383739954794,11.55388412495773,-2.3170515275859884,-0.3503484126406553,-0.9537298268498073,-3.0519389886755945
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-09,2015,9,51.772439337990235,292.31022435852856,-10.945727149814816,-319.83951236952873,-8.463606886531398,-24.200414366029733,-19.3665970753859,54.89830463739902,288.9866461711278,-16.49764968729072,-315.33848147263296,-9.098186561522688,-19.40690265700391,-16.456269569923517,-3.1258652994087868,3.3235781874007557,5.551922537475905,-4.50103089689577,0.63457967499129,-4.793511709025822,-2.9103275054623836
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-10,2015,10,14.499842039068813,276.4480982856379,-2.7105581334944415,-306.1507495594957,-17.377630293233196,-30.73164317480865,-66.02264083632524,15.9193122787883,256.89747343904895,-4.380194310946924,-291.697864388461,-19.062866206999274,-25.57814248566332,-67.90228167423336,-1.4194702397194874,19.55062484658896,1.6696361774524822,-14.452885171034666,1.6852359137660784,-5.1535006891453286,1.879640837908127
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-11,2015,11,2.401233070243469,240.60161111303358,-0.369610558188066,-277.7459112385341,-28.917113185309848,-30.329550854512537,-94.3593416532675,2.5925275075676772,226.74750459235383,-0.5328379026360872,-264.97601499925315,-26.070306271323897,-26.466079860120846,-88.70520693341243,-0.19129443732420803,13.85410652067975,0.16322734444802123,-12.769896239280968,-2.846806913985951,-3.8634709943916903,-5.6541347198550795
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2015-12,2015,12,0.6097454357711626,227.53610575413202,-0.14548475690307808,-262.14068697779084,-34.599281310837654,-30.99844624240503,-99.7380480980334,0.6773264413565148,205.25541358021636,-0.21629244537056036,-244.35942714392272,-27.52562905630308,-25.26915405374307,-91.43776267776657,-0.06758100558535218,22.280692173915668,0.07080768846748228,-17.78125983386812,-7.073652254534572,-5.729292188661962,-8.300285420266832
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2016-01,2016,1,1.5196298585966272,216.15077846477638,-0.6694098943583104,-250.76004457472746,-31.798981978662237,-27.64488127499144,-93.20290939936646,1.6579286852252568,196.20551484935447,-0.7660732495860045,-233.69317904034412,-26.446030144367764,-23.962358246853956,-87.00419714657214,-0.13829882662862958,19.945263615421908,0.09666335522769409,-17.06686553438334,-5.352951834294473,-3.682523028137485,-6.198712252794323
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2016-02,2016,2,9.789217159271494,211.85819563322926,-5.293188572733069,-245.90293212659645,-30.083850393063337,-26.511006943074,-86.14356524296612,10.385738957971206,195.57557849392916,-5.961691198481865,-231.37068932874575,-24.899052807969824,-23.09016983538138,-79.36028571867845,-0.5965217986997118,16.2826171393001,0.668502625748796,-14.5322427978507,-5.184797585093513,-3.42083710769262,-6.783279524287664
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2016-03,2016,3,47.81415809527537,210.51761810825454,-30.807603243362163,-245.11398764643204,-30.32310369746027,-25.387492489266375,-73.30041087299095,52.34600267468988,199.48953926508008,-34.42371965033548,-236.7508496922062,-20.85710861632136,-20.373539266184096,-60.56967528527718,-4.531844579414511,11.028078843174455,3.6161164069733154,-8.363137954225834,-9.46599508113891,-5.013953223082279,-12.730735587713774
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp245,2016-04,2016,4,129.49254378163468,236.3084204599702,-85.43082828585521,-268.16884735353614,-17.005525602590954,-15.322469612777109,-20.126706613154525,148.4263517975451,216.72984245488897,-100.49578385113533,-258.4648433761369,-13.984813605344282,-15.80226050010748,-23.59150708028995,-18.933808015910415,19.578578005081226,15.064955565280115,-9.704003977399225,-3.0207119972466714,0.47979088733037045,3.4648004671354258
