institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NCAR,CESM2,r4i1p1f1,gn,ssp245,2015,-20.5309325424636,3.3225959068640374
NCAR,CESM2,r4i1p1f1,gn,ssp245,2016,-23.378535352432323,0.4749930968953138
NCAR,CESM2,r4i1p1f1,gn,ssp245,2017,-22.50688866232639,1.3466397870012463
NCAR,CESM2,r4i1p1f1,gn,ssp245,2018,-25.91313475978613,-2.059606310458493
NCAR,CESM2,r4i1p1f1,gn,ssp245,2019,-21.64528474155775,2.208243707769885
NCAR,CESM2,r4i1p1f1,gn,ssp245,2020,-25.19477403792767,-1.3412455886000298
NCAR,CESM2,r4i1p1f1,gn,ssp245,2021,-22.86359034049146,0.9899381088361782
NCAR,CESM2,r4i1p1f1,gn,ssp245,2022,-19.416978347848538,4.4365501014790985
NCAR,CESM2,r4i1p1f1,gn,ssp245,2023,-22.299188065569165,1.5543403837584737
NCAR,CESM2,r4i1p1f1,gn,ssp245,2024,-19.155781609601373,4.697746839726263
NCAR,CESM2,r4i1p1f1,gn,ssp245,2025,-18.63938675364438,5.214141695683256
NCAR,CESM2,r4i1p1f1,gn,ssp245,2026,-22.72182970320061,1.1316987461270271
NCAR,CESM2,r4i1p1f1,gn,ssp245,2027,-20.3891443713206,3.464384078007035
NCAR,CESM2,r4i1p1f1,gn,ssp245,2028,-19.578601651754525,4.274926797573112
NCAR,CESM2,r4i1p1f1,gn,ssp245,2029,-20.84945792202429,3.004070527303346
NCAR,CESM2,r4i1p1f1,gn,ssp245,2030,-21.110207983044855,2.7433204662827815
NCAR,CESM2,r4i1p1f1,gn,ssp245,2031,-18.939816898206107,4.913711551121529
NCAR,CESM2,r4i1p1f1,gn,ssp245,2032,-21.409702406556132,2.4438260427715064
NCAR,CESM2,r4i1p1f1,gn,ssp245,2033,-18.740748112908552,5.112780336419083
NCAR,CESM2,r4i1p1f1,gn,ssp245,2034,-22.03792598074705,1.8156024685805852
NCAR,CESM2,r4i1p1f1,gn,ssp245,2035,-20.03253615088412,3.820992298443516
NCAR,CESM2,r4i1p1f1,gn,ssp245,2036,-18.885781294874786,4.967747154452854
NCAR,CESM2,r4i1p1f1,gn,ssp245,2037,-22.07299856056797,1.7805298887596654
NCAR,CESM2,r4i1p1f1,gn,ssp245,2038,-20.2233536261928,3.6301748231348387
NCAR,CESM2,r4i1p1f1,gn,ssp245,2039,-20.79334989114162,3.0601785581860175
NCAR,CESM2,r4i1p1f1,gn,ssp245,2040,-23.759556450247118,0.09397199908051916
NCAR,CESM2,r4i1p1f1,gn,ssp245,2041,-21.532504964462607,2.3210234848650266
NCAR,CESM2,r4i1p1f1,gn,ssp245,2042,-20.224329628443147,3.629198820884491
NCAR,CESM2,r4i1p1f1,gn,ssp245,2043,-18.379571826438564,5.473956622889072
NCAR,CESM2,r4i1p1f1,gn,ssp245,2044,-21.277613821412885,2.57591462791475
NCAR,CESM2,r4i1p1f1,gn,ssp245,2045,-20.923190030294744,2.9303384190328914
NCAR,CESM2,r4i1p1f1,gn,ssp245,2046,-16.968340691015673,6.8851877583119645
NCAR,CESM2,r4i1p1f1,gn,ssp245,2047,-19.89050328005921,3.9630251692684246
NCAR,CESM2,r4i1p1f1,gn,ssp245,2048,-15.202984979897346,8.65054346943029
NCAR,CESM2,r4i1p1f1,gn,ssp245,2049,-20.78965485672155,3.0638735926060874
NCAR,CESM2,r4i1p1f1,gn,ssp245,2050,-21.570256898737984,2.283271550589652
NCAR,CESM2,r4i1p1f1,gn,ssp245,2051,-17.2792303844595,6.574298064868138
NCAR,CESM2,r4i1p1f1,gn,ssp245,2052,-18.88397167404222,4.969556775285417
NCAR,CESM2,r4i1p1f1,gn,ssp245,2053,-16.33212163007987,7.521406819247766
NCAR,CESM2,r4i1p1f1,gn,ssp245,2054,-17.556362582301492,6.297165867026142
NCAR,CESM2,r4i1p1f1,gn,ssp245,2055,-16.51014698530781,7.343381464019827
NCAR,CESM2,r4i1p1f1,gn,ssp245,2056,-17.900092517916598,5.95343593141104
NCAR,CESM2,r4i1p1f1,gn,ssp245,2057,-16.27104272346595,7.582485725861687
NCAR,CESM2,r4i1p1f1,gn,ssp245,2058,-14.77910590496515,9.07442254436249
NCAR,CESM2,r4i1p1f1,gn,ssp245,2059,-16.953925283741324,6.8996031655863135
NCAR,CESM2,r4i1p1f1,gn,ssp245,2060,-18.52554064309749,5.327987806230145
NCAR,CESM2,r4i1p1f1,gn,ssp245,2061,-17.36672076778299,6.486807681544647
NCAR,CESM2,r4i1p1f1,gn,ssp245,2062,-17.752262346129275,6.101266103198363
NCAR,CESM2,r4i1p1f1,gn,ssp245,2063,-17.575076141592675,6.278452307734962
NCAR,CESM2,r4i1p1f1,gn,ssp245,2064,-19.561595512420478,4.291932936907159
NCAR,CESM2,r4i1p1f1,gn,ssp245,2065,-16.571314419854755,7.2822140294728825
NCAR,CESM2,r4i1p1f1,gn,ssp245,2066,-15.541495041804026,8.312033407523609
NCAR,CESM2,r4i1p1f1,gn,ssp245,2067,-17.34797564780085,6.505552801526783
NCAR,CESM2,r4i1p1f1,gn,ssp245,2068,-14.917170810985668,8.936357638341969
NCAR,CESM2,r4i1p1f1,gn,ssp245,2069,-14.944393145716667,8.90913530361097
NCAR,CESM2,r4i1p1f1,gn,ssp245,2070,-21.17648063303355,2.6770478162940865
NCAR,CESM2,r4i1p1f1,gn,ssp245,2071,-14.442161362357986,9.411367086969651
NCAR,CESM2,r4i1p1f1,gn,ssp245,2072,-14.423409314473906,9.430119134853733
NCAR,CESM2,r4i1p1f1,gn,ssp245,2073,-18.368792948466787,5.48473550086085
NCAR,CESM2,r4i1p1f1,gn,ssp245,2074,-12.614604262515213,11.238924186812424
NCAR,CESM2,r4i1p1f1,gn,ssp245,2075,-19.703565822563288,4.149962626764348
NCAR,CESM2,r4i1p1f1,gn,ssp245,2076,-12.552512437791604,11.301016011536033
NCAR,CESM2,r4i1p1f1,gn,ssp245,2077,-15.962401072260386,7.891127377067249
NCAR,CESM2,r4i1p1f1,gn,ssp245,2078,-12.753776882675341,11.099751566652296
NCAR,CESM2,r4i1p1f1,gn,ssp245,2079,-18.68192524872872,5.171603200598916
NCAR,CESM2,r4i1p1f1,gn,ssp245,2080,-16.882696427009137,6.9708320223185005
NCAR,CESM2,r4i1p1f1,gn,ssp245,2081,-16.868717752391248,6.984810696936388
NCAR,CESM2,r4i1p1f1,gn,ssp245,2082,-15.015033573973552,8.838494875354085
NCAR,CESM2,r4i1p1f1,gn,ssp245,2083,-12.212966690131331,11.640561759196308
NCAR,CESM2,r4i1p1f1,gn,ssp245,2084,-14.885354636142523,8.968173813185116
NCAR,CESM2,r4i1p1f1,gn,ssp245,2085,-11.980622034787437,11.872906414540202
NCAR,CESM2,r4i1p1f1,gn,ssp245,2086,-16.396635474510443,7.456892974817197
NCAR,CESM2,r4i1p1f1,gn,ssp245,2087,-13.749755129185262,10.103773320142375
NCAR,CESM2,r4i1p1f1,gn,ssp245,2088,-13.79001484047756,10.063513608850077
