institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2015,-21.902117366402848,-1.66885218749928
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2016,-18.147833625249962,2.085431553653606
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2017,-23.00076524794402,-2.767500069040454
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2018,-23.766545462049432,-3.533280283145864
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2019,-27.72263528084009,-7.4893701019365215
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2020,-24.5436984142014,-4.310433235297836
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2021,-23.094248975741706,-2.860983796838138
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2022,-16.45771020572744,3.7755549731761264
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2023,-18.941868746710984,1.2913964321925844
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2024,-21.27722557887969,-1.0439603999761236
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2025,-19.066216086190618,1.1670490927129504
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2026,-22.670850652355114,-2.4375854734515485
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2027,-19.26268074280263,0.9705844361009385
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2028,-16.520991723665137,3.7122734552384316
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2029,-23.535269753422515,-3.3020045745189464
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2030,-23.268437268746755,-3.035172089843188
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2031,-22.02610885687655,-1.7928436779729828
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2032,-20.64144854316493,-0.4081833642613617
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2033,-18.935381642075377,1.2978835368281902
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2034,-22.386967332332357,-2.1537021534287892
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2035,-20.70690114746141,-0.47363596855784057
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2036,-19.54065711992086,0.6926080589827102
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2037,-18.968530143409964,1.2647350354936044
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2038,-24.599157987297144,-4.365892808393576
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2039,-22.64914495801977,-2.4158797791162017
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2040,-29.851223577431607,-9.617958398528039
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2041,-20.498266547205763,-0.2650013683021945
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2042,-21.416205030400892,-1.1829398514973288
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2043,-16.071197517559508,4.16206766134406
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2044,-21.73128990047469,-1.4980247215711229
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2045,-21.96444856735702,-1.7311833884534498
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2046,-24.311023561007783,-4.07775838210421
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2047,-20.815149758040988,-0.5818845791374206
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2048,-20.285538831447592,-0.05227365254402402
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2049,-20.63111966898307,-0.39785449007950646
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2050,-27.636952536392243,-7.4036873574886775
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,2051,-22.80682295642201,-2.573557777518443
