institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2015,-23.896964324200294,-1.2378583432008219
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2016,-26.743989306222982,-4.084883325223511
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2017,-24.2676849860123,-1.6085790050128272
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2018,-21.003410600957043,1.655695380042425
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2019,-25.239400805222186,-2.5802948242227117
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2020,-22.851706324282365,-0.19260034328289613
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2021,-25.441497919450587,-2.7823919384511164
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2022,-21.878068744770232,0.7810372362292387
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2023,-22.458707289910325,0.20039869108914607
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2024,-21.706533140177868,0.9525728408216052
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2025,-22.68722326872371,-0.02811728772423905
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2026,-22.62543461099503,0.03367137000444176
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2027,-22.903421652604578,-0.24431567160510545
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2028,-24.633260004689237,-1.974154023689768
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2029,-22.332425927316507,0.32668005368296066
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2030,-25.656355073907978,-2.9972490929085094
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2031,-20.88410646638786,1.7749995146116142
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2032,-23.035021534266566,-0.37591555326709586
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2033,-22.415366469456103,0.24373951154336737
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,ssp245,2034,-23.4065516090764,-0.7474456280769243
