institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015,-21.254185603492356,-3.2812580904112654
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2016,-21.31640285868127,-3.343475345600174
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2017,-21.67638825207679,-3.703460738995698
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2018,-21.56419420305723,-3.591266689976139
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2019,-21.27015614033716,-3.2972286272560694
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2020,-21.86217615876795,-3.8892486456868607
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2021,-19.832194976047372,-1.8592674629662793
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2022,-19.061310599741116,-1.0883830866600255
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2023,-18.386713885446245,-0.413786372365155
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2024,-17.2472052518771,0.7257222612039903
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2025,-19.075520498371443,-1.1025929852903507
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2026,-17.700325390265984,0.2726021228151077
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2027,-19.407778871906164,-1.434851358825071
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2028,-18.723830834482936,-0.7509033214018453
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2029,-13.984207604194799,3.9887199088862926
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2030,-17.787919928058688,0.18500758502240325
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2031,-19.055428592963455,-1.0825010798823618
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2032,-17.160305838966334,0.8126216741147557
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2033,-18.91080656349695,-0.937879050415862
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2034,-20.008586644352885,-2.035659131271792
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2035,-16.953566563479853,1.019360949601239
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2036,-10.918701610415042,7.054225902666051
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2037,-14.748377446700658,3.2245500663804343
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2038,-15.980987442662537,1.991940070418555
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2039,-14.37809041284392,3.594837100237172
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2040,-17.076069672691826,0.8968578403892646
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2041,-15.4946276285611,2.4782998845199917
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2042,-12.229767469731163,5.743160043349929
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2043,-14.566196003226318,3.4067315098547724
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2044,-17.815678425996605,0.15724908708448648
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2045,-14.92134479304203,3.051582720039061
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2046,-14.432526489914215,3.540401023166878
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2047,-17.320002639572877,0.6529248735082148
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2048,-14.394303975908736,3.5786235371723563
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2049,-17.289093525727733,0.6838339873533629
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2050,-12.485152341289565,5.487775171791526
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2051,-16.231255070590304,1.741672442490786
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2052,-13.388865789351186,4.5840617237299055
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2053,-15.385586246646431,2.5873412664346613
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2054,-13.44392360694377,4.529003906137323
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2055,-16.059490438344206,1.9134370747368867
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2056,-14.92456435920524,3.048363153875852
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2057,-12.494519003750076,5.478408509331017
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2058,-14.677702755873696,3.295224757207396
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2059,-16.300866123083274,1.6720613899978167
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2060,-12.875833393179159,5.097094119901934
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2061,-15.201573759485319,2.771353753595775
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2062,-13.450331382847615,4.5225961302334765
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2063,-18.431999627389917,-0.45907211430882694
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2064,-10.672351566410642,7.30057594667045
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2065,-14.331048563073773,3.641878950007318
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2066,-15.572335132943051,2.400592380138041
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2067,-17.164789068052173,0.8081384450289205
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2068,-15.294062686387448,2.678864826693643
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2069,-16.70897260525238,1.26395490782871
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2070,-16.92990012999711,1.043027383083982
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2071,-18.561981399437844,-0.589053886356751
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2072,-20.074988887048193,-2.1020613739671012
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2073,-18.043940148679464,-0.07101263559837445
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2074,-17.94609075881503,0.026836754266061764
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2075,-19.518240856166084,-1.5453133430849917
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2076,-16.038286276535462,1.9346412365456278
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2077,-18.827100493296765,-0.8541729802156741
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2078,-17.36064192733355,0.6122855857475393
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2079,-15.328717389890338,2.6442101231907538
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2080,-18.511393166234445,-0.5384656531533523
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2081,-17.231818953009295,0.7411085600717987
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2082,-19.19773433191949,-1.2248068188383987
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2083,-18.042754718219744,-0.06982720513865193
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2084,-19.990620724248227,-2.017693211167138
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2085,-12.651672944912463,5.321254568168629
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2086,-18.1786533463075,-0.20572583322640833
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2087,-20.122422779777768,-2.1494952666966793
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2088,-20.207333164156726,-2.234405651075632
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2089,-22.24768209965372,-4.274754586572629
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2090,-17.075666509956886,0.8972610031242064
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2091,-17.343290883186683,0.6296366298944086
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2092,-16.78253014898741,1.1903973640936822
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2093,-16.471486534274465,1.5014409788066283
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2094,-15.366594656609413,2.606332856471679
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2095,-16.522082432951464,1.4508450801296269
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2096,-19.57481827658326,-1.6018907635021689
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2097,-18.45922019237008,-0.48629267928898595
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2098,-20.99719192983414,-3.024264416753049
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2099,-20.006809347417313,-2.0338818343362197
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2100,-19.487583291392383,-1.514655778311293
