institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-01,2015,1,2.5594163315181615,193.5126021224332,-1.1010745826705775,-243.9042763367899,-31.116718446690697,-27.775142554350015,-107.82519346654983,2.443207557582361,182.54237941656157,-1.156827003483148,-225.80662953534429,-21.291116881636952,-19.807491580972187,-83.07647802729265,0.11620877393580065,10.970222705871635,0.05575242081257059,-18.09764680144562,-9.825601565053745,-7.967650973377829,-24.748715439257182
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-02,2015,2,13.111618447942995,187.7465826172604,-6.606912675558793,-233.45964750007403,-22.844716126207267,-20.77280894758353,-82.82588418422023,14.238864844519233,180.51820571240614,-7.96692113929643,-222.31686971482273,-19.25083953358027,-18.367583388680323,-73.14514321945438,-1.127246396576238,7.228376904854258,1.3600084637376364,-11.142777785251297,-3.593876592626998,-2.405225558903208,-9.680740964765846
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-03,2015,3,60.36484504984662,188.78959007715366,-35.78190356360354,-233.72166268091058,-18.619515211757847,-19.866376581116512,-58.835022910388204,63.00299751167346,185.50714141316564,-40.034730199301755,-227.5218867276785,-16.190009591332206,-16.397717772334918,-51.634205365808285,-2.6381524618268415,3.2824486639880206,4.252826635698213,-6.199775953232091,-2.4295056204256404,-3.468658808781594,-7.20081754457992
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-04,2015,4,162.3900922196867,206.53497993492775,-102.01267418463509,-254.7631105992207,-17.62232491888816,-18.67974911450627,-24.1527866626358,164.55246946843081,204.56577319451134,-108.69716316488552,-248.31144576060592,-9.939431643209971,-13.390910560822737,-11.220708466581986,-2.1623772487441215,1.9692067404164106,6.6844889802504355,-6.451664838614789,-7.68289327567819,-5.288838553683531,-12.932078196053816
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-05,2015,5,254.85197507593338,249.4324824885822,-147.79364791602953,-291.00233251169243,-5.900376521165615,-13.707223963871856,45.88087665175621,264.2963742608762,237.49745886950546,-162.39542430772562,-279.37903974723656,-5.288382680074484,-11.725626584396561,43.00535981094841,-9.444399184942796,11.93502361907673,14.601776391696092,-11.623292764455869,-0.611993841091131,-1.9815973794752946,2.875516840807798
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-06,2015,6,283.12768894963926,282.1485287771177,-139.6882857934955,-318.01401368366015,-3.7104257047780873,-13.721815108262424,90.14167743656076,287.2303030455407,275.69888737692884,-149.1832657799235,-310.7703490664706,-3.754418029267026,-12.215408596628137,87.00574895018028,-4.102614095901458,6.4496414001888525,9.494979986427978,-7.243664617189552,0.04399232448893864,-1.506406511634287,3.135928486380479
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-07,2015,7,230.81403705625564,308.15293939342206,-84.87781524206932,-339.5226564297814,-3.9238934260644767,-16.59382069339677,94.04879065836575,233.87642677847037,301.86630036590196,-94.90547562274632,-331.5763449843128,-4.1094038184398745,-14.462533967302472,90.68896875157088,-3.062389722214732,6.286639027520096,10.027660380677005,-7.946311445468609,0.1855103923753978,-2.131286726094297,3.3598219067948634
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-08,2015,8,146.17905893342513,311.83265714897857,-36.299651114095504,-344.7952859183971,-5.2470362903236225,-21.22944399585066,50.44029876373682,146.83278322253798,303.498926611361,-44.49519883685555,-334.62078704544535,-5.145491030818742,-17.924200226842924,48.14603269393645,-0.6537242891128585,8.333730537617555,8.195547722760047,-10.174498872951744,-0.10154525950488047,-3.3052437690077348,2.294266069800372
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-09,2015,9,63.5172139123139,302.4848739430946,-12.00490259229891,-333.4661734427121,-6.18996171078776,-20.695960043982705,-6.354909934372955,68.32348260447152,284.42994690879794,-16.11671266384545,-320.69257149906986,-9.05667523393011,-22.359667722267336,-15.472197605843341,-4.806268692157623,18.054927034296668,4.111810071546541,-12.773601943642234,2.8667135231423497,1.6637076782846307,9.117287671470386
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-10,2015,10,19.828884851802812,271.8551942970493,-3.3511068785016196,-312.82835773004086,-17.154492727278807,-30.073548339842993,-71.7234265268122,20.310558765928377,252.87442008703985,-4.522400849791092,-294.5580781338918,-17.294500935500196,-25.643371350242592,-68.83337241645745,-0.48167391412556526,18.980774210009457,1.1712939712894723,-18.270279596149066,0.14000820822138849,-4.430176989600401,-2.890054110354754
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-11,2015,11,3.6713770069859613,241.01139595751107,-0.7931141601797977,-284.8738695325634,-23.211870463357027,-29.169816829699943,-93.36589802130315,3.7838594258128437,217.88478578420995,-0.9306432257688013,-263.2855360992495,-23.47276183314164,-24.93108735177305,-90.95138329991019,-0.11248241882688248,23.126610173301117,0.13752906558900357,-21.588333433313892,0.2608913697846127,-4.238729477926892,-2.414514721392962
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,2015-12,2015,12,0.9344178704610168,216.24077866890252,-0.2520779910509363,-259.46048880911087,-23.397386881608053,-24.543991903639114,-90.47874904604544,1.008583134043916,192.98052089108944,-0.34980640396013285,-238.24883996702437,-23.62875469782022,-21.949454918589453,-90.18775196226083,-0.07416526358289921,23.26025777781308,0.09772841290919654,-21.211648842086504,0.23136781621216684,-2.594536985049661,-0.2909970837846032
