institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-01,2015,1,11.714116362957407,12.952675958391357,-1.2385595954339497
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-02,2015,2,12.367051032908257,13.264915851813681,-0.8978648189054237
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-03,2015,3,12.434771108672125,13.383662997530836,-0.9488918888587108
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-04,2015,4,12.358976100008283,13.223388010931478,-0.8644119109231951
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-05,2015,5,11.500650277509521,12.300743403000595,-0.8000931254910739
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-06,2015,6,9.691250907799756,10.592686099352479,-0.9014351915527232
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-07,2015,7,7.123213541260953,8.206800628491298,-1.0835870872303444
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-08,2015,8,4.941493042975666,6.119561022967633,-1.178067979991967
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-09,2015,9,4.148967796649715,5.401614272722936,-1.2526464760732212
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-10,2015,10,5.023766494705252,7.058661403853252,-2.034894909148
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-11,2015,11,8.000043501190563,9.876602245434398,-1.8765587442438356
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015-12,2015,12,10.325313347297447,12.044556694312474,-1.719243347015027
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-01,2016,1,11.843810065669267,12.952675958391357,-1.1088658927220898
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-02,2016,2,12.329101774126476,13.264915851813681,-0.9358140776872048
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-03,2016,3,12.518715450194902,13.383662997530836,-0.8649475473359338
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-04,2016,4,12.304919571082602,13.223388010931478,-0.9184684398488763
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-05,2016,5,11.313174400173217,12.300743403000595,-0.987569002827378
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-06,2016,6,9.464837122271152,10.592686099352479,-1.1278489770813263
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-07,2016,7,6.826723185353631,8.206800628491298,-1.3800774431376661
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-08,2016,8,4.542804424477617,6.119561022967633,-1.5767565984900163
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-09,2016,9,3.460460281174696,5.401614272722936,-1.9411539915482403
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-10,2016,10,5.0095204204231125,7.058661403853252,-2.0491409834301395
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-11,2016,11,8.223478252065608,9.876602245434398,-1.6531239933687907
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016-12,2016,12,10.64142790151244,12.044556694312474,-1.4031287928000342
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-01,2017,1,12.002457903883753,12.952675958391357,-0.9502180545076033
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-02,2017,2,12.504675409451012,13.264915851813681,-0.7602404423626687
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-03,2017,3,12.65641709776793,13.383662997530836,-0.7272458997629059
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-04,2017,4,12.343282176526992,13.223388010931478,-0.8801058344044854
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-05,2017,5,11.351152322880546,12.300743403000595,-0.9495910801200491
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-06,2017,6,9.614839187599515,10.592686099352479,-0.9778469117529642
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017-07,2017,7,6.791641815724027,8.206800628491298,-1.4151588127672703
