institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2015,2015-09,9,4.148967796649715,5.401515975909256,0.7684085354036079,-1.2525481792595414
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2016,2016-09,9,3.460460281174696,5.401515975909256,0.7684085354036079,-1.9410556947345605
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2017,2017-09,9,3.596547755962356,5.401515975909256,0.7684085354036079,-1.8049682199469004
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2018,2018-09,9,2.9142595894146863,5.401515975909256,0.7684085354036079,-2.48725638649457
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2019,2019-09,9,3.7547604594265516,5.401515975909256,0.7684085354036079,-1.6467555164827048
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2020,2020-09,9,3.248172430678668,5.401515975909256,0.7684085354036079,-2.1533435452305882
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2021,2021-09,9,3.3893510650688765,5.401515975909256,0.7684085354036079,-2.01216491084038
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2022,2022-09,9,2.2252009068213536,5.401515975909256,0.7684085354036079,-3.1763150690879027
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2023,2023-09,9,3.3496179823661176,5.401515975909256,0.7684085354036079,-2.0518979935431387
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2024,2024-09,9,2.973093898845431,5.401515975909256,0.7684085354036079,-2.4284220770638254
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2025,2025-09,9,3.5240080952954265,5.401515975909256,0.7684085354036079,-1.87750788061383
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2026,2026-09,9,2.637568388183233,5.401515975909256,0.7684085354036079,-2.7639475877260233
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2027,2027-09,9,3.0402691528115566,5.401515975909256,0.7684085354036079,-2.3612468230976997
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2028,2028-09,9,3.4687885232816678,5.401515975909256,0.7684085354036079,-1.9327274526275886
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2029,2029-09,9,0.6943477299216562,5.401515975909256,0.7684085354036079,-4.7071682459876
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,ssp245,2030,2030-09,9,2.57639668778132,5.401515975909256,0.7684085354036079,-2.8251192881279366
