institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2015,-18.188718983481753,0.7511271454081213
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2016,-21.980840738790373,-3.0409946099004954
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2017,-24.430256083744656,-5.490409954854781
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2018,-21.423033031610927,-2.4831869027210502
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2019,-16.9226797538066,2.017166375083276
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2020,-18.606106868346455,0.33373926054342135
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2021,-21.598295499092227,-2.658449370202346
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2022,-21.988760132282057,-3.048914003392182
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2023,-18.905056322482153,0.03478980640772426
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2024,-18.583329511886884,0.35651661700299303
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2025,-22.949232125690912,-4.009385996801036
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2026,-21.062709218186985,-2.1228630892971103
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2027,-19.30617548937967,-0.36632936048979303
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2028,-21.293875234753287,-2.3540291058634097
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2029,-18.30003679171335,0.6398093371765287
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2030,-17.880034047110623,1.0598120817792553
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2031,-23.01607859041481,-4.076232461524935
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2032,-18.4477044958729,0.4921416330169747
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2033,-20.20574082289405,-1.2658946940041742
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2034,-21.0548331423068,-2.114987013416925
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2035,-20.20069514317105,-1.260849014281174
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2036,-19.08985568657153,-0.1500095576816518
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2037,-22.50003328379434,-3.5601871549044657
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2038,-21.978057405071336,-3.0382112761814604
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2039,-19.97443822757096,-1.0345920986810835
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2040,-19.49065077331735,-0.5508046444274717
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2041,-21.154760917070323,-2.214914788180448
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2042,-20.632188100104997,-1.6923419712151218
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2043,-21.349495786498753,-2.409649657608877
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2044,-19.81772510312357,-0.8778789742336958
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2045,-20.72781825858989,-1.7879721297000113
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2046,-18.452214750006068,0.48763137888380914
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2047,-20.748677558824024,-1.808831429934146
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2048,-16.001333688819997,2.9385124400698808
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2049,-19.047904716334624,-0.10805858744474624
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2050,-19.699270043700626,-0.7594239148107474
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2051,-18.314823380761407,0.6250227481284707
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2052,-22.23137586449069,-3.291529735600815
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2053,-20.090319462584702,-1.1504733336948245
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2054,-18.895781780690065,0.044064348199811455
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2055,-16.92259930037272,2.0172468285171576
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2056,-21.09424056548349,-2.1543944365936136
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2057,-16.642028432832884,2.297817696056992
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2058,-18.98676751712018,-0.046921388230306484
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2059,-23.104303756679005,-4.164457627789132
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2060,-20.569193196902592,-1.6293470680127182
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2061,-19.302217821683012,-0.3623716927931356
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2062,-20.48233806325763,-1.5424919343677541
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2063,-19.52163431296684,-0.5817881840769626
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2064,-17.58791280930021,1.351933319589665
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2065,-16.742572426498953,2.1972737023909255
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2066,-17.52997067604802,1.409875452841856
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2067,-16.648182465910583,2.2916636629792944
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp245,2068,-19.214982173403246,-0.2751360445133673
