institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2015,2015-08,8,4.415327015826478,8.46733797976697,0.6893739892271853,-4.052010963940492
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2016,2016-08,8,4.968120101505521,8.46733797976697,0.6893739892271853,-3.499217878261449
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2017,2017-08,8,4.550248640389879,8.46733797976697,0.6893739892271853,-3.9170893393770916
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2018,2018-08,8,4.429701736189236,8.46733797976697,0.6893739892271853,-4.037636243577734
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2019,2019-08,8,4.728010904489115,8.46733797976697,0.6893739892271853,-3.7393270752778554
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2020,2020-08,8,4.051222791294029,8.46733797976697,0.6893739892271853,-4.416115188472942
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2021,2021-08,8,3.862349662062208,8.46733797976697,0.6893739892271853,-4.604988317704763
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2022,2022-09,9,4.163509441140875,8.46733797976697,0.6893739892271853,-4.303828538626095
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2023,2023-08,8,4.334540326440695,8.46733797976697,0.6893739892271853,-4.132797653326275
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2024,2024-08,8,3.8298149001209163,8.46733797976697,0.6893739892271853,-4.637523079646054
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2025,2025-08,8,3.4751242372032025,8.46733797976697,0.6893739892271853,-4.992213742563768
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2026,2026-08,8,3.5069519076611217,8.46733797976697,0.6893739892271853,-4.960386072105848
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2027,2027-08,8,5.02624636354092,8.46733797976697,0.6893739892271853,-3.4410916162260508
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2028,2028-08,8,4.565452645797389,8.46733797976697,0.6893739892271853,-3.901885333969581
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2029,2029-08,8,4.2998100509097945,8.46733797976697,0.6893739892271853,-4.167527928857176
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2030,2030-08,8,4.538908692048556,8.46733797976697,0.6893739892271853,-3.928429287718414
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp245,2031,2031-08,8,4.185350550542854,8.46733797976697,0.6893739892271853,-4.281987429224117
