institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2015,-24.06460449540666,-4.561253249488452
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2016,-24.09663300582876,-4.59328175991055
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2017,-23.07959539187628,-3.57624414595807
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2018,-27.785292313990794,-8.281941068072582
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2019,-22.944572388586092,-3.4412211426678816
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2020,-25.413334685900164,-5.909983439981954
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2021,-20.53034607073566,-1.0269948248174516
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2022,-23.492497577135918,-3.989146331217711
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2023,-24.28541062052499,-4.782059374606781
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2024,-24.01531065499473,-4.511959409076524
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2025,-21.216851824444866,-1.7135005785266564
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2026,-24.421759433795255,-4.918408187877043
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2027,-22.9623913503389,-3.4590401044206924
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2028,-24.010548821610016,-4.507197575691809
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2029,-21.151568550641418,-1.648217304723209
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2030,-21.696677695521345,-2.1933264496031373
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2031,-21.93083102185678,-2.4274797759385716
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2032,-24.265027109615527,-4.7616758636973175
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2033,-21.684109511102562,-2.1807582651843522
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2034,-18.484960345801614,1.0183909001165938
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2035,-20.012393736989765,-0.5090424910715541
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2036,-22.14984742228403,-2.646496176365823
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2037,-20.472904029723708,-0.9695527838054975
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2038,-22.543840148418457,-3.0404889025002517
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2039,-16.665883870150143,2.8374673757680653
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2040,-21.29156713395623,-1.7882158880380228
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2041,-17.278114316336612,2.225236929581596
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2042,-20.74382026582462,-1.2404690199064117
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2043,-25.065661041778906,-5.562309795860699
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2044,-21.4826990418253,-1.9793477959070893
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2045,-22.203636681778274,-2.7002854358600623
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2046,-18.634000638967184,0.8693506069510247
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2047,-20.50251972843347,-0.9991684825152612
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2048,-20.914204970156717,-1.4108537242385086
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,ssp245,2049,-23.46265156206732,-3.9593003161491134
