institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-01,2015,1,11.211891282252669,13.795031720786051,-2.5831404385333823
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-02,2015,2,11.469049177724125,13.990164531841064,-2.5211153541169384
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-03,2015,3,11.562941533730804,14.004688261260165,-2.4417467275293614
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-04,2015,4,10.942478631423372,13.781427102951977,-2.838948471528605
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-05,2015,5,9.826291673365057,12.808329137433642,-2.9820374640685845
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-06,2015,6,7.553218196880555,10.720934638389092,-3.1677164415085377
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-07,2015,7,5.179529311823488,8.494459305557134,-3.314929993733646
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-08,2015,8,3.7269979166895273,7.0526463238385,-3.325648407148973
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-09,2015,9,3.7735498291602765,8.105197231611642,-4.331647402451366
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-10,2015,10,5.874793675987035,10.12573489317978,-4.250941217192746
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-11,2015,11,8.104036121064771,12.082138855982901,-3.9781027349181297
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2015-12,2015,12,10.163330742720708,13.270253347252748,-3.1069226045320395
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-01,2016,1,10.932504483728932,13.795031720786051,-2.862527237057119
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-02,2016,2,11.521688440385308,13.990164531841064,-2.4684760914557557
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-03,2016,3,11.14576350846261,14.004688261260165,-2.858924752797556
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-04,2016,4,11.177951111914973,13.781427102951977,-2.603475991037003
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-05,2016,5,10.26020860397382,12.808329137433642,-2.548120533459821
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-06,2016,6,7.9352855834193,10.720934638389092,-2.7856490549697925
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-07,2016,7,5.2175964133224415,8.494459305557134,-3.2768628922346927
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-08,2016,8,3.438995261440434,7.0526463238385,-3.613651062398066
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-09,2016,9,3.579694137818552,8.105197231611642,-4.52550309379309
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-10,2016,10,5.193641738938035,10.12573489317978,-4.932093154241746
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-11,2016,11,8.392031653738012,12.082138855982901,-3.6901072022448886
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2016-12,2016,12,10.601604015488094,13.270253347252748,-2.6686493317646534
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-01,2017,1,11.125413206320314,13.795031720786051,-2.6696185144657374
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-02,2017,2,11.562374059807707,13.990164531841064,-2.4277904720333563
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-03,2017,3,11.57910901633715,14.004688261260165,-2.425579244923016
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-04,2017,4,11.38778442068877,13.781427102951977,-2.3936426822632058
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-05,2017,5,10.364735846960313,12.808329137433642,-2.443593290473329
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-06,2017,6,7.413150869169137,10.720934638389092,-3.307783769219956
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-07,2017,7,4.974484174509635,8.494459305557134,-3.5199751310474996
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-08,2017,8,3.4912723288963057,7.0526463238385,-3.5613739949421945
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-09,2017,9,4.042454671887043,8.105197231611642,-4.062742559724599
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-10,2017,10,6.286759769256195,10.12573489317978,-3.8389751239235856
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,ssp245,2017-11,2017,11,8.613338287540603,12.082138855982901,-3.4688005684422976
