institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2015,-19.903543582552185,1.5916664680272052
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2016,-16.368649874748545,5.126560175830844
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2017,-16.47948823510269,5.0157218154767
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2018,-20.870000505359773,0.625209545219617
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2019,-17.847269298789325,3.647940751790068
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2020,-19.233763489801426,2.2614465607779652
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2021,-18.436521137896005,3.0586889126833836
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2022,-17.721055009943058,3.7741550406363302
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2023,-19.607521016903924,1.887689033675466
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2024,-18.881492371096172,2.6137176794832193
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2025,-15.802983423009616,5.692226627569773
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2026,-17.086451096837706,4.408758953741683
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2027,-18.27764737493512,3.217562675644269
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2028,-17.263275926041683,4.23193412453771
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2029,-18.493977112909334,3.0012329376700553
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2030,-16.28000606042325,5.2152039901561364
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2031,-23.261207452651963,-1.7659974020725706
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2032,-19.542064860840078,1.9531451897393104
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2033,-19.035948898873926,2.4592611517054648
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2034,-16.414695108836863,5.080514941742527
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2035,-17.387348354519236,4.107861696060154
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2036,-18.43575728668289,3.059452763896498
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2037,-20.865861161538703,0.6293488890406863
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2038,-18.931643201738805,2.5635668488405834
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2039,-18.198874191490074,3.296335859089318
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2040,-21.521389452567632,-0.02617940198823998
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2041,-19.798748087434976,1.696461963144414
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2042,-21.441364808544673,0.05384524203471841
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2043,-18.389911617744794,3.1052984328345956
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2044,-18.584417347153096,2.9107927034262917
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2045,-19.79689726349904,1.698312787080349
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2046,-17.438713715204724,4.056496335374665
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2047,-19.87434346558489,1.6208665849945012
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2048,-17.686945742745184,3.808264307834205
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2049,-15.903646534290997,5.591563516288393
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2050,-14.521783024698166,6.9734270258812225
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2051,-19.80828531821572,1.6869247323636694
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2052,-18.028248510845614,3.466961539733776
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2053,-16.839074230132283,4.6561358204471075
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2054,-18.39836562075192,3.0968444298274656
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2055,-16.531594131370625,4.963615919208766
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2056,-16.736189020238914,4.759021030340473
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2057,-15.09249299679424,6.4027170537851505
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2058,-15.154412284042342,6.340797766537047
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2059,-14.195167488828451,7.300042561750938
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2060,-18.97670173453262,2.5185083160467707
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2061,-21.229585050751012,0.26562499982837934
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2062,-17.976967829025384,3.5182422215540057
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2063,-18.03847817909292,3.4567318714864697
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2064,-16.85514522650906,4.64006482407033
CAS,FGOALS-g3,r1i1p1f1,gn,ssp245,2065,-16.571890512937184,4.923319537642205
