institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2015,-20.034768897260665,2.382796970233136
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2016,-22.711896988878966,-0.2943311213851671
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2017,-22.06004573091238,0.3575201365814215
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2018,-24.143956507304683,-1.726390639810881
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2019,-20.08369465034602,2.3338712171477805
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2020,-23.742170057868137,-1.324604190374336
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2021,-21.859680602602726,0.557885264891075
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2022,-22.064206845478264,0.35335902201553654
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2023,-19.888624880617936,2.5289409868758637
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2024,-21.187174365302038,1.2303915021917609
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2025,-22.71480290492923,-0.29723703743542923
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2026,-23.519455845040284,-1.1018899775464852
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2027,-20.173034308658874,2.2445315588349266
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2028,-19.769994328032272,2.6475715394615285
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2029,-19.064982032770775,3.3525838347230255
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2030,-21.293625762569473,1.1239401049243305
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2031,-19.713029263190094,2.7045366043037085
