institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2015,2015-09,9,4.190737007719912,5.118003376518104,0.602836235779717,-0.9272663687981915
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2016,2016-08,8,4.0642089850175855,5.118003376518104,0.602836235779717,-1.0537943915005181
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2017,2017-08,8,4.060291349300542,5.118003376518104,0.602836235779717,-1.057712027217562
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2018,2018-09,9,3.2293247165236156,5.118003376518104,0.602836235779717,-1.888678659994488
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2019,2019-09,9,2.7064410575345117,5.118003376518104,0.602836235779717,-2.411562318983592
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2020,2020-09,9,1.4597331990909976,5.118003376518104,0.602836235779717,-3.658270177427106
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2021,2021-09,9,1.5528810846308463,5.118003376518104,0.602836235779717,-3.565122291887257
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2022,2022-09,9,0.9994989707905781,5.118003376518104,0.602836235779717,-4.118504405727526
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2023,2023-09,9,1.324713306517081,5.118003376518104,0.602836235779717,-3.7932900700010226
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2024,2024-09,9,1.0955302743482411,5.118003376518104,0.602836235779717,-4.0224731021698625
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2025,2025-09,9,1.3221132728830458,5.118003376518104,0.602836235779717,-3.795890103635058
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2026,2026-09,9,0.6261990784010526,5.118003376518104,0.602836235779717,-4.491804298117051
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2027,2027-09,9,0.6682398200707524,5.118003376518104,0.602836235779717,-4.449763556447351
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2028,2028-09,9,0.6460479257060081,5.118003376518104,0.602836235779717,-4.471955450812096
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2029,2029-09,9,0.4987011339073512,5.118003376518104,0.602836235779717,-4.619302242610752
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2030,2030-09,9,0.4735639915744292,5.118003376518104,0.602836235779717,-4.6444393849436745
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2031,2031-09,9,1.5819051429637139,5.118003376518104,0.602836235779717,-3.53609823355439
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2032,2032-09,9,0.7980143612395185,5.118003376518104,0.602836235779717,-4.319989015278585
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2033,2033-09,9,1.0763852198991202,5.118003376518104,0.602836235779717,-4.041618156618983
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2034,2034-09,9,1.811628878023106,5.118003376518104,0.602836235779717,-3.3063744984949976
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2035,2035-09,9,0.3909660139734972,5.118003376518104,0.602836235779717,-4.727037362544607
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2036,2036-09,9,0.8165530071857561,5.118003376518104,0.602836235779717,-4.301450369332348
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2037,2037-09,9,0.41521249805425153,5.118003376518104,0.602836235779717,-4.702790878463852
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,2038,2038-09,9,0.2154767148224043,5.118003376518104,0.602836235779717,-4.902526661695699
