institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-01,2015,1,11.06113433786626,12.368626109673055,-1.307491771806795
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-02,2015,2,11.479793461598257,12.683026215744967,-1.2032327541467094
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-03,2015,3,11.462536955628293,12.80613809318659,-1.3436011375582968
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-04,2015,4,10.93909459244255,12.489833551217346,-1.5507389587747973
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-05,2015,5,10.007443704658984,11.488438212078824,-1.4809945074198403
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-06,2015,6,8.760172811554977,9.995494250429955,-1.235321438874978
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-07,2015,7,6.824388347862516,8.301891117998641,-1.4775027701361259
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-08,2015,8,5.335010151269853,6.965601210895638,-1.630591059625785
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-09,2015,9,4.883510487637133,6.825254537392732,-1.9417440497555996
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-10,2015,10,6.010457878879803,8.419052273804844,-2.408594394925041
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-11,2015,11,8.770661148720363,10.348799503406418,-1.5781383546860557
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2015-12,2015,12,10.89585115572872,11.724529103628203,-0.8286779478994841
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-01,2016,1,11.934588108985611,12.368626109673055,-0.434038000687444
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-02,2016,2,12.629344650364336,12.683026215744967,-0.0536815653806304
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-03,2016,3,12.794799317361612,12.80613809318659,-0.011338775824977887
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-04,2016,4,12.395764467107673,12.489833551217346,-0.09406908410967318
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-05,2016,5,11.507016099802707,11.488438212078824,0.01857788772388247
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-06,2016,6,9.867861178879327,9.995494250429955,-0.12763307155062797
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-07,2016,7,7.483479982095274,8.301891117998641,-0.818411135903367
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-08,2016,8,5.695700895308184,6.965601210895638,-1.2699003155874546
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-09,2016,9,5.10807579194525,6.825254537392732,-1.717178745447482
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-10,2016,10,6.634217927748995,8.419052273804844,-1.784834346055849
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-11,2016,11,9.240277367146943,10.348799503406418,-1.1085221362594755
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2016-12,2016,12,11.171060484567285,11.724529103628203,-0.5534686190609186
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2017-01,2017,1,12.007351172201158,12.368626109673055,-0.3612749374718973
INM,INM-CM5-0,r1i1p1f1,gr1,ssp245,2017-02,2017,2,12.57942537247193,12.683026215744967,-0.10360084327303731
