institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-01,2015,1,10.837710810875535,11.393101120283909,-0.5553903094083736
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-02,2015,2,11.329354530966274,11.68004137215119,-0.3506868411849169
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-03,2015,3,11.416591393182877,11.74565528903226,-0.32906389584938367
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-04,2015,4,11.043019413595488,11.484218481053126,-0.4411990674576387
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-05,2015,5,9.6088325272782,10.401509285918172,-0.7926767586399723
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-06,2015,6,6.846206346092306,8.127775267479151,-1.281568921386845
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-07,2015,7,4.219442353229251,5.775235079059171,-1.55579272582992
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-08,2015,8,2.6615412293830665,4.232808706200082,-1.5712674768170154
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-09,2015,9,2.7748675202523283,4.864474429591945,-2.0896069093396163
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-10,2015,10,5.053401396438176,7.697803894706126,-2.64440249826795
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-11,2015,11,8.296868770784688,9.432187898797288,-1.1353191280126005
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2015-12,2015,12,9.734350905376576,10.62120195771389,-0.8868510523373132
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-01,2016,1,10.527875755981965,11.393101120283909,-0.8652253643019439
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-02,2016,2,11.079483342346553,11.68004137215119,-0.6005580298046382
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-03,2016,3,11.307102181759088,11.74565528903226,-0.4385531072731723
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-04,2016,4,11.159294929483522,11.484218481053126,-0.3249235515696043
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-05,2016,5,9.706811276814818,10.401509285918172,-0.6946980091033534
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-06,2016,6,6.988618253766026,8.127775267479151,-1.1391570137131257
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-07,2016,7,4.2300708019940565,5.775235079059171,-1.5451642770651146
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-08,2016,8,2.590141442332695,4.232808706200082,-1.642667263867387
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-09,2016,9,2.7418514865026076,4.864474429591945,-2.122622943089337
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-10,2016,10,5.306613660014456,7.697803894706126,-2.3911902346916696
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-11,2016,11,8.428868964203842,9.432187898797288,-1.0033189345934463
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2016-12,2016,12,9.858573181632815,10.62120195771389,-0.7626287760810744
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-01,2017,1,10.760026285277853,11.393101120283909,-0.633074835006056
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-02,2017,2,11.34480372712853,11.68004137215119,-0.3352376450226604
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-03,2017,3,11.516157901210306,11.74565528903226,-0.2294973878219544
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-04,2017,4,11.220853315552834,11.484218481053126,-0.2633651655002929
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-05,2017,5,10.013976293961033,10.401509285918172,-0.38753299195713886
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-06,2017,6,7.365198973368674,8.127775267479151,-0.7625762941104774
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-07,2017,7,4.706273883678109,5.775235079059171,-1.0689611953810623
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-08,2017,8,3.1759810334265226,4.232808706200082,-1.0568276727735593
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-09,2017,9,3.438574269693714,4.864474429591945,-1.4259001598982306
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-10,2017,10,5.882239467402031,7.697803894706126,-1.8155644273040945
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-11,2017,11,8.54905952807959,9.432187898797288,-0.8831283707176976
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2017-12,2017,12,9.85553070662184,10.62120195771389,-0.7656712510920496
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-01,2018,1,10.795227798131299,11.393101120283909,-0.5978733221526102
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-02,2018,2,11.371216020217211,11.68004137215119,-0.3088253519339794
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-03,2018,3,11.390760233012449,11.74565528903226,-0.35489505601981186
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-04,2018,4,11.10507312797341,11.484218481053126,-0.379145353079716
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-05,2018,5,9.580337301268269,10.401509285918172,-0.8211719846499026
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-06,2018,6,7.167161709972859,8.127775267479151,-0.9606135575062922
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-07,2018,7,4.698101500160372,5.775235079059171,-1.077133578898799
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-08,2018,8,2.999020020473623,4.232808706200082,-1.2337886857264588
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-09,2018,9,3.1894796727563413,4.864474429591945,-1.6749947568356034
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-10,2018,10,5.948114878473318,7.697803894706126,-1.7496890162328071
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-11,2018,11,8.456029482302549,9.432187898797288,-0.976158416494739
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2018-12,2018,12,9.768198535842398,10.62120195771389,-0.8530034218714917
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-01,2019,1,10.856817526251591,11.393101120283909,-0.5362835940323176
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-02,2019,2,11.267261293470355,11.68004137215119,-0.41278007868083577
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-03,2019,3,11.481860095288637,11.74565528903226,-0.2637951937436238
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-04,2019,4,11.237917796254688,11.484218481053126,-0.24630068479843814
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-05,2019,5,9.77806446214108,10.401509285918172,-0.623444823777092
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-06,2019,6,7.134325575083683,8.127775267479151,-0.9934496923954681
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-07,2019,7,4.2764068539109035,5.775235079059171,-1.4988282251482676
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-08,2019,8,2.6029553855096337,4.232808706200082,-1.6298533206904482
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-09,2019,9,2.8330777890186454,4.864474429591945,-2.0313966405732993
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-10,2019,10,5.1560722473370815,7.697803894706126,-2.541731647369044
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-11,2019,11,8.225370236656392,9.432187898797288,-1.206817662140896
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2019-12,2019,12,9.594084691159072,10.62120195771389,-1.0271172665548178
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-01,2020,1,10.839449608910103,11.393101120283909,-0.5536515113738059
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-02,2020,2,11.325278086716303,11.68004137215119,-0.35476328543488833
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-03,2020,3,11.389759872147755,11.74565528903226,-0.3558954168845059
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-04,2020,4,10.96797372639664,11.484218481053126,-0.516244754656487
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-05,2020,5,9.382324102053577,10.401509285918172,-1.019185183864595
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-06,2020,6,6.923094837396014,8.127775267479151,-1.2046804300831377
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-07,2020,7,4.421074970970996,5.775235079059171,-1.354160108088175
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-08,2020,8,2.7787979602424704,4.232808706200082,-1.4540107459576115
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-09,2020,9,3.023706437018602,4.864474429591945,-1.8407679925733427
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-10,2020,10,5.37247928868319,7.697803894706126,-2.325324606022936
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-11,2020,11,8.085627935489848,9.432187898797288,-1.34655996330744
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2020-12,2020,12,9.55731499801695,10.62120195771389,-1.063886959696939
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-01,2021,1,10.625535206865912,11.393101120283909,-0.7675659134179966
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-02,2021,2,11.243072423152448,11.68004137215119,-0.43696894899874295
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-03,2021,3,11.330741481450657,11.74565528903226,-0.4149138075816037
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-04,2021,4,10.85749581169001,11.484218481053126,-0.6267226693631169
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-05,2021,5,9.526330030575735,10.401509285918172,-0.8751792553424362
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-06,2021,6,7.011636512853212,8.127775267479151,-1.1161387546259398
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-07,2021,7,4.474451704143127,5.775235079059171,-1.300783374916044
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-08,2021,8,2.843709209941748,4.232808706200082,-1.3890994962583338
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-09,2021,9,2.9362491447972485,4.864474429591945,-1.9282252847946961
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-10,2021,10,5.399499581545302,7.697803894706126,-2.2983043131608234
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-11,2021,11,8.211885432938377,9.432187898797288,-1.2203024658589108
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2021-12,2021,12,9.577628499178283,10.62120195771389,-1.0435734585356062
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-01,2022,1,10.660885841272938,11.393101120283909,-0.7322152790109708
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-02,2022,2,11.227640047782982,11.68004137215119,-0.4524013243682088
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-03,2022,3,11.240308105787381,11.74565528903226,-0.5053471832448793
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-04,2022,4,10.759673183811191,11.484218481053126,-0.7245452972419351
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-05,2022,5,9.278426904773948,10.401509285918172,-1.1230823811442239
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-06,2022,6,6.821429792429199,8.127775267479151,-1.3063454750499526
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-07,2022,7,4.216001740627676,5.775235079059171,-1.5592333384314951
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-08,2022,8,2.525663194049511,4.232808706200082,-1.707145512150571
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-09,2022,9,2.5572144701699973,4.864474429591945,-2.3072599594219474
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-10,2022,10,5.04352572428166,7.697803894706126,-2.6542781704244653
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp245,2022-11,2022,11,7.6936745542434695,9.432187898797288,-1.7385133445538186
