institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2015,2015-09,9,3.461974759872339,5.460212916596638,0.4070036966461522,-1.998238156724299
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2016,2016-09,9,2.9326198345487176,5.460212916596638,0.4070036966461522,-2.5275930820479204
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2017,2017-09,9,3.2132796747276045,5.460212916596638,0.4070036966461522,-2.2469332418690335
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2018,2018-09,9,3.0765153287235467,5.460212916596638,0.4070036966461522,-2.3836975878730913
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2019,2019-09,9,3.27247139979372,5.460212916596638,0.4070036966461522,-2.187741516802918
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2020,2020-09,9,3.4714655570203923,5.460212916596638,0.4070036966461522,-1.9887473595762457
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2021,2021-09,9,3.2981534572404945,5.460212916596638,0.4070036966461522,-2.1620594593561435
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2022,2022-09,9,3.2930614076824494,5.460212916596638,0.4070036966461522,-2.1671515089141886
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2023,2023-09,9,3.1966477883255107,5.460212916596638,0.4070036966461522,-2.2635651282711273
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2024,2024-09,9,2.9059348450980775,5.460212916596638,0.4070036966461522,-2.5542780714985605
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2025,2025-09,9,3.111718146421224,5.460212916596638,0.4070036966461522,-2.348494770175414
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2026,2026-09,9,2.985166601421379,5.460212916596638,0.4070036966461522,-2.475046315175259
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2027,2027-09,9,2.9274421783992324,5.460212916596638,0.4070036966461522,-2.5327707381974056
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2028,2028-09,9,2.8318313237913633,5.460212916596638,0.4070036966461522,-2.6283815928052747
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp245,2029,2029-09,9,3.524095950985795,5.460212916596638,0.4070036966461522,-1.936116965610843
