institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NUIST,NESM3,r1i1p1f1,gn,ssp245,2015,-14.165767979557977,-0.9220374098204681
NUIST,NESM3,r1i1p1f1,gn,ssp245,2016,-10.993108680144838,2.250621889592671
NUIST,NESM3,r1i1p1f1,gn,ssp245,2017,-12.967612525136685,0.2761180446008235
NUIST,NESM3,r1i1p1f1,gn,ssp245,2018,-13.918966483501817,-0.6752359137643084
NUIST,NESM3,r1i1p1f1,gn,ssp245,2019,-10.834283679768989,2.409446889968519
NUIST,NESM3,r1i1p1f1,gn,ssp245,2020,-11.820145239237277,1.4235853305002297
NUIST,NESM3,r1i1p1f1,gn,ssp245,2021,-13.12663037983148,0.11710018990602933
NUIST,NESM3,r1i1p1f1,gn,ssp245,2022,-13.010436044988387,0.23329452474912285
NUIST,NESM3,r1i1p1f1,gn,ssp245,2023,-13.143542290844609,0.10018827889289932
NUIST,NESM3,r1i1p1f1,gn,ssp245,2024,-13.305564879091259,-0.061834309353749894
NUIST,NESM3,r1i1p1f1,gn,ssp245,2025,-10.88152880244194,2.3622017672955695
NUIST,NESM3,r1i1p1f1,gn,ssp245,2026,-11.986295650124646,1.2574349196128611
NUIST,NESM3,r1i1p1f1,gn,ssp245,2027,-11.721060584878456,1.5226699848590524
NUIST,NESM3,r1i1p1f1,gn,ssp245,2028,-14.195119066073374,-0.9513884963358653
NUIST,NESM3,r1i1p1f1,gn,ssp245,2029,-11.796780273082293,1.446950296655216
NUIST,NESM3,r1i1p1f1,gn,ssp245,2030,-8.542324022599772,4.701406547137737
NUIST,NESM3,r1i1p1f1,gn,ssp245,2031,-8.72278613803012,4.520944431707389
NUIST,NESM3,r1i1p1f1,gn,ssp245,2032,-11.499567024533873,1.7441635452036361
NUIST,NESM3,r1i1p1f1,gn,ssp245,2033,-11.761767480458674,1.4819630892788338
NUIST,NESM3,r1i1p1f1,gn,ssp245,2034,-8.866125224187563,4.377605345549946
NUIST,NESM3,r1i1p1f1,gn,ssp245,2035,-8.280575533374153,4.9631550363633545
NUIST,NESM3,r1i1p1f1,gn,ssp245,2036,-13.502651431180817,-0.25892086144331056
NUIST,NESM3,r1i1p1f1,gn,ssp245,2037,-11.881776121010091,1.3619544487274176
NUIST,NESM3,r1i1p1f1,gn,ssp245,2038,-12.477229592240837,0.7665009774966709
NUIST,NESM3,r1i1p1f1,gn,ssp245,2039,-12.60345430122237,0.6402762685151379
NUIST,NESM3,r1i1p1f1,gn,ssp245,2040,-15.213595810476747,-1.969865240739237
NUIST,NESM3,r1i1p1f1,gn,ssp245,2041,-12.367435754376489,0.8762948153610187
