institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-01,2015,1,1.5745475875663821,201.88630015897093,-0.7289927455335037,-240.7389878344294,-23.44731980646373,-22.14253246684224,-83.59698510673158,1.6965176345005621,186.85552610689334,-0.8510952911822524,-226.73385197779808,-23.421497600487584,-21.20774967573777,-83.66215080381176,-0.12197004693418001,15.03077405207759,0.12210254564874867,-14.005135856631313,-0.025822205976147927,-0.934782791104471,0.06516569708017528
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-02,2015,2,10.34098020752954,202.38333337660313,-6.02710998040133,-239.30088921258167,-22.190395787718916,-21.17368587604101,-75.96776727261022,10.911137137507179,186.2473167539818,-6.570601467829968,-224.6919452018322,-21.657295590169866,-20.261210427509813,-76.02259879585284,-0.5701569299776388,16.136016622621327,0.5434914874286374,-14.608944010749468,-0.5331001975490501,-0.9124754485311968,0.05483152324262619
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-03,2015,3,50.799662003391944,207.92221949436208,-32.73714822148049,-243.8024668812061,-13.655423645191112,-14.833623139034653,-46.30678038915835,54.42381358759933,190.32050053363062,-36.369687166598,-230.45172776991834,-18.004429199988497,-18.383608716365632,-58.46513873164051,-3.6241515842073824,17.60171896073146,3.63253894511751,-13.350739111287766,4.349005554797385,3.549985577330979,12.15835834248216
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-04,2015,4,146.7262862931658,207.34791635703345,-99.48428343657005,-253.1343394035979,-17.757846538366273,-18.421204038029487,-34.72347076636445,151.23880403535603,208.36447092885302,-103.28737764570779,-253.03995295407327,-12.619698718828927,-15.342113966455205,-24.685868320856123,-4.5125177421902265,-1.0165545718195688,3.8030942091377398,-0.09438644952462028,-5.1381478195373465,-3.0790900715742815,-10.037602445508327
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-05,2015,5,209.93389332359718,272.02007531666203,-127.65378475618076,-302.8778802763115,-7.650343699066772,-14.63382839744849,29.13813151125167,237.1476445502099,251.4041471714475,-153.26016223768696,-292.02399885883494,-7.371735744100095,-13.020956157660065,22.874938723375344,-27.213751226612715,20.615928145214525,25.6063774815062,-10.853881417476543,-0.27860795496667734,-1.612872239788425,6.263192787876328
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-06,2015,6,220.2962962241952,299.41527161383294,-100.88461712920164,-321.0172476686716,-1.677739055976389,-10.261431515228766,85.87053246894979,236.05328953647998,292.1658281504047,-123.9007561653189,-317.5102663767568,-4.030525101016374,-11.554603456027538,71.22296658776511,-15.756993312284777,7.249443463428236,23.016139036117252,-3.5069812919147694,2.352786045039985,1.2931719407987714,14.647565881184676
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-07,2015,7,170.75737386400914,309.7260915969717,-55.44098126486112,-325.9049492081371,-1.3794137798035515,-7.968382570668823,89.7897386375102,178.79689332694582,305.8182119678627,-68.29244286870278,-323.27917975721516,-2.5636375985347244,-9.506733838212915,80.9731112321429,-8.039519462936681,3.9078796291090043,12.851461603841656,-2.6257694509219505,1.1842238187311729,1.5383512675440913,8.8166274053673
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-08,2015,8,96.98989496850491,310.52636186134265,-22.703670936558265,-326.3542821008879,-2.5170268479055045,-11.79483951660181,44.14643742789415,115.57043443694234,302.41090264508136,-39.0899643659541,-322.17117633380514,-3.6528562342078685,-11.593623984481953,41.473716163574586,-18.580539468437422,8.115459216261286,16.386293429395838,-4.183105767082736,1.135829386302364,-0.201215532119857,2.672721264319563
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-09,2015,9,51.93742490393463,289.9209892091463,-13.39759315747221,-317.45986863572074,-9.566580401237145,-20.132671168931584,-18.698299250280755,57.19046934793572,279.9626507494591,-20.826596775235902,-309.5714635100196,-9.796794346807225,-18.342007874288853,-21.383742408956753,-5.253044444001091,9.958338459687184,7.4290036177636924,-7.8884051257011265,0.23021394557008001,-1.79066329464273,2.685443158675998
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-10,2015,10,14.967566533232413,258.7471677126212,-3.83971598102726,-295.76012930119026,-17.523368531481577,-25.893219618251933,-69.30169918609744,16.597704063231895,240.8336188073997,-5.940937621311581,-280.45687857844354,-17.789968498159528,-22.692463925013524,-69.44892575229663,-1.630137529999482,17.913548905221518,2.101221640284321,-15.303250722746725,0.26659996667795127,-3.20075569323841,0.14722656619919405
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-11,2015,11,2.5812903024574596,230.594882420332,-0.5637887940407668,-272.0299871645597,-22.863854629500803,-24.50020137013931,-86.78165923545113,2.704350447050831,210.23663569506422,-0.8144098647651116,-252.66336969689544,-22.957955839843045,-23.022801427742895,-86.51755068713143,-0.12306014459337122,20.358246725267776,0.2506210707243448,-19.36661746766427,0.09410121034224161,-1.477399942396417,-0.26410854831969743
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2015-12,2015,12,0.585406176888131,223.11709575065362,-0.1416164748136141,-260.9332468202422,-21.054251963368788,-22.04389619181719,-80.47050952270001,0.6980528651334005,193.37449821288155,-0.27483362104538267,-235.1593218229885,-23.55689497889167,-21.68068250686653,-86.59918185177709,-0.11264668824526947,29.74259753777207,0.13321714623176856,-25.773924997253687,2.5026430155228816,-0.36321368495066153,6.128672329077077
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-01,2016,1,1.4934251331453308,191.81111482130524,-0.6660282534466797,-233.95784677144275,-28.316134246524953,-25.415408818800394,-95.05087813576421,1.6965176345005621,186.85552610689334,-0.8510952911822524,-226.73385197779808,-23.421497600487584,-21.20774967573777,-83.66215080381176,-0.20309250135523138,4.955588714411903,0.18506703773557265,-7.223994793644664,-4.89463664603737,-4.2076591430626245,-11.388727331952452
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-02,2016,2,9.801504273634825,207.02776698367109,-5.369178375050925,-243.7295422072005,-26.34850687409094,-24.34451792102487,-82.96247412006132,10.911137137507179,186.2473167539818,-6.570601467829968,-224.6919452018322,-21.657295590169866,-20.261210427509813,-76.02259879585284,-1.1096328638723545,20.78045022968928,1.2014230927790424,-19.037597005368298,-4.691211283921074,-4.083307493515058,-6.939875324208472
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-03,2016,3,48.519653427778444,214.9863313400418,-30.94990631867442,-249.81623353686177,-21.06139890244863,-19.613047868773133,-57.934601858937725,54.42381358759933,190.32050053363062,-36.369687166598,-230.45172776991834,-18.004429199988497,-18.383608716365632,-58.46513873164051,-5.904160159820883,24.66583080641118,5.41978084792358,-19.364505766943438,-3.056969702460133,-1.229439152407501,0.5305368727027826
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-04,2016,4,140.04862010974077,223.07897751638592,-94.07678916910244,-264.0703319134003,-13.866168862647474,-16.49059438159418,-25.37628670061773,151.23880403535603,208.36447092885302,-103.28737764570779,-253.03995295407327,-12.619698718828927,-15.342113966455205,-24.685868320856123,-11.190183925615258,14.714506587532895,9.210588476605352,-11.030378959327038,-1.2464701438185468,-1.1484804151389731,-0.6904183797616064
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-05,2016,5,204.1677882382609,274.4923123078081,-126.0324297592878,-303.7854199956002,-6.596990107476211,-12.559036773399725,29.68622391030508,237.1476445502099,251.4041471714475,-153.26016223768696,-292.02399885883494,-7.371735744100095,-13.020956157660065,22.874938723375344,-32.97985631194899,23.0881651363606,27.22773247839916,-11.76142113676525,0.7747456366238836,0.46191938426033907,6.811285186929737
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-06,2016,6,217.51614172600407,296.9725111023745,-108.82554462833754,-320.15542196265324,-4.237261670094442,-12.021594613393,69.24882995390037,236.05328953647998,292.1658281504047,-123.9007561653189,-317.5102663767568,-4.030525101016374,-11.554603456027538,71.22296658776511,-18.537147810475915,4.806682951969776,15.075211536981357,-2.6451555858964184,-0.20673656907806848,-0.46699115736546304,-1.9741366338647452
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-07,2016,7,166.02986464139786,312.18932815725685,-55.86804300514264,-327.17348434686465,-2.1178745057145214,-9.202128311963776,83.85766262896914,178.79689332694582,305.8182119678627,-68.29244286870278,-323.27917975721516,-2.5636375985347244,-9.506733838212915,80.9731112321429,-12.767028685547956,6.371116189394172,12.42439986356014,-3.8943045896494937,0.445763092820203,0.30460552624913895,2.8845513968262395
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-08,2016,8,109.00794197275742,307.76395745014565,-29.27712493321239,-326.544137835454,-2.317529098339033,-11.58907841842269,47.044029137474915,115.57043443694234,302.41090264508136,-39.0899643659541,-322.17117633380514,-3.6528562342078685,-11.593623984481953,41.473716163574586,-6.562492464184913,5.353054805064289,9.812839432741711,-4.372961501648888,1.3353271358688357,0.004545566059263706,5.570312973900329
NCC,NorESM2-MM,r1i1p1f1,gn,ssp245,2016-09,2016,9,51.030224548305206,290.84207797594604,-14.90099568254098,-317.1310869539929,-10.427044778894377,-21.133605583160115,-21.720430474337082,57.19046934793572,279.9626507494591,-20.826596775235902,-309.5714635100196,-9.796794346807225,-18.342007874288853,-21.383742408956753,-6.160244799630512,10.87942722648694,5.925601092694922,-7.559623443973294,-0.630250432087152,-2.7915977088712616,-0.33668806538032925
