institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-01,2015,1,1.7585790314810754,194.49246137816775,-0.7624359928047579,-238.3300895239839,-29.244916979103703,-30.246190757417118,-102.33259284366068,1.835116545098481,185.40096345785972,-0.9022874445489102,-228.76498827116006,-25.923388278390696,-28.2968278615786,-96.65141185272009,-0.07653751361740557,9.09149792030803,0.13985145174415226,-9.565101252823837,-3.3215287007130065,-1.9493628958385187,-5.6811809909405895
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-02,2015,2,11.225133824555083,199.2025741139113,-6.093592319569119,-239.90755633569637,-22.485909917144895,-26.772342115898827,-84.83169274984282,11.489834638175004,186.22429778512637,-6.7014904701648375,-228.13188696741096,-23.14472288983177,-26.758686197332867,-87.02265410143907,-0.26470081361992115,12.978276328784943,0.6078981505957186,-11.775669368285406,0.6588129726868743,-0.013655918565959269,2.1909613515962576
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-03,2015,3,54.44654051937085,202.881781413877,-34.40502834930898,-244.31069967303878,-17.307131831565528,-23.452119835360364,-62.14665775602576,56.81790773436265,192.30708700615392,-37.13350241949991,-234.90250481790247,-17.748415885410967,-22.86885189235719,-63.528280274653966,-2.3713672149917997,10.574694407723086,2.7284740701909342,-9.408194855136315,0.44128405384543967,-0.5832679430031753,1.3816225186282054
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-04,2015,4,153.04910620171643,217.78663670626256,-100.01194540099772,-261.39112698496444,-11.032665078261088,-17.488444465172954,-19.088439021417194,160.1376654824695,207.0324837079534,-107.54263314540538,-254.7052173119694,-11.519079893306152,-18.147987619528934,-24.744768779786988,-7.08855928075306,10.754152998309166,7.530687744407658,-6.685909672995052,0.48641481504506423,0.6595431543559798,5.656329758369793
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-05,2015,5,242.89024662826404,258.91543541235643,-149.79510815251,-297.5795028210598,-8.172412027533621,-15.397408760888132,30.861250278628894,267.38413468330424,238.15655607364135,-171.61058501834285,-287.4819240341604,-6.194848614378205,-14.406164976439019,25.847168113625134,-24.493888055040202,20.758879338715076,21.815476865832835,-10.097578786899419,-1.9775634131554165,-0.9912437844491127,5.01408216500376
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-06,2015,6,259.9057630421238,288.37075851532205,-135.24734014643593,-318.45151021364165,-4.687862564371208,-13.319610505948102,76.570198127049,288.28807209772407,276.0813360907536,-160.01393871252108,-314.37769318956254,-3.564705324886018,-12.598140985366053,73.81492997614194,-28.382309055600274,12.289422424568443,24.76659856608515,-4.073817024079119,-1.1231572394851903,-0.7214695205820494,2.7552681509070567
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-07,2015,7,192.76628634287766,308.16323992889,-58.33004781333955,-329.2243341745965,-1.2050062579457697,-10.43889698933975,101.7312410365461,218.37533562804683,299.22378506517305,-85.55815593635697,-325.50232395882864,-1.919306025712955,-10.919214855721316,93.70011991659997,-25.609049285169164,8.939454863716946,27.22810812301742,-3.7220102157678525,0.7142997677671854,0.4803178663815668,8.031121119946121
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-08,2015,8,134.3265397295876,299.7794019278383,-31.416135934813088,-329.5546004328199,-3.678721501498391,-13.697436601923776,55.75904718637074,140.21799668504227,296.562868228285,-44.66486614523165,-325.1421256879577,-3.816575680973475,-14.233602031937439,48.923695367227076,-5.891456955454657,3.216533699553281,13.248730210418561,-4.412474744862209,0.13785417947508405,0.5361654300136625,6.835351819143668
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-09,2015,9,62.54185196454412,284.363186236837,-17.42659795802023,-318.2505053549507,-7.249469688463936,-18.661696632790584,-14.683231432844345,69.12468805980903,270.44938058885504,-22.251662495038737,-309.67184652353023,-9.634973850192743,-22.130661855398458,-24.115076075496138,-6.582836095264909,13.913805647981974,4.8250645370185055,-8.578658831420455,2.3855041617288073,3.468965222607874,9.431844642651793
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-10,2015,10,17.237679864201542,255.69815072469575,-3.751805735065071,-297.60293123314176,-21.98061862730445,-34.21374268618046,-84.61326769279444,18.90084156740773,238.82237271143532,-5.094993849740776,-283.30261577196194,-18.756341351918884,-28.26116465137974,-77.69190134615832,-1.663161703206189,16.87577801326043,1.343188114675705,-14.30031546117982,-3.2242772753855675,-5.95257803480072,-6.92136634663612
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-11,2015,11,2.85000536892873,227.4355865287484,-0.485018405582356,-272.1362051416909,-28.693826473334717,-35.72950734473728,-106.75896546766813,3.0411563118460987,211.29435952353916,-0.6560529562713494,-256.89521989924395,-24.555015625647552,-29.30324028072595,-97.07401292650358,-0.19115094291736856,16.14122700520923,0.17103455068899343,-15.240985242446925,-4.138810847687164,-6.426267064011327,-9.684952541164549
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2015-12,2015,12,0.7496984591020038,208.83759805359762,-0.20318545800594204,-253.14006655959412,-24.155561665329955,-30.73976552902643,-98.65128269925683,0.7650032815872855,193.78680107383278,-0.26630572512739503,-238.42155436024473,-25.515178794029136,-28.345693238813027,-97.99692776279417,-0.015304822485281644,15.05079697976484,0.063120267121453,-14.71851219934939,1.3596171286991812,-2.3940722902134013,-0.6543549364626529
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-01,2016,1,1.7252062388266933,203.1250090618692,-0.8072057836635648,-245.11483727893923,-27.63189811266948,-32.81411545914152,-101.51784133371788,1.835116545098481,185.40096345785972,-0.9022874445489102,-228.76498827116006,-25.923388278390696,-28.2968278615786,-96.65141185272009,-0.10991030627178766,17.72404560400949,0.09508166088534542,-16.34984900777917,-1.7085098342787823,-4.51728759756292,-4.866429480997795
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-02,2016,2,10.968892512213124,195.48813956789192,-6.28129512201225,-237.48374440738868,-24.63408916021392,-30.349810711073474,-92.29190732058326,11.489834638175004,186.22429778512637,-6.7014904701648375,-228.13188696741096,-23.14472288983177,-26.758686197332867,-87.02265410143907,-0.5209421259618807,9.263841782765553,0.4201953481525873,-9.35185743997772,-1.4893662703821526,-3.5911245137406063,-5.26925321914419
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-03,2016,3,53.49745984943784,207.280064497468,-33.38815610572158,-247.37694281428287,-19.483288599750097,-26.53194216789582,-66.0028053407445,56.81790773436265,192.30708700615392,-37.13350241949991,-234.90250481790247,-17.748415885410967,-22.86885189235719,-63.528280274653966,-3.3204478849248105,14.972977491314083,3.7453463137783345,-12.474437996380402,-1.7348727143391294,-3.6630902755386323,-2.4745250660905356
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-04,2016,4,145.3067442038268,232.21693759658763,-93.34071308854222,-271.14969614351213,-6.311759082936157,-15.297425067019827,-8.57591158159585,160.1376654824695,207.0324837079534,-107.54263314540538,-254.7052173119694,-11.519079893306152,-18.147987619528934,-24.744768779786988,-14.830921278642677,25.184453888634238,14.201920056863159,-16.44447883154274,5.207320810369995,2.850562552509107,16.168857198191137
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-05,2016,5,241.6365463620916,259.3051024831095,-144.9011836956185,-299.5961726843885,-6.720470316895338,-15.497820286506979,34.22600186179185,267.38413468330424,238.15655607364135,-171.61058501834285,-287.4819240341604,-6.194848614378205,-14.406164976439019,25.847168113625134,-25.747588321212646,21.148546409468167,26.709401322724347,-12.114248650228092,-0.5256217025171335,-1.09165531006796,8.378833748166716
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-06,2016,6,258.9335428422843,291.0339967849805,-126.29038679334406,-320.4193160814128,-2.6656568028937637,-11.891825478021964,88.70035447159228,288.28807209772407,276.0813360907536,-160.01393871252108,-314.37769318956254,-3.564705324886018,-12.598140985366053,73.81492997614194,-29.354529255439786,14.952660694226893,33.72355191917703,-6.041622891850238,0.8990485219922544,0.7063155073440885,14.885424495450337
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-07,2016,7,192.19242949473684,308.40165494294837,-56.82112717140899,-329.98627589167,-2.6303093385383,-12.063060487234088,99.09331154883381,218.37533562804683,299.22378506517305,-85.55815593635697,-325.50232395882864,-1.919306025712955,-10.919214855721316,93.70011991659997,-26.182906133309984,9.177869877775322,28.73702876494798,-4.483951932841364,-0.711003312825345,-1.1438456315127716,5.393191632233837
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-08,2016,8,123.81314674495555,304.0510327248931,-26.226447891632027,-330.6691793934375,-3.6427417121142045,-15.429805228290949,51.89600524437398,140.21799668504227,296.562868228285,-44.66486614523165,-325.1421256879577,-3.816575680973475,-14.233602031937439,48.923695367227076,-16.40484994008672,7.4881644966080785,18.43841825359962,-5.52705370547983,0.17383396885927072,-1.19620319635351,2.9723098771469054
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-09,2016,9,60.6136201659525,285.1392991109106,-13.669286294396384,-320.47497815907633,-11.28014076196977,-24.54625650070586,-24.21774243928523,69.12468805980903,270.44938058885504,-22.251662495038737,-309.67184652353023,-9.634973850192743,-22.130661855398458,-24.115076075496138,-8.511067893856534,14.689918522055564,8.582376200642353,-10.803131635546094,-1.645166911777027,-2.415594645307401,-0.1026663637890941
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-10,2016,10,16.943290448182488,258.5938159393514,-3.0436805106739664,-301.0936412520514,-21.839598345428193,-33.370177513432324,-83.80999123405203,18.90084156740773,238.82237271143532,-5.094993849740776,-283.30261577196194,-18.756341351918884,-28.26116465137974,-77.69190134615832,-1.9575511192252435,19.771443227916052,2.0513133390668097,-17.791025480089445,-3.083256993509309,-5.109012862052584,-6.118089887893717
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-11,2016,11,2.8131913199797762,222.88123980690864,-0.485696043940187,-271.50119387920694,-30.949643931019263,-36.35959100077325,-113.60169372805122,3.0411563118460987,211.29435952353916,-0.6560529562713494,-256.89521989924395,-24.555015625647552,-29.30324028072595,-97.07401292650358,-0.22796499186632246,11.586880283369482,0.1703569123311624,-14.605973979962982,-6.394628305371711,-7.056350720047298,-16.527680801547632
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2016-12,2016,12,0.7279383774074171,215.2670178954859,-0.21200825281640437,-257.1627856405807,-20.02272135328103,-26.245809168990448,-87.64836814277527,0.7650032815872855,193.78680107383278,-0.26630572512739503,-238.42155436024473,-25.515178794029136,-28.345693238813027,-97.99692776279417,-0.03706490417986841,21.48021682165313,0.05429747231099066,-18.741231280335967,5.492457440748105,2.099884069822579,10.348559620018904
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-01,2017,1,1.6937881794334873,200.80751758756998,-0.7612211678839492,-247.30370431875198,-21.975020860532272,-28.67319866770088,-96.21183924786561,1.835116545098481,185.40096345785972,-0.9022874445489102,-228.76498827116006,-25.923388278390696,-28.2968278615786,-96.65141185272009,-0.14132836566499374,15.406554129710258,0.14106627666496097,-18.53871604759192,3.9483674178584245,-0.37637080612228146,0.4395726048544759
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-02,2017,2,10.896085888197241,198.4728125650373,-6.009916723927413,-242.26995076482734,-23.508807017630684,-28.998946665757398,-91.41872271890831,11.489834638175004,186.22429778512637,-6.7014904701648375,-228.13188696741096,-23.14472288983177,-26.758686197332867,-87.02265410143907,-0.5937487499777632,12.24851477991092,0.6915737462374247,-14.138063797416379,-0.36408412779891464,-2.2402604684245304,-4.39606861746924
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-03,2017,3,53.68275379987175,210.68742101664253,-33.6414200805408,-249.92449674015867,-14.768355803494588,-22.503029469880854,-56.46712727756062,56.81790773436265,192.30708700615392,-37.13350241949991,-234.90250481790247,-17.748415885410967,-22.86885189235719,-63.528280274653966,-3.1351539344909014,18.38033401048861,3.492082338959115,-15.021991922256205,2.9800600819163794,0.36582242247633445,7.061152997093345
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-04,2017,4,153.7900139895685,216.0295938123979,-99.92598899815609,-263.0864401437232,-13.931169977568567,-20.977039447015134,-28.101030764496585,160.1376654824695,207.0324837079534,-107.54263314540538,-254.7052173119694,-11.519079893306152,-18.147987619528934,-24.744768779786988,-6.3476514929009795,8.997110104444516,7.616644147249289,-8.381222831753831,-2.412090084262415,-2.8290518274862,-3.3562619847095974
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-05,2017,5,245.99978499344493,255.53126647140576,-153.3265983363144,-295.5227678991036,-6.138139841521078,-14.087845824402592,32.45569956350906,267.38413468330424,238.15655607364135,-171.61058501834285,-287.4819240341604,-6.194848614378205,-14.406164976439019,25.847168113625134,-21.384349689859306,17.374710397764403,18.283986682028456,-8.040843864943213,0.05670877285712628,0.3183191520364268,6.608531449883923
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-06,2017,6,270.06303426560055,286.3943574331061,-138.70131074057358,-319.0616915765671,-4.335169064975507,-12.926044278156306,81.43317603843418,288.28807209772407,276.0813360907536,-160.01393871252108,-314.37769318956254,-3.564705324886018,-12.598140985366053,73.81492997614194,-18.22503783212352,10.3130213423525,21.312627971947506,-4.6839983870045785,-0.7704637400894891,-0.32790329279025343,7.618246062292243
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp245,2017-07,2017,7,203.39800785565905,305.39537535420624,-66.87942980367288,-329.1046584880508,-1.1107255522686597,-10.446240884392484,101.25232848148043,218.37533562804683,299.22378506517305,-85.55815593635697,-325.50232395882864,-1.919306025712955,-10.919214855721316,93.70011991659997,-14.977327772387781,6.17159028903319,18.67872613268409,-3.602334529222162,0.8085804734442954,0.4729739713288321,7.552208564880459
