institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2015,-21.216399081924937,-1.5791112782115644
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2016,-17.517814256387144,2.1194735473262276
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2017,-17.15001995246553,2.4872678512478434
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2018,-19.67798456862252,-0.040696764909145124
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2019,-18.428743198150855,1.2085446055625206
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2020,-19.973230460124878,-0.33594265641150517
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2021,-18.29608809067227,1.3411997130411022
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2022,-19.513366303267215,0.12392150044615964
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2023,-17.36603150408865,2.2712562996247256
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2024,-18.53336363785501,1.1039241658583634
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2025,-20.377981319407585,-0.7406935156942108
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2026,-18.928928992113452,0.7083588115999202
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2027,-17.3436261036188,2.293661700094575
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2028,-14.306985126396626,5.330302677316749
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2029,-15.670417153565566,3.9668706501478064
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2030,-16.51358410919792,3.1237036945154526
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2031,-16.894217618263767,2.743070185449606
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2032,-16.779984015338997,2.8573037883743786
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2033,-17.332377468831357,2.3049103348820172
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2034,-18.228240556907867,1.409047246805507
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,ssp370,2035,-18.997965875623937,0.6393219280894366
