institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2015,-24.35766657600395,-0.38780001493392974
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2016,-23.815028826734846,0.15483773433517248
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2017,-20.212716164728345,3.757150396341677
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2018,-22.044421775098993,1.9254447859710273
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2019,-20.67621897656174,3.2936475845082804
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2020,-23.922459558086157,0.047407002983863876
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2021,-23.02294446381615,0.9469220972538679
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2022,-25.420371638924582,-1.450505077854564
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2023,-22.249274275574418,1.7205922854956004
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2024,-21.176994598109005,2.792871962961014
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2025,-21.95016709983392,2.0196994612360983
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2026,-23.344873043795065,0.6249935172749536
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2027,-22.28417897439731,1.6856875866727117
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2028,-18.606112761371264,5.363753799698755
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2029,-24.31671035284722,-0.34684379177719854
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2030,-23.45248436326928,0.5173821978007384
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2031,-20.255204193621598,3.714662367448424
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2032,-22.000012638661,1.9698539224090184
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2033,-22.479428111847948,1.4904384492220724
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2034,-20.885825138897527,3.084041422172491
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2035,-21.957634407681525,2.012232153388496
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2036,-21.936224987428833,2.033641573641187
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2037,-20.697610699568838,3.2722558615011827
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2038,-21.170969586399675,2.798896974670344
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2039,-18.058303182861177,5.911563378208842
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2040,-17.490640840044804,6.479225721025216
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2041,-22.47232893188541,1.4975376291846096
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2042,-19.42608522870969,4.543781332360329
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2043,-20.457427339239814,3.512439221830203
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2044,-18.56446050784533,5.405406053224688
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2045,-20.27916342441664,3.690703136653377
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2046,-17.109386109544936,6.860480451525085
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2047,-20.312315768247554,3.6575507928224638
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2048,-21.714687730457815,2.255178830612205
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2049,-22.400040084467488,1.569826476602535
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2050,-20.755786781372553,3.2140797796974674
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2051,-18.59539450747464,5.374472053595376
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2052,-20.06773256136003,3.902133999709987
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2053,-21.635792689032133,2.334073872037882
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2054,-21.787661799611055,2.182204761458966
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2055,-17.922734556811807,6.04713200425821
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2056,-17.639754615943573,6.330111945126446
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2057,-19.672582594919874,4.297283966150146
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2058,-18.847125772576934,5.122740788493083
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2059,-20.490900782119976,3.4789657789500463
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2060,-22.095039865240977,1.8748266958290427
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2061,-20.20855494891707,3.7613116121529497
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2062,-19.923456489610203,4.046410071459816
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2063,-15.140202988427736,8.829663572642284
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2064,-17.748821490723902,6.221045070346116
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2065,-16.472321128079425,7.497545432990595
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2066,-21.71390535129731,2.25596120977271
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2067,-18.701138124745754,5.268728436324266
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2068,-16.29743094133978,7.672435619730238
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2069,-16.699116322703645,7.270750238366375
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2070,-19.568935926074303,4.400930634995715
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2071,-15.499104885686464,8.470761675383557
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2072,-19.59248085483213,4.377385706237894
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2073,-16.55448038365808,7.415386177411939
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2074,-16.63320884064006,7.336657720429961
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2075,-19.3087620504196,4.661104510650422
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2076,-15.861006921070574,8.108859639999446
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2077,-15.998028282512166,7.971838278557854
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2078,-17.55829855324971,6.411568007820311
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2079,-16.78637990903036,7.183486652039661
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2080,-14.145548646825612,9.824317914244407
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2081,-15.144400594590408,8.825465966479612
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2082,-15.015867533998422,8.953999027071598
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2083,-16.105614519729098,7.864252041340921
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2084,-14.26060066594079,9.70926589512923
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2085,-11.902881150170595,12.066985410899425
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2086,-12.670913510350081,11.298953050719938
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2087,-16.153481870270884,7.816384690799134
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2088,-11.150947603257642,12.818918957812377
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2089,-15.978451060442984,7.9914155006270375
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2090,-14.194574355531413,9.775292205538607
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2091,-15.49034835865801,8.47951820241201
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2092,-17.333888985428555,6.635977575641465
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2093,-13.63200352340644,10.337863037663581
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2094,-15.426653141555354,8.543213419514666
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2095,-14.161522726467048,9.80834383460297
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2096,-11.679773325980682,12.290093235089337
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2097,-11.650412771782138,12.319453789287882
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2098,-13.185987767882843,10.783878793187176
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2099,-11.231740684530314,12.738125876539707
NCAR,CESM2-WACCM,r1i1p1f1,gn,ssp370,2100,-10.91899624573056,13.050870315339461
