institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2015,2015-09,9,4.247230012746057,6.128027986007415,0.47928823080661337,-1.880797973261358
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2016,2016-09,9,5.22438766426474,6.128027986007415,0.47928823080661337,-0.9036403217426745
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2017,2017-09,9,4.034235833280173,6.128027986007415,0.47928823080661337,-2.093792152727242
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2018,2018-09,9,4.38282814222714,6.128027986007415,0.47928823080661337,-1.7451998437802745
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2019,2019-09,9,4.144449173608409,6.128027986007415,0.47928823080661337,-1.9835788123990055
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2020,2020-09,9,4.111182688808094,6.128027986007415,0.47928823080661337,-2.016845297199321
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2021,2021-09,9,3.4144398054207286,6.128027986007415,0.47928823080661337,-2.713588180586686
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2022,2022-09,9,3.0996653386995097,6.128027986007415,0.47928823080661337,-3.028362647307905
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2023,2023-09,9,3.6541968757763024,6.128027986007415,0.47928823080661337,-2.4738311102311124
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2024,2024-09,9,3.5933600364750977,6.128027986007415,0.47928823080661337,-2.534667949532317
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2025,2025-09,9,3.805216126939612,6.128027986007415,0.47928823080661337,-2.322811859067803
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2026,2026-09,9,4.254342636971838,6.128027986007415,0.47928823080661337,-1.8736853490355765
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2027,2027-09,9,4.596689524005491,6.128027986007415,0.47928823080661337,-1.5313384620019237
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2028,2028-09,9,3.4395659862176964,6.128027986007415,0.47928823080661337,-2.6884619997897183
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2029,2029-09,9,3.7639179429167804,6.128027986007415,0.47928823080661337,-2.3641100430906343
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2030,2030-09,9,3.6268204038152545,6.128027986007415,0.47928823080661337,-2.50120758219216
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2031,2031-09,9,4.379071835683692,6.128027986007415,0.47928823080661337,-1.748956150323723
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2032,2032-09,9,3.729798107336832,6.128027986007415,0.47928823080661337,-2.3982298786705827
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2033,2033-09,9,1.9923713869209034,6.128027986007415,0.47928823080661337,-4.135656599086511
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2034,2034-09,9,3.384366178694636,6.128027986007415,0.47928823080661337,-2.7436618073127788
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2035,2035-09,9,3.509093618896786,6.128027986007415,0.47928823080661337,-2.618934367110629
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2036,2036-09,9,4.032949845381837,6.128027986007415,0.47928823080661337,-2.095078140625578
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2037,2037-09,9,3.055821076862034,6.128027986007415,0.47928823080661337,-3.0722069091453807
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2038,2038-09,9,2.4721900883341474,6.128027986007415,0.47928823080661337,-3.6558378976732673
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2039,2039-09,9,2.5729525043987937,6.128027986007415,0.47928823080661337,-3.555075481608621
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2040,2040-09,9,2.8353971887432907,6.128027986007415,0.47928823080661337,-3.292630797264124
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2041,2041-09,9,3.4016019641725324,6.128027986007415,0.47928823080661337,-2.7264260218348824
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2042,2042-09,9,2.6191945280778604,6.128027986007415,0.47928823080661337,-3.5088334579295544
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2043,2043-09,9,3.5576677955762626,6.128027986007415,0.47928823080661337,-2.570360190431152
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2044,2044-09,9,2.5457892676500338,6.128027986007415,0.47928823080661337,-3.582238718357381
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp370,2045,2045-09,9,2.398914405616317,6.128027986007415,0.47928823080661337,-3.7291135803910977
