institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-01,2015,1,11.306677200487238,13.251214035251524,-1.9445368347642855
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-02,2015,2,11.735259513801477,13.525822506334524,-1.7905629925330473
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-03,2015,3,11.906456864727993,13.578188594924526,-1.6717317301965338
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-04,2015,4,11.770673859286953,13.308599846758957,-1.5379259874720042
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-05,2015,5,10.609996509070694,12.37052721770178,-1.7605307086310855
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-06,2015,6,8.718144015817511,10.66865606616312,-1.9505120503456084
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-07,2015,7,6.162698137703747,8.636422928905555,-2.473724791201808
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-08,2015,8,4.1213935145877665,7.053040128520861,-2.9316466139330943
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-09,2015,9,4.113442370686581,7.297488990152345,-3.1840466194657644
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-10,2015,10,6.347966980066059,9.082488709358213,-2.7345217292921538
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-11,2015,11,8.775247875371388,11.086882795139545,-2.3116349197681565
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015-12,2015,12,10.59872565025724,12.549413654253712,-1.950688003996472
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-01,2016,1,11.582007378568344,13.251214035251524,-1.6692066566831798
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-02,2016,2,12.001354758442828,13.525822506334524,-1.5244677478916966
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-03,2016,3,12.114832786786632,13.578188594924526,-1.4633558081378943
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-04,2016,4,11.772066969529753,13.308599846758957,-1.5365328772292042
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-05,2016,5,10.399003591303371,12.37052721770178,-1.9715236263984082
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-06,2016,6,8.4735649641306,10.66865606616312,-2.195091102032519
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-07,2016,7,5.732508824859977,8.636422928905555,-2.903914104045578
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-08,2016,8,3.610571742006045,7.053040128520861,-3.442468386514816
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-09,2016,9,3.5724126692657725,7.297488990152345,-3.725076320886573
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-10,2016,10,5.602090334390309,9.082488709358213,-3.480398374967904
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-11,2016,11,8.207456617744745,11.086882795139545,-2.8794261773948
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016-12,2016,12,10.145641445312172,12.549413654253712,-2.4037722089415396
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-01,2017,1,11.721384470248745,13.251214035251524,-1.5298295650027782
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-02,2017,2,12.071996309392532,13.525822506334524,-1.4538261969419928
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-03,2017,3,12.0510985599445,13.578188594924526,-1.5270900349800272
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-04,2017,4,11.762633072221512,13.308599846758957,-1.5459667745374457
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-05,2017,5,10.567175019165921,12.37052721770178,-1.8033521985358583
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-06,2017,6,8.706865794013376,10.66865606616312,-1.9617902721497433
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-07,2017,7,6.572863718834836,8.636422928905555,-2.0635592100707187
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-08,2017,8,4.733877200382802,7.053040128520861,-2.3191629281380592
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-09,2017,9,4.672220931528601,7.297488990152345,-2.6252680586237442
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-10,2017,10,6.502215290483769,9.082488709358213,-2.5802734188744436
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-11,2017,11,8.684636060260672,11.086882795139545,-2.4022467348788723
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017-12,2017,12,10.363463209883482,12.549413654253712,-2.1859504443702296
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2018-01,2018,1,11.296099811122469,13.251214035251524,-1.955114224129055
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2018-02,2018,2,11.734548250275337,13.525822506334524,-1.7912742560591877
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2018-03,2018,3,11.928587430814831,13.578188594924526,-1.6496011641096953
