institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2015,2015-09,9,4.113442370686581,7.04839304270362,0.40933950826166554,-2.934950672017039
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2016,2016-09,9,3.5724126692657725,7.04839304270362,0.40933950826166554,-3.4759803734378476
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2017,2017-09,9,4.672220931528601,7.04839304270362,0.40933950826166554,-2.376172111175019
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2018,2018-08,8,4.269845604773916,7.04839304270362,0.40933950826166554,-2.7785474379297037
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2019,2019-08,8,3.5961012032512603,7.04839304270362,0.40933950826166554,-3.45229183945236
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2020,2020-09,9,2.829562724050603,7.04839304270362,0.40933950826166554,-4.218830318653017
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2021,2021-09,9,2.947828010323502,7.04839304270362,0.40933950826166554,-4.100565032380118
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2022,2022-09,9,2.180697171026609,7.04839304270362,0.40933950826166554,-4.867695871677011
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2023,2023-09,9,3.030348234001052,7.04839304270362,0.40933950826166554,-4.018044808702568
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2024,2024-09,9,3.2427729709159037,7.04839304270362,0.40933950826166554,-3.8056200717877164
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2025,2025-09,9,2.8459438520855076,7.04839304270362,0.40933950826166554,-4.202449190618113
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2026,2026-09,9,2.7552562825631015,7.04839304270362,0.40933950826166554,-4.293136760140518
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2027,2027-08,8,2.1791778587757777,7.04839304270362,0.40933950826166554,-4.869215183927842
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2028,2028-09,9,1.922638877577182,7.04839304270362,0.40933950826166554,-5.125754165126438
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2029,2029-09,9,2.339027191803415,7.04839304270362,0.40933950826166554,-4.709365850900205
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2030,2030-09,9,1.9150639141723795,7.04839304270362,0.40933950826166554,-5.133329128531241
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2031,2031-09,9,1.4099692180621,7.04839304270362,0.40933950826166554,-5.63842382464152
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2032,2032-09,9,1.5007643090556035,7.04839304270362,0.40933950826166554,-5.547628733648017
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2033,2033-09,9,1.4318589856044814,7.04839304270362,0.40933950826166554,-5.616534057099138
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2034,2034-09,9,1.0328943124673038,7.04839304270362,0.40933950826166554,-6.015498730236317
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2035,2035-09,9,1.4974409723261806,7.04839304270362,0.40933950826166554,-5.5509520703774395
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2036,2036-09,9,0.5295335280803914,7.04839304270362,0.40933950826166554,-6.518859514623228
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2037,2037-09,9,0.5860281994404216,7.04839304270362,0.40933950826166554,-6.462364843263199
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2038,2038-09,9,0.19211653150858787,7.04839304270362,0.40933950826166554,-6.856276511195032
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2039,2039-09,9,0.8662423022407273,7.04839304270362,0.40933950826166554,-6.182150740462893
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2040,2040-09,9,0.8673073776177993,7.04839304270362,0.40933950826166554,-6.181085665085821
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2041,2041-09,9,0.8168269108222693,7.04839304270362,0.40933950826166554,-6.231566131881351
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2042,2042-09,9,1.1494125036501206,7.04839304270362,0.40933950826166554,-5.8989805390534995
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2043,2043-09,9,0.6274445158074657,7.04839304270362,0.40933950826166554,-6.420948526896154
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2044,2044-09,9,0.544766184439823,7.04839304270362,0.40933950826166554,-6.503626858263797
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2045,2045-09,9,0.9000183250675305,7.04839304270362,0.40933950826166554,-6.14837471763609
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2046,2046-09,9,0.5972695969833506,7.04839304270362,0.40933950826166554,-6.4511234457202695
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2047,2047-09,9,0.46739998156852486,7.04839304270362,0.40933950826166554,-6.5809930611350955
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2048,2048-09,9,0.639499023692089,7.04839304270362,0.40933950826166554,-6.408894019011531
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2049,2049-09,9,0.3281330489521077,7.04839304270362,0.40933950826166554,-6.720259993751513
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2050,2050-09,9,0.1590478077153963,7.04839304270362,0.40933950826166554,-6.889345234988224
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2051,2051-09,9,0.3268864756518606,7.04839304270362,0.40933950826166554,-6.72150656705176
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2052,2052-09,9,0.1109609498448,7.04839304270362,0.40933950826166554,-6.9374320928588205
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2053,2053-09,9,0.23132702729283802,7.04839304270362,0.40933950826166554,-6.8170660154107825
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2054,2054-09,9,0.3702650023818901,7.04839304270362,0.40933950826166554,-6.67812804032173
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2055,2055-08,8,0.060456783997042636,7.04839304270362,0.40933950826166554,-6.987936258706577
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2056,2056-09,9,0.09959819688694738,7.04839304270362,0.40933950826166554,-6.948794845816673
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2057,2057-09,9,0.10010777560776461,7.04839304270362,0.40933950826166554,-6.948285267095856
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2058,2058-09,9,0.10962569086965614,7.04839304270362,0.40933950826166554,-6.938767351833964
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2059,2059-09,9,0.05917823355019772,7.04839304270362,0.40933950826166554,-6.989214809153422
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2060,2060-09,9,0.03498593399791265,7.04839304270362,0.40933950826166554,-7.0134071087057075
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2061,2061-09,9,0.004397155307375587,7.04839304270362,0.40933950826166554,-7.043995887396244
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2062,2062-09,9,0.027827764158662352,7.04839304270362,0.40933950826166554,-7.020565278544958
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2063,2063-09,9,0.07759076037242203,7.04839304270362,0.40933950826166554,-6.970802282331198
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2064,2064-09,9,0.00016415145700470233,7.04839304270362,0.40933950826166554,-7.048228891246615
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2065,2065-09,9,0.0008052720110137001,7.04839304270362,0.40933950826166554,-7.047587770692607
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2066,2066-09,9,0.01729686374803255,7.04839304270362,0.40933950826166554,-7.031096178955588
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2067,2067-09,9,0.0002887146751187167,7.04839304270362,0.40933950826166554,-7.048104328028502
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2068,2068-09,9,0.010110074716077064,7.04839304270362,0.40933950826166554,-7.038282967987543
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2069,2069-09,9,0.0036754804704856713,7.04839304270362,0.40933950826166554,-7.044717562233134
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2070,2070-09,9,0.014358304106144661,7.04839304270362,0.40933950826166554,-7.034034738597476
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2071,2071-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2072,2072-09,9,0.028376438040180314,7.04839304270362,0.40933950826166554,-7.020016604663439
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2073,2073-09,9,0.021951987041472602,7.04839304270362,0.40933950826166554,-7.026441055662148
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2074,2074-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2075,2075-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2076,2076-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2077,2077-09,9,1.3590621725355618e-05,7.04839304270362,0.40933950826166554,-7.048379452081894
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2078,2078-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2079,2079-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2080,2080-09,9,0.0005154623388135839,7.04839304270362,0.40933950826166554,-7.047877580364807
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2081,2081-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2082,2082-09,9,0.0015174043699045093,7.04839304270362,0.40933950826166554,-7.046875638333716
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2083,2083-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2084,2084-09,9,3.565682063761963e-05,7.04839304270362,0.40933950826166554,-7.048357385882983
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2085,2085-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2086,2086-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2087,2087-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2088,2088-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2089,2089-09,9,7.58641775245697e-05,7.04839304270362,0.40933950826166554,-7.048317178526095
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2090,2090-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2091,2091-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2092,2092-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2093,2093-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2094,2094-09,9,0.00024277184018113283,7.04839304270362,0.40933950826166554,-7.048150270863439
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2095,2095-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2096,2096-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2097,2097-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2098,2098-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2099,2099-08,8,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
CCCma,CanESM5-CanOE,r1i1p2f1,gn,ssp370,2100,2100-09,9,0.0,7.04839304270362,0.40933950826166554,-7.04839304270362
