institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2015,-19.699029427223994,0.02573479145768509
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2016,-17.249389338254556,2.4753748804271223
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2017,-20.521634224700467,-0.7968700060187898
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2018,-21.075920868966495,-1.3511566502848158
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2019,-21.29713028580321,-1.5723660671215283
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2020,-23.1303641254777,-3.4055999067960214
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2021,-20.8695643650105,-1.1448001463288222
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2022,-20.271072972450064,-0.546308753768385
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2023,-18.978592428271387,0.7461717904102928
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2024,-19.617976093164117,0.10678812551756038
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2025,-20.291653509226784,-0.5668892905451036
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2026,-20.671524992404912,-0.9467607737232319
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2027,-18.64301642221876,1.081747796462917
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2028,-22.022694946666558,-2.2979307279848773
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2029,-18.680037604321658,1.044726614360019
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2030,-20.692959232720103,-0.9681950140384217
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2031,-19.884631920936513,-0.15986770225483493
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2032,-21.366241994785195,-1.6414777761035155
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2033,-18.53264774001381,1.1921164786678673
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2034,-20.602468933234178,-0.8777047145524991
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2035,-16.283895662334672,3.440868556347008
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2036,-19.97762676751508,-0.2528625488334022
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2037,-20.586503136599063,-0.8617389179173841
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2038,-17.72773476336619,1.99702945531549
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2039,-21.106927445119858,-1.3821632264381787
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2040,-18.866768921156133,0.8579952975255445
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2041,-19.35791021959459,0.36685399908709
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2042,-19.829226534467583,-0.10446231578590422
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2043,-20.254081899266055,-0.5293176805843748
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2044,-19.511790762043745,0.2129734566379362
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2045,-21.770356078805126,-2.0455918601234484
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2046,-15.367885269450761,4.356878949230918
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2047,-21.116642035406603,-1.3918778167249257
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2048,-16.50080650520694,3.2239577134747393
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2049,-16.97755334492144,2.7472108737602396
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2050,-19.45027279168504,0.27449142699663653
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2051,-19.0543332889782,0.6704309297034801
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2052,-21.892831690188796,-2.168067471507116
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2053,-15.467503440743206,4.257260777938473
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2054,-16.93950471027462,2.785259508407061
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2055,-21.179373600824558,-1.4546093821428794
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2056,-19.762051026321945,-0.03728680764026748
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2057,-20.378741656986808,-0.6539774383051284
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2058,-23.434953929053904,-3.7101897103722252
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2059,-20.724898434220197,-1.000134215538518
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2060,-16.237041355015524,3.4877228636661535
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2061,-17.238177848443517,2.486586370238161
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2062,-24.989075763851442,-5.26431154516976
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2063,-19.205550682796016,0.5192135358856618
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2064,-18.631805123533123,1.0929590951485544
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2065,-20.68983812127327,-0.9650739025915911
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2066,-19.762575528679076,-0.037811309997396826
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2067,-15.255136119108661,4.469628099573019
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2068,-18.797551869468123,0.9272123492135584
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2069,-20.140123404068525,-0.4153591853868459
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2070,-18.202707922502192,1.5220562961794883
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2071,-18.987269384658916,0.7374948340227624
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2072,-17.640250700200983,2.084513518480693
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2073,-18.286053873416908,1.4387103452647683
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2074,-20.28557283969467,-0.5608086210129919
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2075,-17.304462817457438,2.4203014012242416
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2076,-18.8120120616906,0.912752156991079
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2077,-17.60999471006086,2.114769508620819
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2078,-16.845453824759808,2.879310393921871
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2079,-18.85638147982697,0.8683827388547071
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2080,-16.461181505320877,3.2635827133608033
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2081,-17.660882274512343,2.063881944169335
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2082,-13.831883135795872,5.8928810828858085
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2083,-17.14854852399348,2.576215694688198
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2084,-15.54106958187667,4.183694636805009
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2085,-18.50535105415214,1.219413164529539
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2086,-15.759808371904557,3.964955846777121
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2087,-15.432823818858447,4.2919403998232335
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2088,-16.491661660446656,3.2331025582350237
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2089,-16.52119016622714,3.2035740524545395
