institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2015,2015-08,8,4.030591088083782,6.675718806139756,0.47048654025838227,-2.6451277180559734
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2016,2016-08,8,4.166951940462166,6.675718806139756,0.47048654025838227,-2.5087668656775897
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2017,2017-08,8,4.436794698286245,6.675718806139756,0.47048654025838227,-2.238924107853511
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2018,2018-08,8,4.8396044728076175,6.675718806139756,0.47048654025838227,-1.8361143333321381
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2019,2019-09,9,4.366750188415437,6.675718806139756,0.47048654025838227,-2.308968617724319
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2020,2020-09,9,3.466205037397906,6.675718806139756,0.47048654025838227,-3.2095137687418496
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2021,2021-08,8,3.191408630951433,6.675718806139756,0.47048654025838227,-3.4843101751883228
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2022,2022-09,9,3.3264493382211153,6.675718806139756,0.47048654025838227,-3.3492694679186403
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2023,2023-08,8,2.9867122313861607,6.675718806139756,0.47048654025838227,-3.689006574753595
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2024,2024-09,9,2.2258071852383883,6.675718806139756,0.47048654025838227,-4.449911620901368
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2025,2025-09,9,1.2825676207972898,6.675718806139756,0.47048654025838227,-5.393151185342466
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2026,2026-08,8,1.7441885649725342,6.675718806139756,0.47048654025838227,-4.931530241167222
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2027,2027-09,9,2.205359568018266,6.675718806139756,0.47048654025838227,-4.47035923812149
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2028,2028-09,9,1.927634784053873,6.675718806139756,0.47048654025838227,-4.748084022085883
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2029,2029-09,9,1.8243257150117607,6.675718806139756,0.47048654025838227,-4.851393091127995
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2030,2030-09,9,2.789578257815165,6.675718806139756,0.47048654025838227,-3.8861405483245908
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2031,2031-09,9,1.9606716343301973,6.675718806139756,0.47048654025838227,-4.715047171809559
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2032,2032-09,9,1.5085213465489469,6.675718806139756,0.47048654025838227,-5.167197459590809
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2033,2033-09,9,1.1290773215511671,6.675718806139756,0.47048654025838227,-5.546641484588589
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2034,2034-09,9,0.6883372598597983,6.675718806139756,0.47048654025838227,-5.987381546279957
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2035,2035-09,9,1.101840616075456,6.675718806139756,0.47048654025838227,-5.5738781900643
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2036,2036-09,9,1.5731225027951603,6.675718806139756,0.47048654025838227,-5.102596303344596
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2037,2037-09,9,0.9619684432085134,6.675718806139756,0.47048654025838227,-5.7137503629312425
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2038,2038-09,9,1.0377640750847814,6.675718806139756,0.47048654025838227,-5.6379547310549745
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2039,2039-09,9,0.7697696657572854,6.675718806139756,0.47048654025838227,-5.90594914038247
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2040,2040-09,9,1.4916779605606374,6.675718806139756,0.47048654025838227,-5.184040845579118
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2041,2041-09,9,1.7887255478179707,6.675718806139756,0.47048654025838227,-4.886993258321785
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2042,2042-09,9,1.502487847126485,6.675718806139756,0.47048654025838227,-5.173230959013271
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2043,2043-09,9,1.1636563232984607,6.675718806139756,0.47048654025838227,-5.512062482841295
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2044,2044-09,9,0.9969817155289035,6.675718806139756,0.47048654025838227,-5.678737090610852
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2045,2045-09,9,0.713639444095296,6.675718806139756,0.47048654025838227,-5.962079362044459
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2046,2046-09,9,0.610792239608114,6.675718806139756,0.47048654025838227,-6.064926566531642
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2047,2047-09,9,0.43365548556336914,6.675718806139756,0.47048654025838227,-6.242063320576387
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2048,2048-09,9,0.1995407523914561,6.675718806139756,0.47048654025838227,-6.476178053748299
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2049,2049-09,9,0.1957292623861752,6.675718806139756,0.47048654025838227,-6.479989543753581
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2050,2050-09,9,0.05641727372305707,6.675718806139756,0.47048654025838227,-6.619301532416698
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2051,2051-09,9,0.08690619445015305,6.675718806139756,0.47048654025838227,-6.588812611689603
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2052,2052-09,9,0.17479912186007435,6.675718806139756,0.47048654025838227,-6.5009196842796815
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2053,2053-09,9,0.433962471292179,6.675718806139756,0.47048654025838227,-6.241756334847577
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2054,2054-09,9,0.14164804140628384,6.675718806139756,0.47048654025838227,-6.534070764733472
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2055,2055-09,9,0.19053895618309866,6.675718806139756,0.47048654025838227,-6.485179849956657
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2056,2056-09,9,0.031207399299411423,6.675718806139756,0.47048654025838227,-6.644511406840344
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2057,2057-09,9,0.34039317131354396,6.675718806139756,0.47048654025838227,-6.335325634826212
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2058,2058-09,9,0.0865348167192173,6.675718806139756,0.47048654025838227,-6.589183989420539
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2059,2059-09,9,0.08636481027643268,6.675718806139756,0.47048654025838227,-6.589353995863323
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2060,2060-09,9,0.07522177212732092,6.675718806139756,0.47048654025838227,-6.6004970340124345
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2061,2061-09,9,0.0,6.675718806139756,0.47048654025838227,-6.675718806139756
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2062,2062-09,9,0.03185113674399764,6.675718806139756,0.47048654025838227,-6.643867669395758
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2063,2063-09,9,0.18321875394493134,6.675718806139756,0.47048654025838227,-6.492500052194824
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2064,2064-09,9,0.05069978871453242,6.675718806139756,0.47048654025838227,-6.625019017425223
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2065,2065-09,9,0.02580330611597357,6.675718806139756,0.47048654025838227,-6.649915500023782
CCCma,CanESM5,r1i1p1f1,gn,ssp370,2066,2066-09,9,0.06556068106607739,6.675718806139756,0.47048654025838227,-6.610158125073678
