institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-01,2015,1,1.7449321876304082,198.2385643029013,-0.6558832101750329,-249.50975331590817,-23.56713496871071,-33.99211823257436,-107.74139323683659,1.9670428406081912,174.6451682692201,-1.1134382139788777,-217.91294889189962,-7.277542063475359,-14.28956539960937,-63.98128345913492,-0.22211065297778299,23.593396033681188,0.45755500380384473,-31.596804424008553,-16.289592905235352,-19.702552832964994,-43.760109777701665
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-02,2015,2,11.717827742074801,195.74053934683175,-5.595277925176726,-246.76859952031182,-14.664669453339618,-26.723711027642782,-86.2938908375644,12.445773582853347,174.25857569933385,-8.050053493794298,-217.59834553205962,-6.931894885320205,-14.11158454395435,-59.98752917294128,-0.7279458407785455,21.481963647497906,2.4547755686175723,-29.1702539882522,-7.732774568019413,-12.612126483688431,-26.306361664623125
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-03,2015,3,53.95666150493488,202.41272263835486,-32.91593455666429,-251.52920819241385,-14.622261991236048,-23.747695612966677,-66.44571620999115,59.86295421939759,178.6380625638465,-42.42060087439643,-224.19115525659498,-5.777500516309919,-12.96961739527065,-46.8578572593279,-5.906292714462708,23.774660074508375,9.504666317732138,-27.338052935818865,-8.844761474926129,-10.778078217696027,-19.587858950663247
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-04,2015,4,155.08270834267563,211.64926181477796,-100.96202646787435,-265.332699940195,-7.337763412895478,-17.761756013529492,-24.66227567704076,165.54918549462982,193.94768773026806,-121.36911048471737,-244.71414659154436,-3.5592308420521506,-11.316720965746057,-21.462335659162093,-10.466477151954194,17.7015740845099,20.407084016843015,-20.618553348650664,-3.778532570843327,-6.445035047783435,-3.199940017878667
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-05,2015,5,255.55818815916749,244.82559537371768,-159.47156195352767,-295.60103703274297,-3.585325239499252,-15.597486145805476,26.128373161309796,275.6543792863859,224.5590747925627,-196.4506719906339,-277.14177299595417,-1.8042443237938772,-10.700238938634309,14.116525829932366,-20.096191127218418,20.266520581154964,36.97911003710624,-18.459264036788795,-1.7810809157053749,-4.8972472071711675,12.01184733137743
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-06,2015,6,265.3114415015418,283.7228182762181,-128.9562177452761,-320.23369804203173,-0.8462907962013247,-12.62999448698862,86.3680587072621,296.31824615671405,264.6805788578032,-184.2618748228265,-305.99544242897827,-1.3256800948089977,-11.303420968742303,58.11240669916117,-31.006804655172232,19.04223941841491,55.30565707755042,-14.238255613053468,0.479389298607673,-1.3265735182463168,28.255652008100924
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-07,2015,7,211.40798902706862,301.78814672908237,-67.40101515012675,-332.8754098049889,-0.22908382869856098,-14.345046336733446,98.3455806356033,225.98526739919413,289.5888849412498,-106.74472434052524,-319.32788691162557,-0.19383547240358012,-10.584539231081097,78.72316638480842,-14.577278372125505,12.199261787832597,39.343709190398485,-13.54752289336335,-0.035248356294980854,-3.7605071056523496,19.622414250794876
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-08,2015,8,127.89445205877828,305.99898138654595,-30.7097742074833,-335.0906979900803,-1.46307994518177,-15.749550221782844,50.88033108079607,143.965143639584,285.514983779784,-56.61969220867284,-317.4160441353086,-0.736401837272086,-11.828037470306784,42.8799517678077,-16.070691580805715,20.483997606761932,25.90991800118954,-17.67465385477169,-0.726678107909684,-3.92151275147606,8.000379312988372
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-09,2015,9,64.66636502875372,279.53946009954427,-16.881148570891643,-319.92620988630574,-4.542715530506333,-22.73471502548495,-19.878963884890673,72.23187531070974,254.64399326285204,-29.49217390513061,-295.7570914889987,-3.0077420278618163,-14.867742559467041,-16.248881407896377,-7.565510281956023,24.895466836692236,12.611025334238967,-24.169118397307045,-1.534973502644517,-7.8669724660179075,-3.6300824769942963
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-10,2015,10,19.931085360391723,244.45707955040888,-5.14673655124578,-293.3013555404245,-13.134874548109158,-29.448592819596048,-76.6433945485749,21.17782998279387,219.68910623165684,-9.062038234793288,-263.59941570919926,-7.415014525185129,-17.082779513843093,-56.292311768570094,-1.2467446224021472,24.76797331875204,3.915301683547508,-29.701939831225218,-5.719860022924029,-12.365813305752955,-20.35108278000481
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-11,2015,11,3.1927674937988852,225.51609078661366,-0.6710318175180247,-272.3117305844178,-14.172429440375264,-25.050134461563555,-83.49646802346206,3.573632890038961,193.44910051493784,-1.4677800076550447,-237.86279579461424,-8.81039866871152,-15.933404947758362,-67.05164601376235,-0.38086539624007587,32.06699027167582,0.79674819013702,-34.44893478980353,-5.362030771663745,-9.116729513805193,-16.444822009699706
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2015-12,2015,12,0.7524507448320318,203.06480051805323,-0.18715310552822875,-256.5798295961976,-19.15103147868506,-30.517335124682923,-102.61809804220857,0.8443239133056458,179.53984894273685,-0.40726912356645945,-223.33948846597266,-7.907125970966346,-14.520666974641335,-65.79037767910431,-0.09187316847361404,23.52495157531638,0.2201160180382307,-33.24034113022495,-11.243905507718713,-15.996668150041588,-36.82772036310426
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-01,2016,1,1.7328230430611429,203.0463605293627,-0.6885164522328024,-250.81341994096292,-16.26173041616609,-26.42606534541462,-89.41054858235259,1.9670428406081912,174.6451682692201,-1.1134382139788777,-217.91294889189962,-7.277542063475359,-14.28956539960937,-63.98128345913492,-0.23421979754704836,28.40119226014258,0.4249217617460752,-32.9004710490633,-8.98418835269073,-12.136499945805252,-25.429265123217668
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-02,2016,2,11.791882321983131,193.22921932031576,-6.1905320855809105,-243.39837670918882,-23.071705669709477,-30.036176928707402,-97.67568975088771,12.445773582853347,174.25857569933385,-8.050053493794298,-217.59834553205962,-6.931894885320205,-14.11158454395435,-59.98752917294128,-0.6538912608702159,18.970643620981917,1.8595214082133875,-25.8000311771292,-16.139810784389272,-15.924592384753051,-37.688160577946434
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-03,2016,3,57.42540417318743,201.4579081088891,-35.52951436119389,-248.71834164714622,-11.453211291334254,-20.818419481484785,-57.636174499082614,59.86295421939759,178.6380625638465,-42.42060087439643,-224.19115525659498,-5.777500516309919,-12.96961739527065,-46.8578572593279,-2.4375500462101556,22.819845545042597,6.891086513202538,-24.527186390551236,-5.675710775024335,-7.848802086214135,-10.778317239754713
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-04,2016,4,160.0997199420175,211.09896913269293,-103.6185258869879,-263.4858913484943,-6.890770128222563,-18.238640393824767,-21.035138682819117,165.54918549462982,193.94768773026806,-121.36911048471737,-244.71414659154436,-3.5592308420521506,-11.316720965746057,-21.462335659162093,-5.449465552612338,17.15128140242487,17.75058459772947,-18.771744756949943,-3.3315392861704125,-6.921919428078709,0.4271969763429766
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-05,2016,5,265.5383227800176,235.9723186191468,-164.57742265836606,-288.9791476385753,-3.1268997383998243,-13.314425662893726,31.512745700929507,275.6543792863859,224.5590747925627,-196.4506719906339,-277.14177299595417,-1.8042443237938772,-10.700238938634309,14.116525829932366,-10.116056506368295,11.413243826584079,31.873249332267847,-11.837374642621114,-1.322655414605947,-2.614186724259417,17.396219870997143
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-06,2016,6,266.76814899069205,283.8908873156106,-132.65848929467992,-319.7531329599208,-0.827758859293965,-13.456754216402304,83.9629009760056,296.31824615671405,264.6805788578032,-184.2618748228265,-305.99544242897827,-1.3256800948089977,-11.303420968742303,58.11240669916117,-29.550097166022,19.2103084578074,51.60338552814659,-13.757690530942511,0.49792123551503276,-2.153333247660001,25.85049427684443
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-07,2016,7,201.9242509947745,306.52322157363824,-60.78130978945572,-334.3839189510166,-0.5726842110102714,-12.420224125639157,100.28933549129106,225.98526739919413,289.5888849412498,-106.74472434052524,-319.32788691162557,-0.19383547240358012,-10.584539231081097,78.72316638480842,-24.061016404419632,16.934336632388465,45.96341455106952,-15.056032039391027,-0.3788487386066913,-1.8356848945580602,21.566169106482633
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-08,2016,8,128.77717190644037,304.5420893443316,-29.772572797120123,-336.4573935281641,-2.229774743112361,-17.955789624482392,46.90373055789301,143.965143639584,285.514983779784,-56.61969220867284,-317.4160441353086,-0.736401837272086,-11.828037470306784,42.8799517678077,-15.187971733143627,19.027105564547583,26.847119411552715,-19.041349392855523,-1.493372905840275,-6.127752154175608,4.023778790085316
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-09,2016,9,62.93194089447377,280.8853757212135,-15.30755430305189,-322.6324109191417,-5.148172070143218,-22.136897454856786,-21.40771813150635,72.23187531070974,254.64399326285204,-29.49217390513061,-295.7570914889987,-3.0077420278618163,-14.867742559467041,-16.248881407896377,-9.29993441623597,26.24138245836147,14.184619602078719,-26.87531943014301,-2.1404300422814018,-7.269154895389745,-5.158836723609973
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-10,2016,10,18.830491737378996,248.2762576025641,-4.775358244173527,-296.06743714601043,-12.461942980895712,-27.961522298300892,-74.15951132943742,21.17782998279387,219.68910623165684,-9.062038234793288,-263.59941570919926,-7.415014525185129,-17.082779513843093,-56.292311768570094,-2.347338245414875,28.587151370907264,4.286679990619761,-32.46802143681117,-5.0469284557105825,-10.878742784457799,-17.867199560867327
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-11,2016,11,3.041278459642304,229.5178286319267,-0.7090177424658461,-274.9716461500107,-13.34435158718233,-25.63119835623937,-82.09710674432924,3.573632890038961,193.44910051493784,-1.4677800076550447,-237.86279579461424,-8.81039866871152,-15.933404947758362,-67.05164601376235,-0.5323544303966572,36.068728116988865,0.7587622651891985,-37.10885035539647,-4.533952918470812,-9.697793408481008,-15.045460730566887
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2016-12,2016,12,0.7550061497117445,207.5758624519961,-0.23590286271228816,-256.7420411973387,-18.245391822212717,-28.580745384972683,-95.47321266552859,0.8443239133056458,179.53984894273685,-0.40726912356645945,-223.33948846597266,-7.907125970966346,-14.520666974641335,-65.79037767910431,-0.08931776359390131,28.03601350925925,0.17136626085417128,-33.40255273136606,-10.338265851246371,-14.060078410331348,-29.682834986424282
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-01,2017,1,1.7667564857886433,196.39677739735384,-0.7773597014341629,-245.39998808592267,-15.922732530057871,-26.377881825990382,-90.3144282602626,1.9670428406081912,174.6451682692201,-1.1134382139788777,-217.91294889189962,-7.277542063475359,-14.28956539960937,-63.98128345913492,-0.20028635481954793,21.751609128133737,0.33607851254471477,-27.487039194023055,-8.645190466582513,-12.088316426381013,-26.33314480112768
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-02,2017,2,11.139335031771699,207.24263606654284,-6.0055480520909255,-252.88211521049874,-12.37940586240734,-25.526086508483232,-78.41118453516567,12.445773582853347,174.25857569933385,-8.050053493794298,-217.59834553205962,-6.931894885320205,-14.11158454395435,-59.98752917294128,-1.3064385510816479,32.984060367209,2.0445054417033726,-35.283769678439114,-5.447510977087135,-11.414501964528881,-18.423655362224395
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-03,2017,3,56.47073105234548,195.4134798301312,-34.35175105713449,-247.79965402852073,-17.270304922735587,-24.53732629117,-72.07482541708414,59.86295421939759,178.6380625638465,-42.42060087439643,-224.19115525659498,-5.777500516309919,-12.96961739527065,-46.8578572593279,-3.3922231670521086,16.775417266284705,8.068849817261935,-23.608498771925753,-11.492804406425668,-11.56770889589935,-25.21696815775624
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-04,2017,4,157.45619563851596,210.89410465029323,-103.2189714908684,-264.6983841200422,-4.848150970820095,-16.609641277730102,-21.024847570651595,165.54918549462982,193.94768773026806,-121.36911048471737,-244.71414659154436,-3.5592308420521506,-11.316720965746057,-21.462335659162093,-8.09298985611386,16.94641692002517,18.15013899384897,-19.98423752849783,-1.2889201287679444,-5.2929203119840444,0.4374880885104986
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-05,2017,5,266.28297569809456,232.83170733775842,-168.22631693761198,-288.9815364393994,-2.6317226553664086,-14.910532569905634,24.364574433569572,275.6543792863859,224.5590747925627,-196.4506719906339,-277.14177299595417,-1.8042443237938772,-10.700238938634309,14.116525829932366,-9.371403588291344,8.272632545195705,28.224355053021924,-11.839763443445236,-0.8274783315725314,-4.210293631271325,10.248048603637207
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-06,2017,6,266.7360022723529,281.77934514571496,-137.57177204018268,-317.8476404999195,-1.6086518574039874,-13.57356972617905,77.91371329438267,296.31824615671405,264.6805788578032,-184.2618748228265,-305.99544242897827,-1.3256800948089977,-11.303420968742303,58.11240669916117,-29.582243884361162,17.098766287911758,46.690102782643834,-11.852198070941256,-0.2829717625949897,-2.270148757436747,19.801306595221504
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-07,2017,7,207.21707313566827,301.535070428465,-64.73369341607788,-330.7963060841458,-0.24832709070063777,-13.37906364703529,99.5947533261737,225.98526739919413,289.5888849412498,-106.74472434052524,-319.32788691162557,-0.19383547240358012,-10.584539231081097,78.72316638480842,-18.768194263525857,11.946185487215246,42.011030924447354,-11.468419172520214,-0.05449161829705765,-2.794524415954193,20.87158694136528
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-08,2017,8,134.9849429619098,300.3637755184816,-30.282614456038104,-332.68571061870676,-0.3828960439012716,-15.317714743379936,56.67978261836534,143.965143639584,285.514983779784,-56.61969220867284,-317.4160441353086,-0.736401837272086,-11.828037470306784,42.8799517678077,-8.98020067767419,14.848791738697571,26.337077752634734,-15.269666483398169,0.3535057933708144,-3.489677273073152,13.79983085055764
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-09,2017,9,65.11850861639353,281.9547671518314,-15.691209190266918,-321.4467092696293,-3.171407812344539,-18.272813303715758,-11.508863807731634,72.23187531070974,254.64399326285204,-29.49217390513061,-295.7570914889987,-3.0077420278618163,-14.867742559467041,-16.248881407896377,-7.113366694316213,27.310773888979355,13.800964714863692,-25.689617780630613,-0.16366578448272273,-3.4050707442487163,4.740017600164743
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-10,2017,10,19.59703787441748,245.0372570706433,-5.7477692654227655,-293.6568897386592,-10.161366885871583,-25.735769896165607,-70.66750084105837,21.17782998279387,219.68910623165684,-9.062038234793288,-263.59941570919926,-7.415014525185129,-17.082779513843093,-56.292311768570094,-1.5807921083763894,25.34815083898647,3.3142689693705227,-30.05747402945991,-2.746352360686454,-8.652990382322514,-14.375189072488276
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-11,2017,11,3.4290606310928706,222.04043602329384,-0.7903908052309786,-271.83763962030304,-12.119418665867173,-24.22596071576802,-83.50391315278249,3.573632890038961,193.44910051493784,-1.4677800076550447,-237.86279579461424,-8.81039866871152,-15.933404947758362,-67.05164601376235,-0.1445722589460905,28.591335508355996,0.6773892024240661,-33.974843825688794,-3.3090199971556533,-8.29255576800966,-16.452267139020137
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2017-12,2017,12,0.7512185584684039,204.68904473838646,-0.2350651101140008,-254.99116227443017,-13.29940179706437,-24.30333051568158,-87.38869640043526,0.8443239133056458,179.53984894273685,-0.40726912356645945,-223.33948846597266,-7.907125970966346,-14.520666974641335,-65.79037767910431,-0.09310535483724192,25.149195795649604,0.17220401345245864,-31.651673808457502,-5.3922758260980235,-9.782663541040245,-21.598318721330955
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-01,2018,1,1.8110908698904946,192.6737970603143,-0.7588620888551788,-241.91792598951048,-19.36200038679031,-26.442523479146143,-93.9964240140973,1.9670428406081912,174.6451682692201,-1.1134382139788777,-217.91294889189962,-7.277542063475359,-14.28956539960937,-63.98128345913492,-0.15595197071769662,18.028628791094206,0.35457612512369885,-24.004977097610862,-12.084458323314951,-12.152958079536774,-30.01514055496238
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-02,2018,2,11.15015723763318,190.9150522524171,-6.035556277416536,-234.97721305693454,-6.848186114142246,-16.626040163791117,-62.42178612223416,12.445773582853347,174.25857569933385,-8.050053493794298,-217.59834553205962,-6.931894885320205,-14.11158454395435,-59.98752917294128,-1.295616345220166,16.65647655308325,2.0144972163777624,-17.37886752487492,0.08370877117795938,-2.5144556198367667,-2.4342569492928803
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-03,2018,3,56.607280962622546,192.05479453032063,-36.10463048686288,-242.20917327739966,-13.781964222268735,-22.614278044993693,-66.04797053858177,59.86295421939759,178.6380625638465,-42.42060087439643,-224.19115525659498,-5.777500516309919,-12.96961739527065,-46.8578572593279,-3.25567325677504,13.416731966474146,6.315970387533547,-18.018018020804675,-8.004463705958816,-9.644660649723043,-19.190113279253865
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-04,2018,4,154.52406543868042,211.70552843713847,-104.56393014562423,-262.11774798581183,-6.142625171014389,-15.256356526558061,-21.851065953189647,165.54918549462982,193.94768773026806,-121.36911048471737,-244.71414659154436,-3.5592308420521506,-11.316720965746057,-21.462335659162093,-11.025120055949401,17.75784070687041,16.80518033909314,-17.40360139426747,-2.5833943289622385,-3.939635560812004,-0.3887302940275532
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-05,2018,5,257.0501643868537,244.32590121563572,-165.91827888292784,-294.2152241885077,-5.467039912835035,-17.694411063914504,18.081111554304325,275.6543792863859,224.5590747925627,-196.4506719906339,-277.14177299595417,-1.8042443237938772,-10.700238938634309,14.116525829932366,-18.604214899532224,19.766826423073013,30.53239310770607,-17.073451192553534,-3.6627955890411577,-6.994172125280196,3.9645857243719593
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-06,2018,6,273.17500848097484,283.00658434099574,-133.96856416987674,-319.8127732911948,-2.1099573363996877,-15.381501872125234,84.90879615237407,296.31824615671405,264.6805788578032,-184.2618748228265,-305.99544242897827,-1.3256800948089977,-11.303420968742303,58.11240669916117,-23.143237675739215,18.326005483192546,50.29331065294977,-13.817330862216522,-0.78427724159069,-4.078080903382931,26.796389453212896
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-07,2018,7,206.29584518153177,303.86572950241236,-65.9522063996992,-331.2023572268955,-1.4874399816159056,-12.74875782061624,98.77081325511728,225.98526739919413,289.5888849412498,-106.74472434052524,-319.32788691162557,-0.19383547240358012,-10.584539231081097,78.72316638480842,-19.689422217662354,14.27684456116259,40.792517940826045,-11.874470315269946,-1.2936045092123254,-2.1642185895351425,20.047646870308853
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-08,2018,8,129.3195556049921,304.43021149483945,-30.299757165542513,-334.4744902479527,-1.112043807727009,-15.282047738142417,52.581428140466905,143.965143639584,285.514983779784,-56.61969220867284,-317.4160441353086,-0.736401837272086,-11.828037470306784,42.8799517678077,-14.645588034591896,18.915227715055437,26.319935043130325,-17.058446112644106,-0.375641970454923,-3.454010267835633,9.701476372659208
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-09,2018,9,63.62001380845398,285.14491370427277,-14.052921062900287,-324.1562063121403,-4.106146010178941,-21.634244920649728,-15.184590793142506,72.23187531070974,254.64399326285204,-29.49217390513061,-295.7570914889987,-3.0077420278618163,-14.867742559467041,-16.248881407896377,-8.611861502255756,30.500920441420732,15.439252842230323,-28.399114823141588,-1.0984039823171248,-6.766502361182686,1.0642906147538707
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-10,2018,10,19.160301765547416,252.18499859859617,-4.324374821819473,-299.0467354250858,-11.911913645215742,-25.54637649544383,-69.48410002342125,21.17782998279387,219.68910623165684,-9.062038234793288,-263.59941570919926,-7.415014525185129,-17.082779513843093,-56.292311768570094,-2.017528217246454,32.49589236693933,4.7376634129738155,-35.44731971588652,-4.496899120030613,-8.463596981600737,-13.191788254851154
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-11,2018,11,3.238676613468695,225.89383389892234,-0.7521959602373428,-274.71785428162104,-12.075239454845594,-23.268439469857977,-81.68121865417092,3.573632890038961,193.44910051493784,-1.4677800076550447,-237.86279579461424,-8.81039866871152,-15.933404947758362,-67.05164601376235,-0.3349562765702663,32.4447333839845,0.7155840474177019,-36.8550584870068,-3.2648407861340747,-7.335034522099615,-14.629572640408568
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2018-12,2018,12,0.739988636427802,202.7859583762141,-0.2275284952919174,-255.31714441130745,-13.169760341071886,-23.715977323432476,-88.90446355846183,0.8443239133056458,179.53984894273685,-0.40726912356645945,-223.33948846597266,-7.907125970966346,-14.520666974641335,-65.79037767910431,-0.10433527687784383,23.246109433477244,0.17974062827454204,-31.97765594533479,-5.262634370105539,-9.195310348791141,-23.114085879357518
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,2019-01,2019,1,1.8381341360591963,193.55972202066582,-0.7988970782721446,-244.04828730716417,-18.52211479001877,-26.605936422621447,-94.57737944135152,1.9670428406081912,174.6451682692201,-1.1134382139788777,-217.91294889189962,-7.277542063475359,-14.28956539960937,-63.98128345913492,-0.12890870454899495,18.91455375144571,0.31454113570673303,-26.135338415264556,-11.24457272654341,-12.316371023012078,-30.596095982216603
