institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-01,2015,1,12.037750243301042,14.622708711319584,-2.5849584680185416
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-02,2015,2,12.357834343360652,14.736642098997754,-2.3788077556371015
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-03,2015,3,12.567582101931748,14.723820146834466,-2.156238044902718
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-04,2015,4,12.493018334677863,14.5647439412642,-2.0717256065863374
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-05,2015,5,11.502415557001637,13.816653926335123,-2.314238369333486
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-06,2015,6,9.101091212125723,11.83369781456004,-2.7326066024343163
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-07,2015,7,6.779174484858854,9.741186753954189,-2.962012269095335
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-08,2015,8,5.39278957790645,8.467337979766969,-3.0745484018605183
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-09,2015,9,6.2499576127873375,9.486036974186872,-3.2360793613995344
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-10,2015,10,8.252672993486636,11.46947518128019,-3.2168021877935544
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-11,2015,11,10.022580358265058,13.271964018744134,-3.249383660479076
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2015-12,2015,12,11.328409903664795,14.25801975568512,-2.9296098520203255
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-01,2016,1,12.265837026182744,14.622708711319584,-2.3568716851368396
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-02,2016,2,12.726126556197098,14.736642098997754,-2.010515542800656
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-03,2016,3,12.717898735790778,14.723820146834466,-2.0059214110436887
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-04,2016,4,12.369978956290677,14.5647439412642,-2.1947649849735242
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-05,2016,5,11.331341166535326,13.816653926335123,-2.485312759799797
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-06,2016,6,8.954189500736325,11.83369781456004,-2.879508313823715
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,ssp370,2016-07,2016,7,6.697462515565808,9.741186753954189,-3.043724238388381
