institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2015,-19.51680370647223,2.447947968856032
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2016,-17.275993764878162,4.688757910450101
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2017,-20.184653363124617,1.780098312203646
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2018,-19.590156346286395,2.374595329041869
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2019,-18.65431707433056,3.3104346009977057
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2020,-18.472522796171784,3.4922288791564795
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2021,-22.027970259336726,-0.06321858400846203
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2022,-17.998442325753974,3.9663093495742885
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2023,-21.4985668605767,0.46618481475156087
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2024,-20.568373134299414,1.3963785410288505
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2025,-21.16345793943842,0.8012937358898444
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2026,-21.404184834465905,0.5605668408623622
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2027,-18.67941003062566,3.285341644702605
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2028,-18.25186038800479,3.712891287323474
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2029,-16.56700540645279,5.397746268875477
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2030,-17.35383723504373,4.610914440284531
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2031,-19.258296789086007,2.706454886242259
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2032,-17.314033949913085,4.65071772541518
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2033,-20.396034914035873,1.568716761292392
INM,INM-CM4-8,r1i1p1f1,gr1,ssp370,2034,-20.118084923965483,1.8466667513627797
