institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2015,-13.868326986669922,4.959325910313036
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2016,-17.400271570620347,1.4273813263626076
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2017,-20.165483062297294,-1.337830165314337
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2018,-17.86786689087022,0.959786006112734
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2019,-17.28601812479123,1.541634772191726
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2020,-14.121111625248782,4.706541271734175
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2021,-15.658286046318288,3.1693668506646695
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2022,-18.477375541232487,0.3502773557504719
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2023,-13.562585540733972,5.265067356248985
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2024,-14.59915670759563,4.228496189387329
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2025,-16.632522104528437,2.1951307924545196
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2026,-16.319907207108084,2.5077456898748753
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2027,-18.595254663431053,0.23239823355190303
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2028,-16.29361217076966,2.534040726213298
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2029,-13.081957613451925,5.745695283531032
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2030,-18.98271479148545,-0.1550618945024936
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2031,-15.761704065124784,3.0659488318581736
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2032,-13.207577871734545,5.620075025248411
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2033,-14.169113175485109,4.658539721497849
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2034,-18.292701650182597,0.5349512468003583
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2035,-15.53318913193489,3.2944637650480666
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2036,-17.03440724836791,1.7932456486150496
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2037,-16.122432880005615,2.7052200169773415
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2038,-13.724119328042855,5.1035335689401
