institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2015,2015-08,8,2.492957351637204,4.232808706200083,0.295811584429273,-1.7398513545628789
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2016,2016-08,8,2.750812880215845,4.232808706200083,0.295811584429273,-1.4819958259842378
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2017,2017-08,8,2.7858760323420535,4.232808706200083,0.295811584429273,-1.4469326738580293
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2018,2018-08,8,2.9843904468736078,4.232808706200083,0.295811584429273,-1.248418259326475
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2019,2019-08,8,2.3493347109303753,4.232808706200083,0.295811584429273,-1.8834739952697075
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2020,2020-09,9,2.466753782630752,4.232808706200083,0.295811584429273,-1.7660549235693308
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2021,2021-08,8,2.3395647672975928,4.232808706200083,0.295811584429273,-1.89324393890249
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2022,2022-08,8,2.4570259897861004,4.232808706200083,0.295811584429273,-1.7757827164139823
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2023,2023-08,8,2.5546381987095317,4.232808706200083,0.295811584429273,-1.678170507490551
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2024,2024-09,9,2.314330534173137,4.232808706200083,0.295811584429273,-1.918478172026946
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2025,2025-08,8,2.3355240137306534,4.232808706200083,0.295811584429273,-1.8972846924694293
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2026,2026-08,8,2.520932664338102,4.232808706200083,0.295811584429273,-1.7118760418619807
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2027,2027-08,8,2.1024901559684195,4.232808706200083,0.295811584429273,-2.1303185502316633
MIROC,MIROC-ES2L,r1i1p1f2,gn,ssp370,2028,2028-08,8,2.723914157107299,4.232808706200083,0.295811584429273,-1.5088945490927839
