institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2015,-22.272571834662056,-0.34386744189516955
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2016,-24.185122404194193,-2.256418011427312
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2017,-21.9969729291446,-0.06826853637771801
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2018,-19.134779332995606,2.793925059771277
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2019,-21.981054508121236,-0.05235011535435197
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2020,-18.3494281374324,3.579276255334482
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2021,-17.370621683667604,4.558082709099279
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2022,-21.403588383487072,0.5251160092798152
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2023,-22.922147209808713,-0.9934428170418269
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2024,-24.17075959173435,-2.2420551989674626
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2025,-23.171399318984655,-1.2426949262177716
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2026,-16.702054347469428,5.226650045297457
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2027,-18.98004439183795,2.9486600009289354
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2028,-18.177948380882928,3.7507560118839556
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2029,-20.991524529036244,0.9371798637306424
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2030,-21.124154641222194,0.8045497515446879
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2031,-19.456043251821214,2.4726611409456716
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2032,-19.301369809158537,2.627334583608348
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2033,-16.284554123969812,5.644150268797072
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2034,-19.613432090241172,2.3152723025257145
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2035,-23.230124250919506,-1.3014198581526213
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2036,-16.887321776300027,5.041382616466856
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2037,-22.04925956728277,-0.12055517451588393
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2038,-19.966134419470222,1.9625699732966602
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2039,-18.102735704489263,3.825968688277621
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2040,-16.560187006471235,5.368517386295648
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2041,-19.103529242582212,2.8251751501846734
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2042,-20.45836623546315,1.4703381573037342
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2043,-17.443761747885592,4.484942644881294
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2044,-19.2169962441773,2.711708148589586
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2045,-19.018200204365698,2.910504188401186
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2046,-19.808383706043372,2.1203206867235136
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2047,-19.865450693688643,2.0632536990782424
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2048,-20.826208932711825,1.1024954600550572
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2049,-20.97540399197666,0.9533004007902243
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2050,-17.16010244776086,4.768601945006026
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2051,-19.595951456288166,2.3327529364787165
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2052,-20.541813835149522,1.3868905576173616
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2053,-18.537001174029424,3.391703218737461
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2054,-20.81224657241027,1.116457820356615
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2055,-16.13682577202476,5.791878620742126
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2056,-18.1767320521392,3.751972340627685
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2057,-21.216006002340013,0.7126983904268721
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2058,-22.94717076250542,-1.0184663697385303
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2059,-18.854078462806815,3.0746259299600713
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2060,-19.16923789715904,2.7594664956078425
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2061,-18.014098657244016,3.9146057355228656
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2062,-18.36305320499319,3.565651187773696
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2063,-16.26404789446374,5.664656498303143
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2064,-16.62199630795962,5.306708084807263
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2065,-19.854151569721036,2.07455282304585
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2066,-21.08136513076849,0.8473392619983967
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2067,-22.75190656734235,-0.8232021745754695
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2068,-14.911187230432835,7.017517162334051
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2069,-14.93415675209304,6.9945476406738445
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2070,-16.32547513586106,5.603229256905827
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2071,-19.11898016177796,2.809724230988922
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2072,-18.289313579084155,3.6393908136827284
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2073,-16.111563339864663,5.81714105290222
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2074,-17.407351232019348,4.521353160747534
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2075,-15.472918193703462,6.455786199063422
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2076,-19.05185202836912,2.8768523643977653
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2077,-18.335895302214173,3.592809090552713
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2078,-20.765952705732634,1.162751687034251
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2079,-15.138308229019415,6.79039616374747
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2080,-17.76754313222748,4.161161260539405
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2081,-13.083128415358372,8.845575977408512
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2082,-17.703601791810545,4.225102600956338
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2083,-17.42891366635894,4.499790726407945
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2084,-16.033899369644526,5.894805023122359
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2085,-14.426841713734133,7.501862679032751
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2086,-17.283791074435268,4.644913318331619
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2087,-16.722571044146587,5.206133348620297
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2088,-16.572524134053566,5.356180258713319
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2089,-17.20732468756523,4.721379705201653
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2090,-15.223990350355606,6.704714042411278
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2091,-13.90898231782157,8.019722074945312
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2092,-15.21914865129711,6.709555741469775
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2093,-16.11136531314489,5.817339079621994
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2094,-16.360054910819954,5.568649481946931
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2095,-14.502126814939004,7.426577577827879
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2096,-13.94811816287602,7.980586229890865
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2097,-16.48528450677642,5.4434198859904654
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2098,-17.00028629583539,4.928418096931492
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2099,-13.905634889126338,8.023069503640547
MIROC,MIROC6,r1i1p1f1,gn,ssp370,2100,-16.543242743072494,5.385461649694389
