institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2015,-27.512001660094892,-2.32325592544807
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2016,-28.70098660167096,-3.512240867024136
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2017,-27.974709557759883,-2.785963823113063
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2018,-23.89701490751082,1.2917308271360026
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2019,-25.042469010538742,0.14627672410807957
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2020,-29.18942828072963,-4.00068254608281
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2021,-27.427083310696528,-2.2383375760497057
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2022,-27.34687198386946,-2.1581262492226365
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2023,-28.169258467451243,-2.980512732804424
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2024,-25.89736961899719,-0.7086238843503674
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2025,-28.477390603619238,-3.288644868972414
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2026,-24.992084222503234,0.19666151214358862
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2027,-26.240789487173686,-1.052043752526864
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2028,-27.596692481656095,-2.4079467470092735
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2029,-24.966965675655246,0.22178005899157385
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2030,-28.443011491907555,-3.254265757260736
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2031,-26.591672568679225,-1.4029268340324024
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2032,-26.83778212526352,-1.6490363906166994
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2033,-23.764799555847862,1.4239461787989598
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2034,-24.37229893826719,0.8164467963796321
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2035,-28.791841667083265,-3.6030959324364473
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2036,-24.48407277222007,0.7046729624267499
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2037,-25.59239970665372,-0.4036539720068972
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2038,-27.08062492183711,-1.8918791871902876
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2039,-22.664033950450275,2.5247117841965463
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2040,-31.019465952060276,-5.830720217413455
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2041,-26.73652419260125,-1.5477784579544307
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2042,-26.398321419606308,-1.209575684959489
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2043,-26.435800979895323,-1.247055245248503
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2044,-25.402720190311186,-0.21397445566436524
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2045,-28.888947205143598,-3.700201470496779
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2046,-23.200410143234677,1.9883355914121414
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2047,-26.022572895173436,-0.8338271605266149
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2048,-22.590091734299545,2.598654000347279
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2049,-25.638664774105816,-0.4499190394589947
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2050,-27.333109610106487,-2.144363875459663
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2051,-27.69037170694521,-2.5016259722983887
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2052,-29.160167053916382,-3.9714213192695627
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2053,-23.256539806180612,1.9322059284662079
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2054,-25.72938220477175,-0.5406364701249267
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2055,-23.89431743919444,1.294428295452376
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2056,-22.75716001077521,2.431585723871611
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2057,-26.905834909953953,-1.7170891753071331
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2058,-23.24357355298643,1.9451721816603917
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2059,-26.54793054298595,-1.359184808339126
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2060,-26.792263853783044,-1.6035181191362267
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2061,-23.075737172003965,2.113008562642858
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2062,-24.357997497934992,0.8307482367118247
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2063,-21.742356730444836,3.4463890042019867
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2064,-24.493859851402316,0.6948858832445067
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2065,-25.639068930385303,-0.45032319573848145
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2066,-24.38455481433594,0.8041909203108825
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2067,-25.526448794101185,-0.3377030594543638
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2068,-25.45554830545755,-0.26680257081072895
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2069,-26.953626892175958,-1.7648811575291343
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2070,-21.986254923084136,3.2024908115626824
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2071,-29.117193840325488,-3.9284481056786675
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2072,-23.27258147863975,1.9161642560070735
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2073,-23.777863520344113,1.4108822143027073
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2074,-22.95326931772114,2.2354764169256796
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2075,-26.456164042241777,-1.2674183075949559
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2076,-22.700845086243874,2.487900648402945
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2077,-27.796863993653776,-2.6081182590069574
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2078,-20.995625108187664,4.193120626459158
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2079,-25.5544402679219,-0.3656945332750787
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2080,-20.437881076098282,4.750864658548537
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2081,-25.93912519387796,-0.7503794592311414
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2082,-24.560006854067478,0.6287388805793416
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2083,-24.770826421075782,0.41791931357103645
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2084,-24.017441709426482,1.1713040252203364
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2085,-21.68095542828182,3.507790306365001
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2086,-23.848744931339464,1.340000803307359
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2087,-27.524853253345523,-2.3361075186987006
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2088,-21.744909553757594,3.4438361808892246
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2089,-25.03176730247422,0.1569784321726043
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2090,-21.629076402392855,3.5596693322539665
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2091,-20.271436961468325,4.9173087731784975
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2092,-24.658866304279588,0.5298794303672331
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2093,-24.818665507944914,0.37008022670190616
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2094,-22.87743740162271,2.3113083330241095
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2095,-16.98667609386816,8.20206964077866
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2096,-22.97929563235976,2.20945010228706
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2097,-21.439634921871047,3.7491108127757755
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2098,-21.1789177076409,4.009828027005922
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2099,-21.78108796708807,3.407657767558753
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp370,2100,-20.14527876612567,5.043466968521151
