institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-01,2015,1,11.324851400653383,12.563591395519543,-1.23873999486616
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-02,2015,2,11.922941753369834,12.882507498301937,-0.9595657449321031
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-03,2015,3,12.184608437847045,12.98690345499785,-0.8022950171508061
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-04,2015,4,12.009833190152413,12.80327373708038,-0.7934405469279664
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-05,2015,5,10.734748433275799,11.77279762152948,-1.0380491882536802
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-06,2015,6,8.439726376937323,9.31671397322357,-0.8769875962862468
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-07,2015,7,5.803515893393508,7.05778757600722,-1.2542716826137124
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-08,2015,8,3.222871304609104,5.256153574936584,-2.0332822703274798
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-09,2015,9,2.1768488051838717,5.192735918092013,-3.0158871129081413
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-10,2015,10,3.890268416209142,7.006526541214213,-3.116258125005071
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-11,2015,11,7.578039741645961,9.632033758642043,-2.053994016996082
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2015-12,2015,12,10.282573490416024,11.686012407861837,-1.403438917445813
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-01,2016,1,11.360151375452505,12.563591395519543,-1.2034400200670383
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-02,2016,2,11.691279403045998,12.882507498301937,-1.1912280952559389
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-03,2016,3,11.953023809355969,12.98690345499785,-1.033879645641882
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-04,2016,4,11.944764133737758,12.80327373708038,-0.8585096033426218
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-05,2016,5,10.871242604410769,11.77279762152948,-0.9015550171187101
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-06,2016,6,8.049691497484652,9.31671397322357,-1.2670224757389175
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-07,2016,7,5.420983332443708,7.05778757600722,-1.6368042435635122
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-08,2016,8,2.8923493378875413,5.256153574936584,-2.3638042370490426
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-09,2016,9,1.6996285106781115,5.192735918092013,-3.4931074074139015
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-10,2016,10,3.513758477048565,7.006526541214213,-3.4927680641656482
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-11,2016,11,7.826246245297416,9.632033758642043,-1.8057875133446268
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2016-12,2016,12,10.594074700969298,11.686012407861837,-1.0919377068925389
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-01,2017,1,11.769090143067693,12.563591395519543,-0.79450125245185
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-02,2017,2,12.309657145172359,12.882507498301937,-0.5728503531295779
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-03,2017,3,12.357615205788496,12.98690345499785,-0.6292882492093543
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-04,2017,4,12.033144250407199,12.80327373708038,-0.7701294866731807
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-05,2017,5,10.886287682212922,11.77279762152948,-0.8865099393165572
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-06,2017,6,8.444004026111854,9.31671397322357,-0.8727099471117157
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-07,2017,7,5.646387889204477,7.05778757600722,-1.411399686802743
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-08,2017,8,2.6340251520354037,5.256153574936584,-2.6221284229011803
MRI,MRI-ESM2-0,r1i1p1f1,gn,ssp370,2017-09,2017,9,1.859169964879922,5.192735918092013,-3.3335659532120907
