institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2015,-21.407848128818625,2.7788539249701394
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2016,-21.3227252321181,2.86397682167067
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2017,-23.96334186079815,0.2233601929906189
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2018,-25.772656580713946,-1.5859545269251807
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2019,-22.94126970926631,1.2454323445224516
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2020,-22.042582242073184,2.144119811715584
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2021,-23.45044376701783,0.7362582867709345
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2022,-23.13793053556327,1.0487715182254929
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2023,-19.177909278861733,5.008792774927033
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2024,-20.24667307330094,3.9400289804878277
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2025,-19.81778400911816,4.3689180446706075
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2026,-18.723185967821838,5.463516085966927
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2027,-20.67561516515959,3.5110868886291757
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2028,-18.32610064107944,5.860601412709325
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2029,-19.59224845470834,4.5944535990804285
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2030,-23.303581214241962,0.8831208395468044
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2031,-19.50603122680134,4.680670826987427
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2032,-22.13703776252325,2.0496642912655196
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2033,-20.386696647345925,3.800005406442844
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2034,-22.391025674975136,1.7956763788136303
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2035,-22.285361924506372,1.9013401292823975
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2036,-19.956834237939677,4.229867815849086
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2037,-18.64140496667137,5.5452970871173966
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2038,-20.294193967768866,3.8925080860199017
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2039,-19.88296715297928,4.303734900809485
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2040,-22.9955273620695,1.1911746917192645
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2041,-17.56093184027512,6.625770213513643
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2042,-19.176496776441443,5.010205277347325
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2043,-19.16591043987211,5.020791613916656
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2044,-22.507507672618573,1.6791943811701966
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2045,-20.46762775388768,3.719074299901086
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2046,-21.457854709213137,2.728847344575629
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2047,-17.10841035638956,7.078291697399208
NCC,NorESM2-MM,r1i1p1f1,gn,ssp370,2048,-20.87730392363777,3.3093981301509974
