institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015,-23.457280030986738,3.754313281176446
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016,-27.582468904260733,-0.3708755920975492
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017,-25.05574901640573,2.155844295757454
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018,-30.241501491385236,-3.0299081792220526
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2019,-23.122072243330596,4.089521068832585
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2020,-28.586742281915658,-1.3751489697524713
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2021,-23.62873146220423,3.582861849958953
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2022,-23.62200642259488,3.589586889568304
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2023,-24.84157131529247,2.370021996870713
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2024,-22.092522805879025,5.1190705062841575
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2025,-24.38984859027904,2.821744721884146
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2026,-25.766326089930644,1.4452672222325411
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2027,-25.30945325955952,1.902140052603669
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2028,-24.453027745671193,2.758565566491992
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2029,-24.028545898224923,3.1830474139382616
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2030,-23.90632402196557,3.3052692901976126
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2031,-26.642978981383806,0.568614330779376
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2032,-21.07474779025099,6.136845521912195
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2033,-22.527365238846915,4.68422807331627
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2034,-22.35452044165451,4.857072870508676
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2035,-20.742262296845357,6.469331015317825
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2036,-21.939775944713375,5.271817367449807
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2037,-21.43690207653255,5.774691235630631
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2038,-25.112757426618774,2.0988358855444074
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2039,-21.729238198382898,5.482355113780284
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2040,-21.17926399089324,6.032329321269944
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2041,-25.476775568957663,1.7348177432055205
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2042,-26.292672122691286,0.9189211894718969
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2043,-20.156113998856807,7.055479313306378
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2044,-22.816645105998663,4.394948206164521
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2045,-22.02123861789296,5.190354694270228
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2046,-26.468079158048074,0.7435141541151106
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2047,-24.47355165091065,2.7380416612525322
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2048,-19.143995548886142,8.067597763277043
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2049,-23.140341830751208,4.071251481411978
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2050,-25.56585426577401,1.6457390463891708
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2051,-22.239591748436172,4.97200156372701
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2052,-19.18125236904552,8.030340943117665
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2053,-20.865331481849058,6.346261830314127
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2054,-20.17399207881658,7.037601233346607
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2055,-23.995995165959428,3.2155981462037535
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2056,-23.098697768021726,4.112895544141459
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2057,-21.144127115876753,6.067466196286432
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2058,-20.82188286104862,6.389710451114563
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2059,-23.363750938459646,3.847842373703539
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2060,-25.737815892748994,1.4737774194141906
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2061,-24.842581080438574,2.3690122317246094
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2062,-23.973034519404607,3.238558792758577
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2063,-23.134085523260712,4.077507788902473
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2064,-23.38945408727236,3.8221392248908246
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2065,-22.240545402408298,4.971047909754888
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2066,-20.07112020413938,7.140473108023805
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2067,-20.576007083868358,6.635586228294827
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2068,-21.324396348850765,5.8871969633124195
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2069,-24.00587299878947,3.205720313373714
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2070,-17.450867559632076,9.760725752531108
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2071,-19.526343344776883,7.6852499673863015
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2072,-21.04721184527055,6.164381466892635
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2073,-20.55509809074522,6.656495221417967
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2074,-24.230455112390278,2.981138199772905
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2075,-20.200727801328657,7.010865510834527
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2076,-17.411256979199003,9.80033633296418
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2077,-21.278637738806655,5.932955573356527
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2078,-24.156062199175892,3.0555311129872913
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2079,-21.74624312048647,5.465350191676717
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2080,-21.513973778781736,5.697619533381446
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2081,-27.74348013151673,-0.5318868193535445
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2082,-19.795499545982,7.41609376618118
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2083,-20.035920460224204,7.175672851938981
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2084,-22.91654090223611,4.295052409927073
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2085,-20.873948638896856,6.337644673266328
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2086,-18.139238373286606,9.072354938876574
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2087,-20.326960077902513,6.884633234260671
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2088,-20.195874027669646,7.015719284493538
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2089,-22.09950136664803,5.112091945515149
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2090,-20.090637610381176,7.120955701782006
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2091,-18.512001849864422,8.699591462298763
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2092,-17.67457690086375,9.537016411299433
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2093,-21.349918313228503,5.861674998934678
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2094,-18.667885853147226,8.54370745901596
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2095,-16.129899301851545,11.081694010311637
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2096,-19.521929715742676,7.68966359642051
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2097,-17.946219745869893,9.26537356629329
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2098,-20.85323208009083,6.358361232072352
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2099,-18.121293567429674,9.09029974473351
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2100,-18.92414182653964,8.287451485623546
