institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-01,2015,1,11.82946,12.171783,-0.3423233
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-02,2015,2,12.165752,12.357409,-0.19165611
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-03,2015,3,12.0938,12.369323,-0.2755232
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-04,2015,4,11.416223,12.156422,-0.7401991
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-05,2015,5,10.49119,11.330693,-0.8395033
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-06,2015,6,9.214628,10.038604,-0.82397556
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-07,2015,7,6.2923236,8.223656,-1.9313321
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-08,2015,8,2.9795792,6.3207097,-3.3411305
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-09,2015,9,2.096331,6.1044,-4.008069
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-10,2015,10,4.0613427,7.906163,-3.8448205
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-11,2015,11,7.865789,10.075817,-2.2100282
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-12,2015,12,10.40753,11.527618,-1.1200886
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-01,2016,1,11.762632,12.171783,-0.40915108
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-02,2016,2,12.220709,12.357409,-0.13669968
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-03,2016,3,12.269149,12.369323,-0.10017395
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-04,2016,4,11.986284,12.156422,-0.1701374
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-05,2016,5,11.043933,11.330693,-0.28676033
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-06,2016,6,9.592328,10.038604,-0.4462757
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-07,2016,7,7.389187,8.223656,-0.83446884
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-08,2016,8,4.8529606,6.3207097,-1.4677491
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-09,2016,9,4.0856814,6.1044,-2.0187187
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-10,2016,10,6.586575,7.906163,-1.3195882
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-11,2016,11,9.307602,10.075817,-0.7682152
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-12,2016,12,10.995631,11.527618,-0.5319872
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-01,2017,1,11.891414,12.171783,-0.28036976
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-02,2017,2,11.861186,12.357409,-0.4962225
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-03,2017,3,12.104318,12.369323,-0.2650051
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-04,2017,4,11.936618,12.156422,-0.21980381
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-05,2017,5,10.810398,11.330693,-0.52029514
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-06,2017,6,9.293997,10.038604,-0.744607
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-07,2017,7,7.0651383,8.223656,-1.1585174
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-08,2017,8,4.6468067,6.3207097,-1.673903
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-09,2017,9,4.0260415,6.1044,-2.0783587
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-10,2017,10,6.1232758,7.906163,-1.7828875
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-11,2017,11,8.678719,10.075817,-1.3970985
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017-12,2017,12,10.563962,11.527618,-0.9636564
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-01,2018,1,11.887211,12.171783,-0.2845726
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-02,2018,2,12.20858,12.357409,-0.1488285
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-03,2018,3,12.180477,12.369323,-0.18884563
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-04,2018,4,11.867896,12.156422,-0.28852558
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-05,2018,5,10.984197,11.330693,-0.34649658
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-06,2018,6,9.661067,10.038604,-0.37753677
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-07,2018,7,7.860807,8.223656,-0.36284876
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018-08,2018,8,5.5773664,6.3207097,-0.74334335
