institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015,-22.443821129639417,-0.7088783647533144
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016,-20.703273237720634,1.0316695271654739
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2017,-22.258418795899313,-0.5234760310132062
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2018,-20.22407536895315,1.510867395932953
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2019,-21.776879269424327,-0.041936504538223986
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2020,-22.623879476535592,-0.8889367116494848
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2021,-23.098672847423547,-1.363730082537444
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2022,-24.82992632875019,-3.094983563864082
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2023,-23.354334013924568,-1.6193912490384597
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2024,-23.795347854143557,-2.0604050892574493
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2025,-27.40946043322033,-5.674517668334228
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2026,-26.042501819173935,-4.307559054287832
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2027,-21.22856661701853,0.5063761478675755
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2028,-26.859773481230093,-5.12483071634399
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2029,-23.790424835808214,-2.0554820709221104
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2030,-23.235470159222775,-1.5005273943366715
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2031,-23.039209356829446,-1.3042665919433423
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2032,-24.313808628944305,-2.578865864058203
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2033,-21.062234773709232,0.6727079911768747
