institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-01,2015,1,11.963023431845375,12.841069732324511,-0.8780463004791361
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-02,2015,2,12.05294594881596,13.052575440590799,-0.9996294917748383
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-03,2015,3,12.170506379878761,13.084475311238052,-0.9139689313592907
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-04,2015,4,11.814742219361543,12.891298638721189,-1.0765564193596457
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-05,2015,5,10.830825716829672,12.12182555549293,-1.2909998386632573
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-06,2015,6,9.404406063936834,10.56014229872586,-1.1557362347890265
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-07,2015,7,7.218202979317275,8.377659541961345,-1.1594565626440696
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-08,2015,8,5.398836845967406,6.494668399593875,-1.0958315536264696
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-09,2015,9,5.487899528972893,6.742467621996264,-1.2545680930233711
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-10,2015,10,7.471258165656622,8.456494308873493,-0.9852361432168708
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-11,2015,11,9.5834973588192,10.63141795782804,-1.0479205990088403
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015-12,2015,12,10.998000305129105,12.183681407006313,-1.1856811018772078
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016-01,2016,1,11.68924367333154,12.841069732324511,-1.151826058992972
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016-02,2016,2,12.051880173516754,13.052575440590799,-1.000695267074045
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016-03,2016,3,12.10203907769706,13.084475311238052,-0.9824362335409909
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016-04,2016,4,11.945698465174575,12.891298638721189,-0.9456001735466142
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016-05,2016,5,11.175423893881751,12.12182555549293,-0.9464016616111781
