institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2015,2015-08,8,5.398836845967406,6.4868177492985515,0.4795371629402745,-1.0879809033311458
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2016,2016-08,8,5.6275750214956535,6.4868177492985515,0.4795371629402745,-0.859242727802898
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2017,2017-08,8,5.148326732555927,6.4868177492985515,0.4795371629402745,-1.3384910167426245
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2018,2018-08,8,5.024946137546976,6.4868177492985515,0.4795371629402745,-1.461871611751575
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2019,2019-08,8,4.3462557785632345,6.4868177492985515,0.4795371629402745,-2.140561970735317
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2020,2020-08,8,4.797692481688965,6.4868177492985515,0.4795371629402745,-1.6891252676095867
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2021,2021-09,9,3.9110980630960714,6.4868177492985515,0.4795371629402745,-2.57571968620248
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2022,2022-08,8,3.796553826733005,6.4868177492985515,0.4795371629402745,-2.6902639225655465
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2023,2023-08,8,3.98071587619028,6.4868177492985515,0.4795371629402745,-2.5061018731082716
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2024,2024-09,9,3.8326220957761787,6.4868177492985515,0.4795371629402745,-2.6541956535223727
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2025,2025-09,9,4.083566250150301,6.4868177492985515,0.4795371629402745,-2.4032514991482508
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2026,2026-09,9,3.236926053154016,6.4868177492985515,0.4795371629402745,-3.2498916961445357
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2027,2027-09,9,2.6624810117096143,6.4868177492985515,0.4795371629402745,-3.824336737588937
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2028,2028-08,8,2.9429923836283143,6.4868177492985515,0.4795371629402745,-3.543825365670237
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2029,2029-09,9,2.429799030066158,6.4868177492985515,0.4795371629402745,-4.057018719232394
MOHC,UKESM1-0-LL,r1i1p1f2,gn,ssp370,2030,2030-09,9,1.5125287754498726,6.4868177492985515,0.4795371629402745,-4.974288973848679
