institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-01,2015,1,1.792086787489787,199.2706379526208,-0.8220875900113718,-241.44017881542555,-17.456430000801912,-22.50055835778308,-81.15653002391136,1.835116545098481,185.4009634578597,-0.9022874445489102,-228.7649882711601,-25.923388278390696,-28.2968278615786,-96.65141185272007,-0.0430297576086939,13.869674494761057,0.0801998545375384,-12.67519054426549,8.466958277588784,5.796269503795518,15.49488182880873
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-02,2015,2,10.75101278214814,194.768224668998,-6.116787762548901,-237.8899685318243,-25.61172545009924,-29.268860677206263,-93.36810497053256,11.489834638175004,186.2242977851264,-6.7014904701648375,-228.13188696741096,-23.14472288983177,-26.758686197332867,-87.02265410143907,-0.7388218560268633,8.543926883871649,0.5847027076159366,-9.758081564413343,-2.4670025602674706,-2.510174479873399,-6.345450869093497
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-03,2015,3,52.23825588776201,204.8038564545561,-33.30929332813116,-245.6576849500902,-20.351041017730697,-26.434649060963466,-68.71055601459742,56.81790773436265,192.30708700615392,-37.13350241949991,-234.90250481790247,-17.748415885410967,-22.86885189235719,-63.528280274653966,-4.57965184660064,12.496769448402176,3.824209091368751,-10.755180132187718,-2.60262513231973,-3.5657971686062737,-5.182275739943449
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-04,2015,4,146.167850654943,233.15583775628332,-93.0843721023788,-274.02793742297564,-9.154278865152564,-18.7127715051629,-15.6556714844435,160.1376654824695,207.0324837079534,-107.54263314540538,-254.7052173119694,-11.519079893306152,-18.147987619528934,-24.744768779786988,-13.969814827526475,26.12335404832996,14.458261043026567,-19.322720111006248,2.3648010281535896,-0.5647838856339682,9.089097295343487
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-05,2015,5,242.77754618437703,257.397783688248,-149.39421225811344,-296.65281466469827,-6.415139648687904,-14.112982517424594,33.600180783700864,267.38413468330424,238.15655607364133,-171.61058501834285,-287.4819240341604,-6.194848614378205,-14.40616497643902,25.84716811362513,-24.60658849892721,19.241227614606657,22.216372760229405,-9.170890630537883,-0.2202910343096995,0.2931824590144245,7.75301267007573
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-06,2015,6,256.1111716870738,294.43091264414755,-117.78841567107038,-321.7753274407075,-2.8349807514823397,-10.37425424573559,97.76910622222552,288.28807209772407,276.0813360907536,-160.01393871252108,-314.37769318956254,-3.564705324886018,-12.598140985366053,73.81492997614194,-32.17690041065026,18.349576553393945,42.2255230414507,-7.39763425114495,0.7297245734036788,2.223886739630462,23.95417624608359
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-07,2015,7,189.94028977716803,311.0089838086426,-44.8536204441146,-330.79828678460376,-2.2826255005449405,-9.846736044962686,113.16800481158462,218.37533562804683,299.22378506517305,-85.55815593635697,-325.50232395882864,-1.919306025712955,-10.919214855721316,93.70011991659996,-28.435045850878797,11.78519874346955,40.70453549224237,-5.295962825775121,-0.3633194748319854,1.0724788107586305,19.46788489498465
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-08,2015,8,114.86809868560886,311.0478507725738,-18.007714724813376,-332.89267475816354,-4.098335653161868,-14.83805789240954,56.07916642963434,140.21799668504227,296.562868228285,-44.66486614523165,-325.1421256879577,-3.816575680973475,-14.23360203193744,48.92369536722708,-25.34989799943341,14.484982544288757,26.657151420418277,-7.750549070205864,-0.281759972188393,-0.6044558604721004,7.1554710624072655
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-09,2015,9,58.04671813008436,292.9547353110406,-9.385139185318684,-326.6643650860467,-11.077833107941636,-25.327010833945863,-21.452894772127912,69.12468805980903,270.44938058885504,-22.251662495038737,-309.67184652353023,-9.634973850192743,-22.130661855398458,-24.115076075496138,-11.077969929724674,22.505354722185587,12.866523309720051,-16.992518562516466,-1.4428592577488928,-3.1963489785474053,2.662181303368225
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-10,2015,10,16.55756083216378,269.73617313372057,-2.4458551856072623,-311.4632347220678,-18.75581446572951,-30.45358164757912,-76.82475205509934,18.90084156740773,238.8223727114353,-5.094993849740776,-283.30261577196194,-18.756341351918884,-28.26116465137974,-77.69190134615832,-2.343280735243951,30.91380042228525,2.6491386641335137,-28.160618950105857,0.0005268861893732,-2.192416996199377,0.8671492910589791
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-11,2015,11,2.6503948080842705,237.83504983108088,-0.4020261216059984,-285.701903700994,-31.930065870321634,-38.23943558753056,-115.78798664128706,3.0411563118460987,211.2943595235392,-0.6560529562713494,-256.89521989924395,-24.555015625647552,-29.30324028072595,-97.07401292650358,-0.3907615037618281,26.540690307541723,0.254026834665351,-28.80668380175007,-7.375050244674082,-8.936195306804606,-18.71397371478348
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-12,2015,12,0.7127044027030282,206.78429072848687,-0.1797673976728722,-256.2672280898633,-28.28086488494005,-31.916457415700737,-109.14732265698706,0.7650032815872855,193.7868010738328,-0.266305725127395,-238.42155436024476,-25.515178794029136,-28.345693238813027,-97.99692776279416,-0.0522988788842573,12.997489654654146,0.0865383274545228,-17.845673729618625,-2.7656860909109184,-3.5707641768877103,-11.150394894192884
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-01,2016,1,1.7570820737142567,196.0224114035989,-0.774191472280514,-241.16212517990053,-25.63496578265225,-27.25707902576978,-97.0488679832899,1.835116545098481,185.4009634578597,-0.9022874445489102,-228.7649882711601,-25.923388278390696,-28.2968278615786,-96.65141185272007,-0.0780344713842242,10.621447945739192,0.1280959722683962,-12.397136908740464,0.2884224957384447,1.039748835808819,-0.3974561305698074
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-02,2016,2,10.758549701294704,196.26849966863747,-6.076032233896429,-237.44535092379968,-21.36144849782392,-23.377132884205796,-81.23291516979364,11.489834638175004,186.2242977851264,-6.7014904701648375,-228.13188696741096,-23.14472288983177,-26.758686197332867,-87.02265410143907,-0.7312849368803,10.044201883511109,0.6254582362684085,-9.313463956388716,1.7832743920078509,3.3815533131270747,5.789738931645431
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-03,2016,3,55.770992824558405,201.51492794899497,-35.374959282414714,-244.34315581929476,-14.825438329562775,-19.738359434363836,-56.99599209208272,56.81790773436265,192.30708700615392,-37.13350241949991,-234.90250481790247,-17.748415885410967,-22.86885189235719,-63.528280274653966,-1.0469149098042436,9.207840942841043,1.7585431370851978,-9.440651001392268,2.92297755584819,3.1304924579933555,6.53228818257125
